rdo,city_municipality,barangay,street_subdivision,vicinity,classification,zonal_value
80,MANDAUE CITY,BAKILID,BAKILID BARRIO ROAD,,CR,19400.0
80,MANDAUE CITY,BAKILID,BAKILID BARRIO ROAD,,RR,15750.0
80,MANDAUE CITY,BAKILID,BAKILID BARRIO ROAD,,I,17050.0
80,MANDAUE CITY,BAKILID,BAKILID BARRIO ROAD,INTERIOR,RR,8400.0
80,MANDAUE CITY,BAKILID,ALL OTHER STREETS,ALONG THE ROAD,CR,18900.0
80,MANDAUE CITY,BAKILID,ALL OTHER STREETS,,RR,15750.0
80,MANDAUE CITY,BAKILID,ALL OTHER STREETS,,I,16800.0
80,MANDAUE CITY,BAKILID,ALL OTHER STREETS,INTERIOR,RR,8400.0
80,MANDAUE CITY,BAKILID,M.C BRIONES (CEBU NORTH ROAD-HIGHWAY),FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.,CR,52600.0
80,MANDAUE CITY,BAKILID,M.C BRIONES (CEBU NORTH ROAD-HIGHWAY),,RR,42000.0
80,MANDAUE CITY,BAKILID,M.C BRIONES (CEBU NORTH ROAD-HIGHWAY),,I,45680.0
80,MANDAUE CITY,BAKILID,M.C BRIONES (CEBU NORTH ROAD-HIGHWAY),INTERIOR,RR,22260.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,FROM M.C. BRIONES ST. TO V. ALBAÑO ST.,CR,28150.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,,RR,23630.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,,I,24360.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,INTERIOR,RR,16070.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN,CR,23420.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,,RR,18900.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,,I,20900.0
80,MANDAUE CITY,BAKILID,L. JAYME ST.,INTERIOR,RR,11760.0
80,MANDAUE CITY,BAKILID,V. ALBAÑO ST.,"FROM A.S. FORTUNA ST., TO L. JAYME ST.",CR,24120.0
80,MANDAUE CITY,BAKILID,V. ALBAÑO ST.,,RR,21000.0
80,MANDAUE CITY,BAKILID,V. ALBAÑO ST.,,I,23100.0
80,MANDAUE CITY,BAKILID,V. ALBAÑO ST.,INTERIOR LOTS - CAR ACCESS,RR,11760.0
80,MANDAUE CITY,BAKILID,ANCIETO SENO ST.,FROM BOUNDARY CASUNTINGAN TO A.S. FORTUNA ST.,CR,24120.0
80,MANDAUE CITY,BAKILID,ANCIETO SENO ST.,,RR,20850.0
80,MANDAUE CITY,BAKILID,ANCIETO SENO ST.,,I,21000.0
80,MANDAUE CITY,BAKILID,ANCIETO SENO ST.,INTERIOR LOTS - CAR ACCESS,RR,11760.0
80,MANDAUE CITY,BAKILID,BAKILID-CASUNTINGAN ROAD,FROM ANICETO SENO ST. TO L. JAYME ST.,CR,23420.0
80,MANDAUE CITY,BAKILID,BAKILID-CASUNTINGAN ROAD,,RR,18900.0
80,MANDAUE CITY,BAKILID,BAKILID-CASUNTINGAN ROAD,,I,20900.0
80,MANDAUE CITY,BAKILID,BAKILID-CASUNTINGAN ROAD,INTERIOR,RR,11760.0
80,MANDAUE CITY,BAKILID,E.V. ESPINA ST. / SACRIS ROAD,FROM BOUNDARY OF TIPOLO TO A. SENO ST,CR,27930.0
80,MANDAUE CITY,BAKILID,E.V. ESPINA ST. / SACRIS ROAD,,RR,22790.0
80,MANDAUE CITY,BAKILID,E.V. ESPINA ST. / SACRIS ROAD,,I,24150.0
80,MANDAUE CITY,BAKILID,E.V. ESPINA ST. / SACRIS ROAD,INTERIOR,RR,14910.0
80,MANDAUE CITY,BAKILID,ALBAÑO SUBDIVISION,,RR,23520.0
80,MANDAUE CITY,BAKILID,TYKA HOMES,,RR,17960.0
80,MANDAUE CITY,BAKILID,RAINBOW HOUSING,,RR,16070.0
80,MANDAUE CITY,BAKILID,ALL OTHER SUBDIVISIONS,,RR,15750.0
80,MANDAUE CITY,BAKILID,J TOWER RESIDENCES,,RC,130750.0
80,MANDAUE CITY,BANILAD,ANACLETO SENO STREET,HERNAN CORTES-CASUNTINGAN,CR,24150.0
80,MANDAUE CITY,BANILAD,ANACLETO SENO STREET,,RR,16800.0
80,MANDAUE CITY,BANILAD,ANACLETO SENO STREET,,I,21000.0
80,MANDAUE CITY,BANILAD,ANACLETO SENO STREET,INTERIOR,RR,11450.0
80,MANDAUE CITY,BANILAD,A S FORTUNA STREET,ALBANO SUBD-HOLY FAMILY,CR,63000.0
80,MANDAUE CITY,BANILAD,A S FORTUNA STREET,,RR,37170.0
80,MANDAUE CITY,BANILAD,A S FORTUNA STREET,,I,52500.0
80,MANDAUE CITY,BANILAD,A S FORTUNA STREET,INTERIOR,RR,15850.0
80,MANDAUE CITY,BANILAD,ELIAS ESPINA STREET,HERNAN CORTES-CEBU CITY,CR,20550.0
80,MANDAUE CITY,BANILAD,ELIAS ESPINA STREET,,RR,17640.0
80,MANDAUE CITY,BANILAD,ELIAS ESPINA STREET,,I,18900.0
80,MANDAUE CITY,BANILAD,ELIAS ESPINA STREET,INTERIOR,RR,12080.0
80,MANDAUE CITY,BANILAD,H. CORTES STREET,TIPOLO-CABANCALAN,CR,26250.0
80,MANDAUE CITY,BANILAD,H. CORTES STREET,,RR,20790.0
80,MANDAUE CITY,BANILAD,H. CORTES STREET,,I,23100.0
80,MANDAUE CITY,BANILAD,H. CORTES STREET,INTERIOR,RR,13130.0
80,MANDAUE CITY,BANILAD,M L QUEZON STREET,,CR,
80,MANDAUE CITY,BANILAD,M L QUEZON STREET,,RR,
80,MANDAUE CITY,BANILAD,M L QUEZON STREET,,I,12600.0
80,MANDAUE CITY,BANILAD,M L QUEZON STREET,INTERIOR,RR,10500.0
80,MANDAUE CITY,BANILAD,P. REMEDIO STREET,A.S. FORTUNA-CABANGCALAN,CR,17250.0
80,MANDAUE CITY,BANILAD,P. REMEDIO STREET,,RR,14700.0
80,MANDAUE CITY,BANILAD,P. REMEDIO STREET,,I,14910.0
80,MANDAUE CITY,BANILAD,P. REMEDIO STREET,INTERIOR,RR,9450.0
80,MANDAUE CITY,BANILAD,"TALAMBAN ACCESS, ADJACENT TO STO. NIÑO VILLAGE",,CR,12600.0
80,MANDAUE CITY,BANILAD,"TALAMBAN ACCESS, ADJACENT TO STO. NIÑO VILLAGE",,RR,6300.0
80,MANDAUE CITY,BANILAD,STO NINO VILLAGE,,RR,24300.0
80,MANDAUE CITY,BANILAD,HOLY FAMILY VILLAGE,,RR,16700.0
80,MANDAUE CITY,BANILAD,EL DORADO SUBD.,,RR,17640.0
80,MANDAUE CITY,BANILAD,LORD OF MERCY SUBD.,,RR,15750.0
80,MANDAUE CITY,BANILAD,GREEN PLAINS SUBD,,RR,16600.0
80,MANDAUE CITY,BANILAD,MANGO GREEN SUBD.,,RR,17330.0
80,MANDAUE CITY,BANILAD,ST. MARTIN SUBD.,,RR,16380.0
80,MANDAUE CITY,BANILAD,ALBANO SUBD.,,RR,16380.0
80,MANDAUE CITY,BANILAD,FLORIMER SUBD.,,RR,13970.0
80,MANDAUE CITY,BANILAD,HIDDEN HOMES,,RR,13020.0
80,MANDAUE CITY,BANILAD,SOLI GRANDE CONDOMIMIUM,,RC,79700.0
80,MANDAUE CITY,BANILAD,SOLI GRANDE CONDOMIMIUM,,PS,49560.0
80,MANDAUE CITY,BANILAD,MIDPOINT RESIDENCES,,RC,122230.0
80,MANDAUE CITY,BANILAD,MIDPOINT RESIDENCES,,PS,59430.0
80,MANDAUE CITY,BANILAD,MIDORI RESIDENCES,,RC,102500.0
80,MANDAUE CITY,BANILAD,MIDORI RESIDENCES,,PS,59430.0
80,MANDAUE CITY,BANILAD,ALL OTHER CONDOMINIUMS,,RC,86730.0
80,MANDAUE CITY,BANILAD,CHATSWOOD RESIDENCES,,RC,110700.0
80,MANDAUE CITY,BASAK,BASAK-DUNGOAN ROAD,CEBU NORTH RD-LABOGON,CR,10250.0
80,MANDAUE CITY,BASAK,BASAK-DUNGOAN ROAD,,RR,8200.0
80,MANDAUE CITY,BASAK,BASAK-DUNGOAN ROAD,,I,9230.0
80,MANDAUE CITY,BASAK,BASAK-DUNGOAN ROAD,INTERIOR,RR,5130.0
80,MANDAUE CITY,BASAK,BASAK-PAGSABUNGAN ROAD,CEBU NORTH RD-LABOGON,CR,18700.0
80,MANDAUE CITY,BASAK,BASAK-PAGSABUNGAN ROAD,,RR,10250.0
80,MANDAUE CITY,BASAK,BASAK-PAGSABUNGAN ROAD,,I,15380.0
80,MANDAUE CITY,BASAK,BASAK-PAGSABUNGAN ROAD,INTERIOR,RR,6150.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET,JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION,CR,18220.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET,,RR,9210.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET,,I,15580.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET,INTERIOR-CAR ACCESS,RR,7380.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET EXTENSION,H. ABELLANA ST. TO BOUNDARY OF BARANGAY PAGSABUNGAN,CR,11720.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET EXTENSION,,RR,7040.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET EXTENSION,,I,8690.0
80,MANDAUE CITY,BASAK,H ABELLANA STREET EXTENSION,INTERIOR-CAR ACCESS,RR,5500.0
80,MANDAUE CITY,BASAK,JOSE RIZAL ST. (NATIONAL HIGHWAY),E. LLENES ST. TO CORNER OF H. ABELLANA ST. (BASAK ELEMENTARY),CR,40750.0
