rdo,city_municipality,barangay,street_subdivision,vicinity,classification,zonal_value
80,SAN REMIGIO*,CALAMBUA,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,CALAMBUA,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,CALAMBUA,BARANGAY ROAD,,A50,75.0
80,SAN REMIGIO*,BUSOGON,ALL LOTS (CHANGE TO),,CR,1000.0
80,SAN REMIGIO*,BUSOGON,NATIONAL ROAD / PROVINCIAL ROAD,,RR,800.0
80,SAN REMIGIO*,BUSOGON,NATIONAL ROAD / PROVINCIAL ROAD,,I,900.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,CR,500.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,RR,300.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,I,400.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A50,100.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,INTERIOR LOTS,CR,300.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,RR,100.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,I,200.0
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A4,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A11,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A15,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A16,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A17,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A18,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,BUSOGON,BARANGAY ROAD,,A50,75.0
80,SAN REMIGIO*,BATAD,ALL LOTS (CHANGE TO),,CR,
80,SAN REMIGIO*,BATAD,NATIONAL ROAD / PROVINCIAL ROAD,,RR,
80,SAN REMIGIO*,BATAD,NATIONAL ROAD / PROVINCIAL ROAD,,I,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,CR,500.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,RR,400.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,I,450.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A50,100.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,INTERIOR LOTS,CR,300.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,RR,200.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,I,250.0
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A4,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A11,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A15,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A16,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A17,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A18,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,BATAD,BARANGAY ROAD,,A50,75.0
80,SAN REMIGIO*,BANCASAN,ALL LOTS (CHANGE TO),,CR,1000.0
80,SAN REMIGIO*,BANCASAN,NATIONAL ROAD / PROVINCIAL ROAD,,RR,800.0
80,SAN REMIGIO*,BANCASAN,NATIONAL ROAD / PROVINCIAL ROAD,,I,900.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,CR,700.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,RR,500.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,I,600.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A50,100.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,INTERIOR LOTS,CR,300.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,RR,300.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,I,300.0
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A4,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A11,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A15,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A16,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A17,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A18,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,BANCASAN,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,BANCASAN,BEACH LOTS,1ST 50 METERS,A39,5000.0
80,SAN REMIGIO*,BANCASAN,BEACH LOTS,BEYOND 50 METERS,A39,3000.0
80,SAN REMIGIO*,BANCASAN,BEACH LOTS,,A50,75.0
80,SAN REMIGIO*,BAGTIC,ALL LOTS (CHANGE TO),,CR,
80,SAN REMIGIO*,BAGTIC,NATIONAL ROAD / PROVINCIAL ROAD,,RR,
80,SAN REMIGIO*,BAGTIC,NATIONAL ROAD / PROVINCIAL ROAD,,I,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,CR,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,RR,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,I,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,INTERIOR LOTS,CR,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,RR,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,I,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,CR,300.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,RR,200.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,I,250.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A50,100.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,INTERIOR LOTS,CR,200.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,RR,150.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,I,175.0
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A4,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A11,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A15,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A16,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A17,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A18,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,BAGTIC,BARANGAY ROAD,,A50,75.0
80,SAN REMIGIO*,ARGAWANON,ALL LOTS (CHANGE TO),,CR,1500.0
80,SAN REMIGIO*,ARGAWANON,NATIONAL ROAD / PROVINCIAL ROAD,,RR,1300.0
80,SAN REMIGIO*,ARGAWANON,NATIONAL ROAD / PROVINCIAL ROAD,,I,1400.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,CR,800.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,RR,600.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,I,700.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A50,100.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,INTERIOR LOTS,CR,500.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,RR,300.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,I,400.0
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A4,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A11,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A15,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A16,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A17,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A18,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,ARGAWANON,BARANGAY ROAD,,A50,75.0
80,SAN REMIGIO*,ANAPOG,ALL LOTS (CHANGE TO),,CR,1500.0
80,SAN REMIGIO*,ANAPOG,NATIONAL ROAD / PROVINCIAL ROAD,,RR,1000.0
80,SAN REMIGIO*,ANAPOG,NATIONAL ROAD / PROVINCIAL ROAD,,I,1250.0
80,SAN REMIGIO*,ANAPOG,NATIONAL ROAD / PROVINCIAL ROAD,INTERIOR LOTS,CR,500.0
80,SAN REMIGIO*,ANAPOG,NATIONAL ROAD / PROVINCIAL ROAD,,RR,300.0
80,SAN REMIGIO*,ANAPOG,NATIONAL ROAD / PROVINCIAL ROAD,,I,400.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,CR,500.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,RR,300.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,I,400.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A50,100.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,INTERIOR LOTS,CR,300.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,RR,200.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,I,250.0
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A4,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A11,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A15,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A16,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A17,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A18,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A25,
80,SAN REMIGIO*,ANAPOG,BARANGAY ROAD,,A26,
80,SAN REMIGIO*,ANAPOG,BEACH LOTS,1ST 50 METERS,A39,5000.0
80,SAN REMIGIO*,ANAPOG,BEACH LOTS,BEYOND 50 METERS,A39,2000.0
80,SAN REMIGIO*,ANAPOG,BEACH LOTS,,A50,75.0
80,SAN REMIGIO*,POBLACION,ALL LOTS (CHANGE TO),,CR,3000.0
80,SAN REMIGIO*,POBLACION,NATIONAL ROAD / PROVINCIAL ROAD,,RR,2500.0
80,SAN REMIGIO*,POBLACION,NATIONAL ROAD / PROVINCIAL ROAD,,I,2750.0
80,SAN REMIGIO*,POBLACION,NATIONAL ROAD / PROVINCIAL ROAD,INTERIOR LOTS,CR,1500.0
80,SAN REMIGIO*,POBLACION,NATIONAL ROAD / PROVINCIAL ROAD,,RR,1300.0
80,SAN REMIGIO*,POBLACION,NATIONAL ROAD / PROVINCIAL ROAD,,I,1400.0
80,SAN REMIGIO*,POBLACION,BARANGAY ROAD,,CR,800.0
80,SAN REMIGIO*,POBLACION,BARANGAY ROAD,,RR,600.0
80,SAN REMIGIO*,POBLACION,BARANGAY ROAD,,I,700.0
80,SAN REMIGIO*,POBLACION,BARANGAY ROAD,INTERIOR LOTS,CR,500.0
80,SAN REMIGIO*,POBLACION,BARANGAY ROAD,,RR,300.0
80,SAN REMIGIO*,POBLACION,BARANGAY ROAD,,I,400.0
80,SOGOD,TAKAY,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,TAKAY,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,TAKAY,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,TAKAY,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,TAKAY,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,TAKAY,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,TAKAY,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,TAKAY,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,TAKAY,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,TABUNOK,ALONG NATIONAL/PROVINCIAL ROAD,,CR,2750.0
80,SOGOD,TABUNOK,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1750.0
80,SOGOD,TABUNOK,ALONG NATIONAL/PROVINCIAL ROAD,,A4,250.0
80,SOGOD,TABUNOK,ALONG NATIONAL/PROVINCIAL ROAD,,A50,200.0
80,SOGOD,TABUNOK,ALONG BARANGAY ROAD,,CR,2250.0
80,SOGOD,TABUNOK,ALONG BARANGAY ROAD,,RR,1500.0
80,SOGOD,TABUNOK,ALONG BARANGAY ROAD,,A50,145.0
80,SOGOD,TABUNOK,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,900.0
80,SOGOD,TABUNOK,BEACH LOTS,1ST 50 METERS,A39,3250.0
80,SOGOD,TABUNOK,BEACH LOTS,BEYOND 50 METERS,A39,2500.0
80,SOGOD,TABUNOK,BEACH LOTS,,A50,100.0
80,SOGOD,TABUNOK,BEACH LOTS,,GP,250.0
80,SOGOD,PANSOY,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,PANSOY,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,PANSOY,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,PANSOY,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,PANSOY,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,PANSOY,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,PANSOY,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,PANSOY,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,PANSOY,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,NAHUS-AN,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,NAHUS-AN,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,NAHUS-AN,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,NAHUS-AN,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,NAHUS-AN,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,NAHUS-AN,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,NAHUS-AN,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,NAHUS-AN,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,NAHUS-AN,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,MOHON,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,MOHON,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,MOHON,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,MOHON,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,MOHON,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,MOHON,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,MOHON,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,MOHON,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,MOHON,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,LUBO,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,LUBO,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,LUBO,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,LUBO,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,LUBO,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,LUBO,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,LUBO,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,LUBO,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,LUBO,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,LIKI,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,LIKI,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,LIKI,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,LIKI,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,LIKI,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,LIKI,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,LIKI,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,LIKI,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,LIKI,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,IBABAO,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,IBABAO,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,IBABAO,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,IBABAO,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,IBABAO,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,IBABAO,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,IBABAO,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,IBABAO,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,IBABAO,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,DAMOLOG,ALONG NATIONAL/PROVINCIAL ROAD,,CR,2500.0
80,SOGOD,DAMOLOG,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1750.0
80,SOGOD,DAMOLOG,ALONG NATIONAL/PROVINCIAL ROAD,,A4,675.0
80,SOGOD,DAMOLOG,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,DAMOLOG,ALONG BARANGAY ROAD,,CR,1650.0
80,SOGOD,DAMOLOG,ALONG BARANGAY ROAD,,RR,1050.0
80,SOGOD,DAMOLOG,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,DAMOLOG,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,DAMOLOG,BEACH LOTS,1ST 50 METERS,A39,3500.0
80,SOGOD,DAMOLOG,BEACH LOTS,BEYOND 50 METERS,A39,2500.0
80,SOGOD,DAMOLOG,BEACH LOTS,,A50,165.0
80,SOGOD,DAMOLOG,BEACH LOTS,,GP,125.0
80,SOGOD,DAKIT,ALONG NATIONAL/PROVINCIAL ROAD,,CR,2000.0
80,SOGOD,DAKIT,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1500.0
80,SOGOD,DAKIT,ALONG NATIONAL/PROVINCIAL ROAD,,A17,750.0
80,SOGOD,DAKIT,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,,A17,
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,DAKIT,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,CALUMBOYAN,ALONG NATIONAL/PROVINCIAL ROAD,,CR,2500.0
80,SOGOD,CALUMBOYAN,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1750.0
80,SOGOD,CALUMBOYAN,ALONG NATIONAL/PROVINCIAL ROAD,,A6,750.0
80,SOGOD,CALUMBOYAN,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,CALUMBOYAN,ALONG BARANGAY ROAD,,CR,1650.0
80,SOGOD,CALUMBOYAN,ALONG BARANGAY ROAD,,RR,1050.0
80,SOGOD,CALUMBOYAN,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,CALUMBOYAN,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,CALUMBOYAN,BEACH LOTS,1ST 50 METERS,A39,3500.0
80,SOGOD,CALUMBOYAN,BEACH LOTS,BEYOND 50 METERS,A39,2500.0
80,SOGOD,CALUMBOYAN,BEACH LOTS,,A50,165.0
80,SOGOD,CALUMBOYAN,BEACH LOTS,,GP,125.0
80,SOGOD,CABANGAHAN,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,CABANGAHAN,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,CABANGAHAN,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,CABANGAHAN,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,CABANGAHAN,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,CABANGAHAN,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,CABANGAHAN,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,CABANGAHAN,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,CABANGAHAN,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,CABALAWAN,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,CABALAWAN,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,CABALAWAN,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,CABALAWAN,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,CABALAWAN,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,CABALAWAN,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,CABALAWAN,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,CABALAWAN,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,CABALAWAN,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,BAWO,ALONG NATIONAL/PROVINCIAL ROAD,,CR,2500.0
80,SOGOD,BAWO,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1750.0
80,SOGOD,BAWO,ALONG NATIONAL/PROVINCIAL ROAD,,A6,750.0
80,SOGOD,BAWO,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,BAWO,ALONG BARANGAY ROAD,,CR,1650.0
80,SOGOD,BAWO,ALONG BARANGAY ROAD,,RR,1050.0
80,SOGOD,BAWO,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,BAWO,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,BAWO,BEACH LOTS,1ST 50 METERS,A39,3500.0
80,SOGOD,BAWO,BEACH LOTS,BEYOND 50 METERS,A39,2500.0
80,SOGOD,BAWO,BEACH LOTS,,A50,165.0
80,SOGOD,BAWO,BEACH LOTS,,GP,125.0
80,SOGOD,BAGATAYAM,ALONG NATIONAL/PROVINCIAL ROAD,,CR,2500.0
80,SOGOD,BAGATAYAM,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1750.0
80,SOGOD,BAGATAYAM,ALONG NATIONAL/PROVINCIAL ROAD,,A6,750.0
80,SOGOD,BAGATAYAM,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,BAGATAYAM,ALONG BARANGAY ROAD,,CR,1650.0
80,SOGOD,BAGATAYAM,ALONG BARANGAY ROAD,,RR,1050.0
80,SOGOD,BAGATAYAM,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,BAGATAYAM,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,BAGATAYAM,ALONG BARANGAY ROAD,,A50,165.0
80,SOGOD,BAGATAYAM,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,BAGAKAY,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,BAGAKAY,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,BAGAKAY,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,BAGAKAY,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,BAGAKAY,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,BAGAKAY,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,BAGAKAY,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,BAGAKAY,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,BAGAKAY,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,AMPONGOL,ALONG NATIONAL/PROVINCIAL ROAD,,CR,1750.0
80,SOGOD,AMPONGOL,ALONG NATIONAL/PROVINCIAL ROAD,,RR,1250.0
80,SOGOD,AMPONGOL,ALONG NATIONAL/PROVINCIAL ROAD,,A50,600.0
80,SOGOD,AMPONGOL,ALONG BARANGAY ROAD,,CR,1150.0
80,SOGOD,AMPONGOL,ALONG BARANGAY ROAD,,RR,925.0
80,SOGOD,AMPONGOL,ALONG BARANGAY ROAD,,A50,150.0
80,SOGOD,AMPONGOL,ALONG BARANGAY ROAD,INTERIOR LOTS,RR,525.0
80,SOGOD,AMPONGOL,ALONG BARANGAY ROAD,,A50,65.0
80,SOGOD,AMPONGOL,ALONG BARANGAY ROAD,,GP,125.0
80,SOGOD,POBLACION,ALONG NATIONAL HIGHWAY,,CR,2750.0
80,SOGOD,POBLACION,ALONG NATIONAL HIGHWAY,,RR,1750.0
80,SOGOD,POBLACION,ALONG NATIONAL HIGHWAY,,A6,275.0
80,SOGOD,POBLACION,E. MONTEJO (LOWER),,CR,2750.0
80,SOGOD,POBLACION,E. MONTEJO (LOWER),,RR,1750.0
80,SOGOD,POBLACION,E. MONTEJO (UPPER),,CR,2750.0
80,SOGOD,POBLACION,E. MONTEJO (UPPER),,RR,1750.0
80,SOGOD,POBLACION,E. PRESBETERO,,CR,2750.0
80,SOGOD,POBLACION,E. PRESBETERO,,RR,1750.0
80,SOGOD,POBLACION,G. MONSANTO ST.,,CR,2750.0
80,SOGOD,POBLACION,G. MONSANTO ST.,,RR,1750.0
80,SOGOD,POBLACION,M. MALVAR ST.,,CR,2750.0
80,SOGOD,POBLACION,M. MALVAR ST.,,RR,1750.0
80,SOGOD,POBLACION,R. MONTEJO ST.,,CR,2750.0
80,SOGOD,POBLACION,R. MONTEJO ST.,,RR,1750.0
80,SOGOD,POBLACION,S. MENCHAVEZ ST.,,CR,2750.0
80,SOGOD,POBLACION,S. MENCHAVEZ ST.,,RR,1750.0
80,SOGOD,POBLACION,S. MONTICILLO ST.,,CR,2750.0
80,SOGOD,POBLACION,S. MONTICILLO ST.,,RR,1750.0
80,SOGOD,POBLACION,SOGOD-CABALAWAN ROAD,,CR,2750.0
80,SOGOD,POBLACION,SOGOD-CABALAWAN ROAD,,RR,1750.0
80,SOGOD,POBLACION,ALL OTHER STREETS,,CR,2750.0
80,SOGOD,POBLACION,ALL OTHER STREETS,,RR,1750.0
80,SOGOD,POBLACION,ALL OTHER STREETS,,A6,300.0
80,SOGOD,POBLACION,ALL OTHER STREETS,,A50,175.0
80,STA. FE,TALISAY,ALL LOTS,ALONG BARANGAY ROAD,CR,2675.0
80,STA. FE,TALISAY,ALL LOTS,,RR,1400.0
80,STA. FE,TALISAY,ALL LOTS,,I,1800.0
80,STA. FE,TALISAY,ALL LOTS,INTERIOR LOTS,A1,
80,STA. FE,TALISAY,ALL LOTS,,A2,
