property_id,city,stratum,latitude,longitude,area_sqm,price_per_sqm,pred_price_per_sqm,bir_zonal_rr_median,listing_gap,model_gap,listing_gap_pct,model_gap_pct
119,Lapu-Lapu City,Condominium,10.32137474,124.0370339,71.0,308450.7042253521,313281.25229471695,7000.0,301450.7042253521,306281.25229471695,4306.438631790744,4375.446461353099
120,Cebu City,Condominium,10.328947,123.905843,105.0,174285.7142857143,207471.94721839033,30000.0,144285.7142857143,177471.94721839033,480.9523809523809,591.5731573946343
121,Lapu-Lapu City,Condominium,10.2987618,124.0157325,45.0,211111.11111111112,199351.62728093824,5000.0,206111.11111111112,194351.62728093824,4122.222222222222,3887.032545618765
123,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,178751.0,103265.24865803578,10000.0,168751.0,93265.24865803578,1687.51,932.6524865803577
124,Lapu-Lapu City,Condominium,10.3232073,124.0351931,68.0,351470.5882352941,393365.3350897994,7000.0,344470.5882352941,386365.3350897994,4921.008403361344,5519.504786997135
126,Lapu-Lapu City,Condominium,10.305224,124.0148829,30.0,118753.33333333331,154314.34889686745,5000.0,113753.33333333331,149314.34889686745,2275.0666666666666,2986.286977937349
128,Lapu-Lapu City,Condominium,10.3074459,124.015483,37.0,162162.16216216216,133494.5345011333,5000.0,157162.16216216216,128494.53450113331,3143.2432432432433,2569.8906900226666
131,Cebu City,Condominium,10.32962093,123.90970479,187.0,290552.5828877005,256139.38680621173,30000.0,260552.58288770053,226139.38680621173,868.5086096256684,753.7979560207058
132,Lapu-Lapu City,Condominium,10.28410958,123.97552209,50.0,158638.28,101849.56397918427,10000.0,148638.28,91849.56397918427,1486.3828,918.4956397918427
133,Cebu City,Condominium,10.3173365,123.9063138,125.0,200000.0,272668.3776789623,51250.0,148750.0,221418.3776789623,290.2439024390244,432.03585888578016
134,Lapu-Lapu City,Condominium,10.2899858,124.0068711,36.0,188888.88888888888,178528.39380106353,5000.0,183888.88888888888,173528.39380106353,3677.777777777778,3470.5678760212704
135,Lapu-Lapu City,Condominium,10.3054728,124.0112255,96.0,156250.0,174219.11089210556,5000.0,151250.0,169219.11089210556,3025.0,3384.3822178421115
