hub_id,place_id,name,types,lat,lon,rating,vicinity
cebu_business_park,ChIJR-jLrXOZqTMRT9yKa7yrPA0,Aly's 5Peso Carwash,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3213966,123.895379,,"Purok 8, Cebu City"
cebu_business_park,ChIJLZSw8OuYqTMRhg4hTRvVJGk,88th Avenue,"[""shopping_mall"", ""lodging"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]",10.3282614,123.9090486,4.0,"Lot 686 Gov. M. Cuenco Avenue, Cebu City"
cebu_business_park,ChIJneYSYpuZqTMRyWt3UjD8H2w,Joejar cornelio,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3082727,123.908451,,"1153 B General Maxilom Avenue Extension, Cebu City"
cebu_business_park,ChIJwSNfwYGZqTMRNrcuh7SWyK4,Bizduck Shop,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3098913,123.8981037,,"0531 Singson Street, Cebu City"
cebu_business_park,ChIJW2prdiyZqTMRnztoCkvkebk,Astral Emporium,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3175402,123.9167196,5.0,"M. Borgonia Street, Cebu City"
cebu_business_park,ChIJh_QBXvaZqTMRSVgF6SLigzg,Lite Port Center,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3070707,123.906466,4.8,"8W44+RHG, M. J. Cuenco Avenue, Cebu City"
cebu_business_park,ChIJvxhRIiKZqTMRvluZby90fZQ,Garden Row,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3298473,123.9067957,4.7,"Ayala Malls Central Bloc, V. Padriga Street, Apas, Cebu City"
cebu_business_park,ChIJdzpU3zCZqTMRVeBW9WZLzcU,GMall of Cebu - White Gold Center,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3088472,123.9124569,4.1,"8W56+GXP, A. Soriano Avenue, Cebu City"
cebu_business_park,ChIJl3r7ck-ZqTMR2XwQ0XeEbsA,One Mango Avenue,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3101432,123.8965653,4.0,"General Maxilom Avenue, Cebu City"
cebu_business_park,ChIJhcgbZCaZqTMRzUWXPrbi3mQ,TheBoulderGarage,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3131178,123.9165294,,"roofdeck, apm, apm Centrale, Cebu City"
cebu_business_park,ChIJ3cbdvtyZqTMRPd2Yvvlc8Hg,Ayala Central Bloc Cinema,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3303523,123.9075586,3.9,"8WJ5+42V, Cebu City"
