property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
2367,open_market,Land For Sale in Jagobiao,"Jagobiao, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3644249,123.9513093,28000000.0,50724.637681159424,10.834167021862383,42209.637681159424,552.0,8819.9,6272.3,7419.1,15528.4,19826.6,3024.6,29343.3,7047.9,3528,75,11.4911,20.2558,56.5563,1.8373,4.0485,1.5681,8.3086,15.8776,13.0235,8515.0,9.049702026013373,16750.0,0,28472667.0
2371,open_market,Residential Lot For Sale in Cebu,"Ridgedale Subdivision, Cebu City, Cebu, Pilipinas",Cebu City,Vacant Lot,10.3672928,123.9088286,25000000.0,25000.0,10.126631103850338,-1375.0,1000.0,6667.2,4354.3,9657.2,14401.6,18699.8,7860.9,28216.5,10176.9,6462,4889,8.4243,10.4115,5.8218,0.4954,0.6374,1.6886,2.3419,7.1261,7.4991,26375.0,10.180209784751566,68100.0,0,7000000.0
2372,open_market,Residential Lot For Sale in Cebu,"Louisaville Road, Talamban, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Vacant Lot,10.36768176,123.9138992,10200000.0,30447.761194029852,10.323767746429434,4072.761194029852,335.0,6079.5,3766.5,9069.4,13813.9,18112.1,7273.2,27628.8,9795.0,5875,4301,21.3958,35.4423,16.4273,1.0649,2.784,7.9816,7.1877,24.6668,22.4096,26375.0,10.180209784751566,68100.0,0,14617389.0
2382,open_market,Residential Lot For Sale in Cebu,"Maryville Subdivision, Talamban Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Vacant Lot,10.3744849,123.9179152,10608000.0,48000.0,10.778956289890028,21625.0,221.0,7200.9,4887.9,10190.8,14935.3,19233.5,7293.2,28750.2,10031.3,6996,4321,9.4665,15.6386,6.1371,4.1026,0.0,4.6079,3.1766,3.1037,9.6268,26375.0,10.180209784751566,68100.0,0,17723321.0
2383,open_market,Residential Lot For Sale in Cebu,"Maryville Subdivision, Talamban Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Vacant Lot,10.3744849,123.9179152,15600000.0,50000.0,10.819778284410283,23625.0,312.0,7200.9,4887.9,10190.8,14935.3,19233.5,7293.2,28750.2,10031.3,6996,4321,9.4665,15.6386,6.1371,4.1026,0.0,4.6079,3.1766,3.1037,9.6268,26375.0,10.180209784751566,68100.0,0,17339321.0
2385,open_market,Residential Lot For Sale in Casili,"Royale Cebu Estates, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3746152,123.9540625,10000000.0,26881.720430107525,10.199201796685173,22381.720430107525,372.0,10102.4,7491.8,8701.6,16810.9,21109.1,1901.0,30625.9,7977.8,4113,151,22.4349,27.9338,76.2004,1.4559,42.6066,5.1878,16.9749,140.7675,29.1242,4500.0,8.412054873292933,4000.0,0,13725500.0
2387,open_market,Land For Sale in Cebu,"Maryville Subdivision, Talamban, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Vacant Lot,10.374882,123.9158098,10044086.0,49235.71568627451,10.804374567704507,22860.71568627451,204.0,7461.9,5149.0,10451.9,15196.3,19494.5,7556.6,29011.3,10218.6,7257,4585,8.025,9.6997,3.6053,4.0644,0.0,2.3636,3.6507,0.0,6.9336,26375.0,10.180209784751566,68100.0,0,17646190.0
2388,open_market,Land For Sale in Casili,"Royale Cebu Estate Tennis Court, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3750413,123.9533135,8500000.0,20094.562647754137,9.908204542414268,15594.562647754135,423.0,10142.1,7531.5,8741.3,16850.6,21148.8,1941.1,30665.5,8050.6,4153,191,21.6449,26.6252,71.4577,1.3794,39.583,4.5486,15.8192,129.0191,27.6484,4500.0,8.412054873292933,4000.0,0,7714867.0
2389,open_market,Residential Lot For Sale in Casili,"Royale Cebu Estate Tennis Court, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3750413,123.9533135,10000000.0,26881.720430107525,10.199201796685173,22381.720430107525,372.0,10142.1,7531.5,8741.3,16850.6,21148.8,1941.1,30665.5,8050.6,4153,191,21.6449,26.6252,71.4577,1.3794,39.583,4.5486,15.8192,129.0191,27.6484,4500.0,8.412054873292933,4000.0,0,7614867.0
2394,open_market,Land For Sale in Tawason,"Tawason, Mandaue City, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3781056,123.9276107,19525000.0,55000.0,10.915088464214607,50125.0,355.0,8279.2,5829.6,10427.9,16013.6,20311.8,5993.2,29828.5,9683.4,6562,3370,8.0842,6.6553,3.1233,0.2521,4.5952,0.5219,2.5854,1.0646,6.9299,4875.0,8.492080490601163,7820.0,0,20652857.0
2395,open_market,Land For Sale in Cebu,"Pristina North, Talamban Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Vacant Lot,10.3797793,123.9235638,67200000.0,100000.0,11.512925464970229,89750.0,672.0,8194.3,5881.4,11184.3,15928.7,20226.9,7115.7,29743.6,10095.0,7685,4493,4.7666,7.8128,6.1108,0.3369,0.0,0.7326,1.1779,2.6817,4.8261,10250.0,9.235130540783402,,0,19353000.0
