title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs
"Condo For Rent in corner, 28th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2br-unit-for-salerent-in-east-gallery-place-ad-217-ln462304,"PHP 170,000/ month","corner, 28th Street, Taguig, Metro Manila",,98 m²,2,2,Available from 19 Dec,,17 Nov 13:16,Housing I.,"['PHP 170,000/ month', '/ month', 'corner, 28th Street, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '98 m²', 'Bathrooms:', '2', 'Available from:', '19 Dec']"
"Condo For Rent in 4th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-3br-unit-with-parking-for-lease-in-pacific-plaza-towers-ad-216-ln479022,"PHP 300,000/ month","4th Avenue, Makati City, Metro Manila",,298 m²,3,2,Available from 19 Dec,,17 Nov 13:16,Housing I.,"['PHP 300,000/ month', '/ month', '4th Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '298 m²', 'Bathrooms:', '2', 'Available from:', '19 Dec']"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-one-rockwell-west-ad-215-ln236245,"PHP 120,000/ month","Rockwell Drive, Makati City, Metro Manila",,98 m²,2,2,Available from 19 Dec,,17 Nov 13:16,Housing I.,"['PHP 120,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '98 m²', 'Bathrooms:', '2', 'Available from:', '19 Dec']"
"Condo For Rent in 98, Perea, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-2-parkings-slots-for-lease-in-the-shang-grand-tower-ad-214-ln987193,"PHP 165,000/ month","98, Perea, Makati City, Metro Manila",,130 m²,2,2,Available from 19 Dec,,17 Nov 13:16,Housing I.,"['PHP 165,000/ month', '/ month', '98, Perea, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '130 m²', 'Bathrooms:', '2', 'Available from:', '19 Dec']"
"Condo For Rent in Cor, 11th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furished-2br-unit-for-leasesale-in-park-triangle-residences-ad-213-ln689109,"PHP 130,000/ month","Cor, 11th Avenue, Taguig, Metro Manila",,82 m²,2,2,Available from 19 Dec,,17 Nov 13:16,Housing I.,"['PHP 130,000/ month', '/ month', 'Cor, 11th Avenue, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '82 m²', 'Bathrooms:', '2', 'Available from:', '19 Dec']"
"Condo For Rent in 305, 3rd Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/a-fully-furnished-unit-for-leased-in-mckinley-park-residences-ad-212-ln651827,"PHP 120,000/ month","305, 3rd Avenue, Makati City, Metro Manila",,98.36 m²,3,3,Available from 19 Dec,,17 Nov 13:15,Housing I.,"['PHP 120,000/ month', '/ month', '305, 3rd Avenue, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '98.36 m²', 'Bathrooms:', '3', 'Available from:', '19 Dec']"
"Condo For Rent in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-balcony-and-parking-for-lease-in-proscenium-at-rockwell-ad-211-ln130943,"PHP 115,000/ month","Estrella, Makati City, Metro Manila",,99 m²,2,2,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 115,000/ month', '/ month', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '99 m²', 'Bathrooms:', '2', 'Available from:', '20 Dec']"
"Condo For Rent in Cor, 11th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-park-triangle-residences-ad-210-ln994490,"PHP 140,000/ month","Cor, 11th Avenue, Taguig, Metro Manila",,97 m²,2,2,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 140,000/ month', '/ month', 'Cor, 11th Avenue, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '97 m²', 'Bathrooms:', '2', 'Available from:', '20 Dec']"
"Condo For Rent in Chateau Road, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-2br-unit-for-lease-in-st-moritz-private-estate-ad-209-ln736810,"PHP 130,000/ month","Chateau Road, Taguig, Metro Manila",,117 m²,2,2,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 130,000/ month', '/ month', 'Chateau Road, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '117 m²', 'Bathrooms:', '2', 'Available from:', '20 Dec']"
"Condo For Rent in Cor, 11th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-park-triangle-residences-ad-208-ln606769,"PHP 125,000/ month","Cor, 11th Avenue, Taguig, Metro Manila",,82 m²,2,2,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 125,000/ month', '/ month', 'Cor, 11th Avenue, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '82 m²', 'Bathrooms:', '2', 'Available from:', '20 Dec']"
"House and Lot For Sale in Las Piñas, Metro Manila",https://lifenavi.com/ph/properties/las-pinas/for-sale/house-and-lot/brandnew-house-and-lot-for-sale-in-ayala-southvale-village-sonera-ad-207-ln738747,"PHP 135,000,000","Las Piñas, Metro Manila",,500 m²,4,4,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 135,000,000', 'Las Piñas, Metro Manila', 'Bedrooms:', '4', 'Area:', '500 m²', 'Bathrooms:', '4', 'Available from:', '20 Dec']"
"Condo For Rent in 2016, 9th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-unit-for-leased-in-one-uptown-ritz-residences-ad-206-ln859915,"PHP 110,000/ month","2016, 9th Avenue, Makati City, Metro Manila, 1634",,88 m²,2,2,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 110,000/ month', '/ month', '2016, 9th Avenue, Makati City, Metro Manila, 1634', 'Bedrooms:', '2', 'Area:', '88 m²', 'Bathrooms:', '2', 'Available from:', '20 Dec']"
"Condo For Rent in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-rent/condo/a-2br-unit-for-leased-in-grand-hyatt-residences-ad-205-ln935111,"PHP 140,000/ month","Taguig, Metro Manila",,105 m²,2,2,Available from 20 Dec,,17 Nov 13:15,Housing I.,"['PHP 140,000/ month', '/ month', 'Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '105 m²', 'Bathrooms:', '2', 'Available from:', '20 Dec']"
