stratum,count,min,p5,p25,median,mean,p75,p95,max,std,cv
Condominium,706,714.2857142857143,77445.38010204083,132639.69562460366,175651.43333333332,184654.50655066725,220332.38383838383,339079.36893203884,552630.0,80866.3997874786,0.4379335294765184
Vacant Lot,217,2300.0,10000.0,16580.310880829016,30450.0,58958.69998438581,65000.0,237999.99999999953,408000.0,75350.96107049144,1.2780295544244842
Houses,568,10000.0,38663.66158113731,63415.38379530917,78774.63235294117,118847.94384258303,107953.04288419914,197909.16,14285714.285714284,598898.558886698,5.039200002315173
