mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
1.2681566238403321,0.11420474816259861,0.027306652069091795,0.022498868709443804,,0.8,1,2,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.3656974604660575,-0.4097606372842224,-0.4348987659656245,-0.3251551986533214,-0.36741566418867283,-0.334992966949934,-0.39388998778668144,-0.37657312882340144,-0.4025290031861985,-0.4460124924511293,-0.38458729252941104,-0.4129691997972306,-0.4062883274580406,-0.38699113598466073,-0.32001224050929156,-0.38451823346892516,0.036061283121149944,9
2.267870283126831,0.17016806129032688,0.03106371561686198,0.0075693848222037246,,0.8,1,2,300,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.3659880607524306,-0.4058503433336259,-0.43507477525414623,-0.3235283459209868,-0.36638366939251726,-0.33317182739646395,-0.3923513529309881,-0.3773824503544943,-0.40248404121531584,-0.4481436844945605,-0.3812519465473343,-0.4166045316011225,-0.4070196896771015,-0.3879652700504085,-0.31949675628749397,-0.38417978301393263,0.036794192282383544,4
2.613986523946126,0.14484729753849937,0.04221547444661458,0.008398156282199719,,0.8,1,2,400,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-0.36661052282929796,-0.4050724528084942,-0.43394798140515234,-0.3237465054839073,-0.3639596973073392,-0.33145053553998916,-0.39078456883161006,-0.37718130246272774,-0.4024853662563986,-0.44898464103090585,-0.38332826458671815,-0.4149183175915745,-0.40461848187388505,-0.3857836170354841,-0.320664140818377,-0.3835690930574574,0.03659268273527566,2
1.231181001663208,0.0655521174350949,0.021553834279378254,0.007439793742097165,,0.8,1,4,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",-0.3627196453484628,-0.4161718226856954,-0.4356797398077798,-0.3230097916489592,-0.36459942728363787,-0.33188994414977546,-0.3923446098668332,-0.3780638140046453,-0.40440662509328995,-0.45109965492442017,-0.38920570963167833,-0.417453131454341,-0.40478153909143944,-0.3888524035487005,-0.3200050135568461,-0.38535219147310035,0.03800311150127039,24
1.884649403889974,0.08704492151704724,0.028078730901082358,0.009639603119695828,,0.8,1,4,300,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",-0.36430710568585445,-0.41015309166030095,-0.43414664200049397,-0.32319764958215824,-0.3661422689609753,-0.3302082575041689,-0.3898591209902663,-0.3791597670651898,-0.40512198070843863,-0.4515647607448286,-0.3857027631388979,-0.4192207080000725,-0.4054627130280788,-0.38866744167551004,-0.3203193842634765,-0.3848822436672475,0.037713060774596005,14
2.4013061046600344,0.09867027475315553,0.03980625470479329,0.01057776116408722,,0.8,1,4,400,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 400}",-0.3667454631845312,-0.4095012346559289,-0.4346514671317301,-0.3253528023202069,-0.3649472120311367,-0.3297417296072363,-0.3897529824511744,-0.3785134694535505,-0.4049774430842602,-0.450664381081516,-0.38339322664201403,-0.41617215326937784,-0.40614662249946387,-0.38823952583106713,-0.3202483640733338,-0.3846032051544352,0.03724704241949276,11
1.0820997873942058,0.046630131895860315,0.01928121248881022,0.004281963965158848,,0.8,2,2,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.36465149894815896,-0.4208058707215847,-0.4344847852956559,-0.3281360635625111,-0.37151472697086035,-0.3373247709067193,-0.3920189863390706,-0.3854864040289783,-0.396030687189706,-0.4549949313443654,-0.39792059314430284,-0.4179318461537459,-0.408274287520119,-0.38413975276852586,-0.31832278388631563,-0.3874691992520413,0.03746278160468564,69
1.6607007026672362,0.09563974406580376,0.029890791575113932,0.008312774386418404,,0.8,2,2,300,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-0.3637644566961419,-0.41605435100088733,-0.4336851824834064,-0.32682629874390023,-0.37160883643858716,-0.33631581462328797,-0.3903049375098388,-0.38570697488878253,-0.39726240181736217,-0.4538515495064733,-0.39497542584208617,-0.41990109365050576,-0.40923866253159713,-0.38342794911035977,-0.3191783802015429,-0.3868068210029839,0.03726469410602819,57
2.196218649546305,0.057085084809368684,0.03658638000488281,0.004207558220150535,,0.8,2,2,400,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-0.36436170619024133,-0.41519639282839843,-0.4336652931680258,-0.3276922655680067,-0.37068638334397813,-0.33659336408958784,-0.3917113368529773,-0.38541668864586376,-0.39730927951775274,-0.4524020385550734,-0.39509269726639706,-0.4183191323693167,-0.4067998471575382,-0.38374129897171855,-0.31856601311543037,-0.38650358250935374,0.036829795316380594,49
1.1139718691507976,0.10189509476639844,0.01725169817606608,0.00409466496871193,,0.8,2,4,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-0.36465149894815896,-0.4208058707215847,-0.4344847852956559,-0.3281360635625111,-0.37151472697086035,-0.3373247709067193,-0.3920189863390706,-0.3854864040289783,-0.396030687189706,-0.4549949313443654,-0.39792059314430284,-0.4179318461537459,-0.408274287520119,-0.38413975276852586,-0.31832278388631563,-0.3874691992520413,0.03746278160468564,69
