mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0.36439878145853677,0.08664249447283319,0.004480520884195964,0.002148108987651849,0.9,400,3,4,0.1,0.7,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.7}",-0.4130315798624232,-0.8403600802492791,-0.6533932990836949,-0.7658272148269999,-0.8197100379636988,-0.7164230730532228,-0.8055074108709885,-0.4903582924981423,-0.5806380509628212,-0.9021081599502172,-0.5662309042176114,-0.5054404448406136,-0.8470670051163821,-0.819473139690809,-0.8492907045031546,-0.7049906265126705,0.15207413363250757,35
0.6904184500376384,0.050991598456886,0.00533900260925293,0.002963354051247467,0.8,500,5,8,0.1,1.0,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.41110466443446586,-0.8318484016490113,-0.6192589591849853,-0.7872740491173518,-0.8300098888910057,-0.6874344429951371,-0.7544614530668093,-0.5096167911178174,-0.5974040452751843,-0.9055886891700532,-0.5775605944906389,-0.5192413344572733,-0.8427385336540962,-0.7526840380798346,-0.8262640949731935,-0.6968326653704573,0.14391026194944934,27
0.40983357429504397,0.04194488068957952,0.0029615561167399087,0.0009455085830682676,0.9,200,1,6,0.05,1.0,"{'subsample': 0.9, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",-0.3278809345809879,-0.8445521104928879,-0.6381072783576034,-0.6967918990541437,-0.7992996811363634,-0.6584425697912972,-0.7415389572318006,-0.5122414994727448,-0.5315072785706796,-0.8928019072174779,-0.5568593791938686,-0.463206277137208,-0.743029111864224,-0.7043731463343988,-0.83816255162394,-0.6632529721373083,0.15375355483757672,4
0.7490207354227701,0.158480746027324,0.025571378072102864,0.05257201122379831,0.9,400,5,6,0.1,0.9,"{'subsample': 0.9, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-0.37317629273396685,-0.8193019889950884,-0.6520038034036162,-0.7547182070897572,-0.7945987648771721,-0.6418662659026957,-0.782879331358934,-0.46037669040347945,-0.6226469906448464,-0.8948272812615294,-0.5692761385029673,-0.5227167433201403,-0.8324535478284556,-0.8005775423046061,-0.8297411371269824,-0.6900773817169491,0.15020787796923213,18
0.2634931882222494,0.02775941010888072,0.0038965543111165366,0.0016893436919923626,0.7,200,5,8,0.1,0.8,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",-0.38651852102657497,-0.8285803421440059,-0.6156668017524564,-0.73131489629493,-0.7768322951111353,-0.7144055669313505,-0.7819254112629277,-0.49951788692445453,-0.6337560683445507,-0.9131443523580366,-0.5845341185005163,-0.5376329861076868,-0.8209911697467813,-0.7950723822899131,-0.8526592067928157,-0.6981701337058757,0.14430482653285928,30
0.5275866508483886,0.05095228071677297,0.0053937435150146484,0.0024317848870259204,0.9,200,1,7,0.03,0.9,"{'subsample': 0.9, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",-0.33050286417841795,-0.8196594633852117,-0.6265626054595481,-0.7154543472361926,-0.7932708190236172,-0.6546713586663492,-0.7552573739689112,-0.5449882721564858,-0.5170586261667882,-0.886299486208644,-0.57175398733955,-0.44528783747861944,-0.7356680040360923,-0.7394309976644493,-0.8464338856551248,-0.6654866619082668,0.15279992551510527,7
1.4150981585184732,0.06905441922228919,0.006185102462768555,0.0034718910121673582,0.8,500,1,7,0.03,1.0,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.03, 'colsample_bytree': 1.0}",-0.3207486747498065,-0.8145826894661047,-0.6323262269419835,-0.7203437014688794,-0.7945264764794078,-0.642218761652983,-0.7558134716269459,-0.530366931639145,-0.5209784590328512,-0.8924303770585347,-0.5638916054721428,-0.46192993699347573,-0.7509126678346013,-0.7423045496680801,-0.8456344236282302,-0.6659339302475449,0.1546142575207286,8
0.19873261451721191,0.02490190406066545,0.0033681392669677734,0.0018659555134962827,0.7,200,1,4,0.07,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.07, 'colsample_bytree': 0.9}",-0.3336354502188319,-0.8374517027950649,-0.6347860965656351,-0.6640350253449435,-0.8134682509608452,-0.6494525268129104,-0.7371837290863305,-0.5165371471993475,-0.5070124050801559,-0.9318078673422657,-0.5587307250017155,-0.48647786635071766,-0.7640955370407769,-0.7137571388592663,-0.8607497301401127,-0.6672787465865946,0.15910985733227012,10
0.5178154627482097,0.024748792901769772,0.003097995122273763,0.0007077691999192134,0.7,400,1,5,0.1,0.9,"{'subsample': 0.7, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.9}",-0.32602862254132303,-0.8040907839137929,-0.625756996372718,-0.697954226676897,-0.7846412010901691,-0.6626667573911255,-0.740590426106055,-0.5224353237082574,-0.5410184941621987,-0.867275000274299,-0.5828140548901701,-0.47242958431223575,-0.8279657857448613,-0.6613021949777488,-0.8365327473668552,-0.6635668133019138,0.14906834539912334,6
0.42567394574483236,0.0368863478419968,0.0053362210591634115,0.005691874515736845,0.8,500,1,4,0.05,0.8,"{'subsample': 0.8, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.3147449778090778,-0.8341703576793619,-0.6189007998434004,-0.6757172565260553,-0.7763935373072748,-0.6794278585529819,-0.7217481100479006,-0.5031034741827366,-0.5071934004170885,-0.912272333028287,-0.5661571932725131,-0.47477273179777374,-0.7882928796941743,-0.7476172483730835,-0.8329783226188948,-0.663566032076707,0.1587031112982639,5
