stratum,model,n,MdAPE,PE20,MAPE,COD,PRD,PE10
Condominium,OLS,1300,24.465373043172097,40.23076923076923,42.16871276454712,44.23063710597765,1.2714476548708982,19.692307692307693
Condominium,Random Forest,1300,19.322568440179854,51.0,36.544184640683724,37.68038769307068,1.2148238987651265,27.923076923076923
Condominium,XGBoost,1300,19.808157682699846,50.07692307692307,37.227277884738875,37.949292781000985,1.2077918255885591,26.692307692307693
Houses,OLS,1223,25.0638553086252,41.21013900245298,38.68875961498355,38.97974276772509,1.224352807887811,21.09566639411284
Houses,Random Forest,1223,22.66876986243632,44.317252657399834,35.08846937568412,35.75492106372572,1.2034900822113743,23.46688470973017
Houses,XGBoost,1223,23.64119559890755,43.17252657399837,35.74149870648375,36.34332947318934,1.19070908832503,22.976287816843826
Vacant Lot,OLS,849,44.7900270422677,22.143698468786805,61.8597235210534,58.24104563107152,1.5228325792555248,12.249705535924617
Vacant Lot,Random Forest,849,38.356651811372785,26.03062426383981,58.26083371212548,55.92264116489928,1.4813672475512385,12.131919905771497
Vacant Lot,XGBoost,849,40.22126642690779,26.73733804475854,64.99750141957506,62.47862217199951,1.4722673871545953,14.487632508833922
