stratum,tier,n_feats,n,MdAPE,PE20,MAPE
Condominium,1_structural,5,1300,24.90348240224892,41.15384615384615,42.33748867124262
Condominium,2_+admin,11,1300,22.953374118309405,45.30769230769231,39.27362849018662
Condominium,3_+geospatial,21,1300,19.25029704512263,51.153846153846146,36.362060021135335
Houses,1_structural,8,1223,27.13141843512114,38.920686835650045,41.054319470657234
Houses,2_+admin,14,1223,22.298000882186038,45.707277187244486,36.02752506215644
Houses,3_+geospatial,24,1223,22.953217335529484,44.39901880621423,35.09539897176013
Vacant Lot,1_structural,1,849,51.51789854500556,20.141342756183743,87.61760716979646
Vacant Lot,2_+admin,7,849,42.344958330257256,26.855123674911663,64.99481098599207
Vacant Lot,3_+geospatial,22,849,38.57250589782651,26.61955241460542,58.22278729282605
