Stratum,Model,MAPE,MdAPE,R2_sqm,MAE_sqm,RMSE_sqm,R2_total,MAE_total,RMSE_total
Condominium,OLS,47.883011118616125,25.771427634714733,0.13714648664660845,57339.982095489606,73346.79235522523,0.6015062900940757,4099788.6409468926,8513601.834057178
Condominium,Random Forest,30.67458565092107,15.920993568332753,0.5988767085871942,35884.64983976009,50009.38686883038,0.8634566255584699,2392178.979567416,4983539.623142935
Condominium,XGBoost,53.26599264118105,15.887193003809863,-9.205029458694717,55598.059883124915,252243.34748591733,0.834506503286464,2544457.1773564997,5486470.722083699
Houses,OLS,33.883686906206144,24.31722202674444,0.20951810336355103,26493.768637159414,39759.219616912174,0.6496735663919082,7236996.449186431,14747284.059388055
Houses,Random Forest,30.693135940512033,24.269566074943118,0.48706924225021353,24027.929993441856,32027.368634588838,0.7258542440129395,7088647.033412997,13045668.998589016
Houses,XGBoost,33.088070640362645,24.31946432638483,0.4200725022040438,25770.913654783904,34054.83169749996,0.6980180708298062,7432309.900013485,13691974.110657021
Vacant Lot,OLS,65.5753859682076,30.366249654887707,0.3353322213963834,22033.50812166299,48177.94186869391,-0.07072081184945778,44779914.67689265,124543441.66735417
Vacant Lot,Random Forest,58.56260615436724,23.34333063152082,0.5726136138098272,18687.365135624936,38632.80771273606,0.4667367245311246,34700334.425637916,87892856.42277995
Vacant Lot,XGBoost,60.35574043706986,29.38597782353757,0.637102902903671,16958.903249002713,35598.99007739588,0.43221579432009116,30421528.446425237,90693130.8382407
