city,stratum,n,median_listing_gap,median_model_gap,median_listing_gap_pct,median_model_gap_pct,pct_market_above_bir
Cebu City,Condominium,654.0,126356.1776061776,122394.94007144358,368.2926829268293,383.66265029853935,94.95412844036697
Cebu City,Houses,350.0,65064.021909233175,63602.83755312998,326.6381766381767,294.5493838764302,98.85714285714286
Cebu City,Vacant Lot,313.0,24932.218844984804,24932.977776234213,114.6341463414634,111.85763345368127,88.49840255591054
Consolacion,Condominium,6.0,74225.0,99184.44545225042,3092.708333333333,4132.685227177101,100.0
Consolacion,Houses,117.0,66350.0,62276.230459030514,1963.157894736842,1904.716678526743,100.0
Consolacion,Vacant Lot,96.0,12350.0,14676.024741146808,346.5458366167586,479.8138846305695,100.0
Lapu-Lapu City,Condominium,389.0,151250.0,138858.34475433864,2268.421052631579,2469.917551776136,100.0
Lapu-Lapu City,Houses,250.0,55361.11111111111,53039.40528267774,895.0248756218906,900.1080528795968,99.6
Lapu-Lapu City,Vacant Lot,138.0,11287.292817679558,14892.923347204203,201.83160721135405,275.59031662808013,100.0
Mandaue City,Condominium,226.0,139614.4278606965,128826.34660140927,896.5618571848369,821.5738307472407,100.0
Mandaue City,Houses,168.0,63596.086956521736,62936.70317843199,566.6666666666667,544.8949030725419,99.40476190476191
Mandaue City,Vacant Lot,106.0,35205.36144578313,32422.677318335613,378.36647762786606,307.02328319119135,99.05660377358491
Minglanilla,Condominium,9.0,72757.98429319372,106850.1110400505,1039.3997756170531,1526.4301577150072,100.0
Minglanilla,Houses,127.0,57733.72781065089,55799.55844095903,820.8561473369836,781.6917819001583,100.0
Minglanilla,Vacant Lot,62.0,10945.652173913044,16441.819592079446,172.51343546963983,221.6709767075915,96.7741935483871
Talisay City,Condominium,16.0,114477.59119496855,100996.33899375514,1272.689738919247,1210.5020943648217,100.0
Talisay City,Houses,211.0,56785.71428571429,55597.31470395921,622.2222222222223,608.7576574305176,100.0
Talisay City,Vacant Lot,134.0,12000.0,15790.290949440563,150.0,171.68811027229546,97.01492537313433
Cebu City,ALL,1317.0,80916.66666666669,74276.8539472036,311.11111111111103,283.4492906856663,94.45709946848899
Consolacion,ALL,219.0,47600.0,51917.38985786416,1361.988304093567,1318.0195784169975,100.0
Lapu-Lapu City,ALL,777.0,81933.53684210527,69736.14086676973,1396.2593516209474,1155.315422419704,99.87129987129987
Mandaue City,ALL,500.0,83781.84455005606,76872.40024615388,672.6696824289592,626.6837094393254,99.6
Minglanilla,ALL,198.0,49427.644230769234,48788.10591653951,700.5594096442902,679.3197894485825,98.98989898989899
Talisay City,ALL,361.0,47142.857142857145,48855.77772234769,478.0346820809249,489.4244655794191,98.89196675900277
