Stratum,Config,heldout_MAPE,heldout_MdAPE,heldout_R2_sqm,kfold_MAPE_mean,kfold_MAPE_std,kfold_MdAPE_mean,kfold_MdAPE_std,kfold_R2sqm_mean,kfold_R2sqm_std,deployed
Condominium,RF baseline,30.674585650921067,15.920993568332682,0.5988767085871944,28.644684268179777,4.490428447217819,15.525152121622455,2.169798460101737,0.43851308169566394,0.2303078024960883,True
Condominium,RF tuned,30.697637919522514,15.79260190929499,0.5949934187156709,28.85925803113635,4.510680042438006,16.09297827739683,1.9013805905765104,0.4378718647931746,0.23041984479544694,False
Condominium,XGB baseline,53.26599264118105,15.887193003809863,-9.205029458694717,33.08240304445958,10.733162140474498,15.64564093247681,2.353928325523721,-1.288346731807026,4.422760600474492,False
Condominium,XGB tuned,29.745781297850783,16.361576082839353,0.5772378930537878,29.915218474989363,4.323087434857791,16.604722324415924,1.8934745448099766,0.39613346443848446,0.21643552425766366,False
Houses,RF baseline,30.69313594051204,24.269566074942993,0.487069242250214,29.83497172007167,2.16488557726063,20.63073241057028,1.8894065652345509,0.3782411098197868,0.09377182924565843,False
Houses,RF tuned,30.782728944083665,24.116760408234512,0.4817127907941363,29.9259335154001,2.301344777126193,21.13974986293427,1.9022461960385555,0.3805645983951795,0.08922634882009561,False
Houses,XGB baseline,33.088070640362645,24.31946432638483,0.4200725022040438,30.11421664588689,2.8238846261939723,21.060579363095236,1.8835107722550162,0.35227301918059484,0.10818504812182717,False
Houses,XGB tuned,31.238501633524944,23.989661918950944,0.44946532497630987,29.611444791896638,2.5907230723736188,20.529549213243527,1.904866814277645,0.37831149688898164,0.08645047453229258,True
Vacant Lot,RF baseline,58.56260615436724,23.343330631520683,0.5726136138098272,75.36106009118602,44.889305694400754,25.468434794916945,6.0645492017733265,0.3583415524235175,0.20732884206906488,False
Vacant Lot,RF tuned,59.90777099602246,24.452387782119274,0.5538408507883106,74.79422027702891,43.470741531292795,25.40939134275518,6.283177483281695,0.35349101043625,0.1991934059964234,True
Vacant Lot,XGB baseline,60.35574043706986,29.38597782353757,0.637102902903671,79.23666611256854,45.78699573803276,25.903159177817763,5.851989489839084,0.3435169427813962,0.27215458782538804,False
Vacant Lot,XGB tuned,62.93272801341183,26.254412854548413,0.6328218356896795,76.03019165088577,47.05801060147207,25.33879664021965,5.0419123597056394,0.36867734900794286,0.25974174579540804,False
