title,price,location,description,link,latitude,longitude,gmaps_formatted_address
CENTRO SALCEDO ST. MAKATI,"PHP 1,527,600,000","180 Salcedo Street, Legaspi Village, Makati",Vacant Lot on Salcedo St. Makati,,14.5566402,121.0156369,"180 Salcedo, Legazpi Village, Makati, 1229 Kalakhang Maynila, Philippines"
"2 BEDROOMS COMBINED UNITS FOR SALE IN VICEROY CONDOMINIUM, MCKINLEY","PHP 11,420,000","Mckinley Hill, Fort Bonifacio",2BR Combined Unit with parking,,14.5371778,121.0553155,"McKinley Hill Dr, Pinagsama, Taguig, Metro Manila, Philippines"
"1BR CONDOMINIUM FOR SALE IN TIME SQUARE WEST, TAGUIG","PHP 10,170,000",Taguig,"A furnished 1 bedroom condominium unit with 1 parking space for sale in Time Square West, Taguig. This property has a floor area of 39 SQM, priced at Php 10,170,000.",,14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"3BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, ACACIA ESTATES, TAGUIG","PHP 6,080,000","Acacia Estate, Ivory Tower, Rosewood Pointe Levi B. Mariano Ave, Taguig, Metro Manila",3BR with drying cage,,14.5285406,121.0629224,"Ivory Tower, Rosewood Pointe, Acacia Estates, Taguig, Metro Manila, Philippines"
"LOT FOR SALE - 627 SQM - BRGY. CARMONA, MAKATI",125000,"H. Santos Street, Carmona, Makati",Vacant Lot,,14.5765948,121.0175855,"H. Santos, Carmona, Makati City, Metro Manila, Philippines"
UNIT 14A - RUFINO PACIFIC TOWER - OFFICE UNIT FOR SALE (214 SQM),"PHP 42,000,000","Rufino Pacific Tower, Ayala Avenue corner V.A. Rufino, Makati City",Unit 14F - Rufino Pacific Tower - Office Unit for Sale (214 sqm),,14.5581397,121.0180253,"6784 Ayala Avenue, corner V.A. Rufino St, Makati City, 1229 Metro Manila, Philippines"
"LOT FOR SALE IN MAHOGANY PLACE 1, TAGUIG","PHP 21,300,000",Taguig,Lot Area: 142 SQM,,14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
6.4 HA LUMBIA PROPERTY FOR SALE IN CDO,"PHP 24,876,005","Lumbia, Cagayan De Oro",,,8.4106179,124.5860608,"Lumbia, Cagayan De Oro City, Misamis Oriental, Philippines"
NBS QUEZON AVENUE,"PHP 2,299,999,730","Quezon Avenue, Quezon City",Commercial Property,,14.6352005,121.0231537,"Quezon Ave, Quezon City, Metro Manila, Philippines"
"STUDIO FOR SALE IN THE LERATO TOWER 2, MAKATI","PHP 5,900,000","7232 Malugay, Brgy, Makati, Kalakhang Maynila",Studio,,14.5623333,121.0161531,"Alphaland Makati Place, 7232 Malugay Street corner Ayala Avenue Extension,, 7232 Malugay, Makati, Kalakhang Maynila, Philippines"
"3BR CONDOMINIUM FOR SALE IN HORIZON HOMES, BGC, TAGUIG CITY","PHP 310,000,000","3rd Ave. cor. 30th St. Bonifacio Global City, Taguig City",3 Bedroom with Family Room,,14.553077,121.0463668,"30th St & 3rd Ave, Post Proper Northside, Taguig, Metro Manila, Philippines"
PRIME 1.4 HECTARE COMMERCIAL LOT IN LEGAZPI CITY,"PHP 1,022,000,000","Imedla Roces Avenue (Tahao Road), Legazpi City, Albay",Vacant Lot,,13.1476345,123.7432996,"Tahao Rd, Legazpi City, Albay, Philippines"
BANILAD CEBU PROPERTY FOR SALE,"PHP 2,400,000,000","Governor M. Cuenco Avenue, Barangay Kasambagan, Cebu City.",Aboitiz Land Corporate Center in Cebu,,10.3366448,123.9111308,"Gov. M. Cuenco Ave, Kasambagan, Cebu City, 6000 Cebu, Philippines"
"2BR CONDOMINIUM FOR SALE IN MARICIELO VILLAS MADRID BLDG, LAS PIÑAS","PHP 4,480,000","Quirino Avenue, Casimiro Ave, Las Piñas, 1740 Metro Manila",2 Bedroom with balcony,,14.4850809,120.9848908,"Quirino Ave, Las Piñas, Metro Manila, Philippines"
1687 SQM LOT FOR SALE IN QUEZON CITY,296558400,"Sto. Tomas St., Quezon City","1,600 sqm. commercial land",,14.6170336,121.0094029,"Sto. Tomas St, Aurora, Quezon City, Metro Manila, Philippines"
314-SQM OFFICE UNIT IN SALCEDO VILLAGE,"P145,000","The Peak Tower, L.P. Leviste St., Salcedo Village, Makati",Units 2101 and 2102,,14.5601796,121.0195925,"107 L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines"
"1 BEDROOM WITH BALCONY FOR SALE ELIZABETH PLACE, MAKATI","PHP 15,200,000","332 Sen. Gil J. Puyat Ave, Makati, Metro Manila",1BR with balcony,,14.5616881,121.0208173,"Elizabeth Place, 332 Sen. Gil J. Puyat Ave, Makati City, Metro Manila, Philippines"
1330 ROXASBOULEVARD,"PHP 1,772,655,000",1330 Roxas Boulevard,Vacant Lot,,14.576076,120.9803725,"1330 Roxas Blvd, Ermita, Manila, 1000 Metro Manila, Philippines"
PRIME COMMERCIAL PROPERTY FOR SALE IN NOVALICHES QC,89500,"Quirino Highway corner Sarmiento St., Novaliches Quezon City",Prime Corner Lot Ideal for Commercial and Residential Development,,14.7195067,121.0399004,"Quirino Highway & Sarmiento, Novaliches Proper, Quezon City, Metro Manila, Philippines"
"STUDIO FOR SALE IN THE LERATO TOWER 1, MAKATI","PHP 5,900,000","7232 Malugay, Brgy, Makati, Kalakhang Maynila",Studio,,14.5623333,121.0161531,"Alphaland Makati Place, 7232 Malugay Street corner Ayala Avenue Extension,, 7232 Malugay, Makati, Kalakhang Maynila, Philippines"
"2 HECTARE CBD LOT , NAGA CITY","PHP 711,165,000","CBD 2 Barrio Triangulo, Naga City, Camarines Sur",Vacant Lot,,13.6177558,123.2007283,"2nd St, Concepcion Pequeña, Naga City, Camarines Sur, Philippines"
"5BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 120,000,000","Ayala Alabang Village, Muntinlupa",2 storey house with attic,,14.4051949,121.0249093,"New Alabang Village, Muntinlupa, Metro Manila, Philippines"
HOUSE AND LOT FOR SALE INSIDE AYALA ALABANG,"PHP 250,000,000","Country Club Drive, Ayala Alabang",House and Lot for sale inside Ayala Alabang,,14.3981281,121.0217795,"Country Club Dr, New Alabang Village, Muntinlupa, Metro Manila, Philippines"
"9.4 HA BEACHFRONT PROPERTY FOR SALE IN SAN VICENTE, PALAWAN","PHP 942,650,000","Teed, Brgy. New Canipo, San Vicente, Palawan","9.4-hectare beachfront property located in Brgy. New Canipo, San Vicente, Palawan. This offering features a 283-meter beachfront with a 260-meter road frontage.",,10.6895583,119.3598782,"New Canipo, San Vicente, Palawan, Philippines"
"2BR CONDOMINIUM FOR SALE IN CBY TOWER, BINONDO, MANILA","PHP 9,636,000","Binondo, Manila",2 Bedrooms with balcony,,14.601192,120.9750065,"Binondo, Manila, 1006 Metro Manila, Philippines"
FELINA CORPORATE PLAZA EASTWOOD,"PHP 1,400,000,000","Strategically located in the heart of Eastwood City, Quezon City, Felina Corporate Plaza is a modern 12-storey, PEZA-accredited boutique office building developed by Felina Properties Inc. Designed to foster creativity and collaboration, it offers state-of-the-art amenities and a prime address for businesses, particularly those in the BPO sector. Tenants benefit from its integration within the vibrant live-work-play community of Eastwood, providing unparalleled access to a wide array of dining, retail, and lifestyle conveniences right at their doorstep.","Strategically located in the heart of Eastwood City, Quezon City, Felina Corporate Plaza is a modern 12-storey, PEZA-accredited boutique office building developed by Felina Properties Inc. Designed to foster creativity and collaboration, it offers state-of-the-art amenities and a prime address for businesses, particularly those in the BPO sector. Tenants benefit from its integration within the vibrant live-work-play community of Eastwood, providing unparalleled access to a wide array of dining, retail, and lifestyle conveniences right at their doorstep.",,14.6076552,121.0795639,"Felina Corporate Plaza, 5 Eastwood Ave, Bagumbayan, Quezon City, 1110 Metro Manila, Philippines"
"RESIDENTIAL / COMMERCIAL PROPERTY FOR SALE IN POBLACION, MAKATI","PHP 142,000,000","Poblacion, Makati",3 Storey Bldg.,,14.5656805,121.0320766,"Poblacion, Makati City, Metro Manila, Philippines"
TROPICAL PALMS,"PHP 23,000,000",dela Rosa St Legazpi Village Makati,2 BR condominium,,14.5583879,121.0163678,"Legazpi Street & Dela Rosa Street, San Lorenzo, Makati, Kalakhang Maynila, Philippines"
"2 BEDROOMS WITH BALCONY FOR SALE IN ADMIRAL SUITES, MANILA","PHP 25,000,000","2138 Roxas Blvd, Malate, Manila, 1004 Metro Manila",2BR with balcony,,14.5654004,120.9856098,"2138 Roxas Blvd, Malate, Manila, 1004 Metro Manila, Philippines"
"2,076 SQM. MANOC MANOC, BORACAY LOT FOR SALE","PHP 36,165,611","Brgy. Manoc Manoc, Malay, Aklan","Vacant 2,076 sqm. lot in Manoc Manoc, Boracay",,11.9506306,121.9347959,"Manoc-Manoc, Malay, Aklan, Philippines"
"81.7 HA BEACHFRONT PROPERTY FOR SALE IN STA. CRUZ, DAVAO","PHP 381,008,400","Astorga, Sta. Cruz, Davao",81.7 HA Land,,6.914870499999999,125.4508003,"Astorga, Santa Cruz, Davao del Sur, Philippines"
"WESTBOROUGH TOWN CENTER (2,109 SQM.)","PHP 337,440,000","Westborough Town Center, Inchican, Silang, Cavite",Westborough Town Center,,14.2479625,121.0480781,"62XX+56P, City of Santa Rosa, Cavite, Philippines"
LARGE CALOOCAN PROPERTY FOR SALE,"PHP 1,184,880,000","Dagat Dagatan Avenue, Caloocan City","9,874 sqms of land located strategically near ports, and major highways.",,14.6529548,120.9653629,"Dagat-Dagatan Ave, Caloocan, Metro Manila, Philippines"
"6.5 HAS BILAR, BOHOL","PHP 73,529,412","Bilar, Bohol","65,000 sqm.",,9.7137517,124.1309397,"Bilar, Bohol, Philippines"
BLUE RIDGE A CORNER LOT WITH OLD HOUSE FOR SALE ALONG KATIPUNAN AVE. QUEZON CITY,"PHP 200,000,000","R. Matanda cor. Katipunan Ave. Project 4, Lungsod Quezon City",Corner Lot with old house,,14.6173445,121.0714975,"Katipunan Avenue & R. Matanda, Blue Ridge A, Project 4, Quezon City, 1800 Metro Manila, Philippines"
"46 HECTARES - SAN FRANCISCO, LIPA, BATANGAS","PHP 1,841,000,000","San Francisco, Lipa, Batangas","46 has property in Lipa, Batangas",,13.8942484,121.2483291,"San Francisco, Lipa City, Batangas, Philippines"
"3BR HOUSE AND LOT FOR SALE IN GREENWOODS EXECUTIVE VILLAGE, TAYTAY, RIZAL","PHP 24,000,000","Taytay, Rizal","A semi-furnished 3 bedroom house and lot for sale in Greenwoods Executive Village, Taytay, Rizal with a lot area of 150 SQM and a floor area of 276 SQM, priced at Php 24,000,000. This 2 storey property has 1 covered car garage and 2 open parking, a spacious veranda connecting to all bedrooms, family room, maid's room, dirty kitchen, swimming pool with lounge and pump room.",,14.5528807,121.125706,"Taytay, Rizal, Philippines"
"1 BEDROOM FOR SALE IN KNIGHTSBRIDGE RESIDENCES, MAKATI CITY","PHP 8,010,000","A. Spring St. cor Valdez St., Poblacion, Makati City",1BR,,14.566761,121.0294816,"B. Valdez, Poblacion, Makati, Kalakhang Maynila, Philippines"
"3BR CONDOMINIUM FOR SALE IN PROSCENIUM AT ROCKWELL, MAKATI","PHP 90,000,000",Makati City,3 Bedrooms with 2 Parking slots,,14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"REGALADO HIGHWAY PROPERTY, QUEZON CITY","PHP 68,000,000","Regalado Highway, North Fairview, Quezon City",Regalado Highway Property,,14.7165128,121.0612049,"Regalado Hwy, North Fairview, Quezon City, Metro Manila, Philippines"
