title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs,latitude,longitude,gmaps_formatted_address
"Condo For Rent in corner, 9th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/furnished-3br-unit-with-parking-for-lease-in-the-luxe-residences-ad-12-ln955838,"PHP 211,000/ month","corner, 9th Avenue, Taguig, Metro Manila",,230 m²,3,3,Available from 9 May,,04 Nov 13:48,Housing I.,"['PHP 211,000/ month', '/ month', 'corner, 9th Avenue, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '230 m²', 'Bathrooms:', '3', 'Available from:', '9 May']",14.5548671,121.0520261,"Avida Towers Turf, Lane S, Taguig, 1630 Metro Manila, Philippines"
"Condo For Sale in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/fully-furnished-2br-unit-with-parking-for-salerent-in-proscenium-at-rockwell-ad-11-ln349561,"PHP 46,000,000","Estrella, Makati City, Metro Manila",,118 m²,2,2,Available from 23 Oct,,04 Nov 13:48,Housing I.,"['PHP 46,000,000', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '118 m²', 'Bathrooms:', '2', 'Available from:', '23 Oct']",14.5635098,121.0388541,"Estrella, Makati City, Metro Manila, Philippines"
"Condo For Rent in 116, L.P. Leviste Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/classic-2-bedroom-unit-with-balconies-for-rent-in-lpl-manor-ad-10-ln599652,"PHP 55,000/ month","116, L.P. Leviste Street, Makati City, Metro Manila, 1227",,150 m²,2,2,Available from 23 Apr,,04 Nov 13:48,Housing I.,"['PHP 55,000/ month', '/ month', '116, L.P. Leviste Street, Makati City, Metro Manila, 1227', 'Bedrooms:', '2', 'Area:', '150 m²', 'Bathrooms:', '2', 'Available from:', '23 Apr']",14.5597252,121.0203239,"LPL Manor, 116 L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines"
"Condo For Rent in 2021, 9th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-uptown-ritz-residences-ad-9-ln223612,"PHP 129,500/ month","2021, 9th Avenue, Makati City, Metro Manila",,93.5 m²,2,2,Available from 1 Feb,,04 Nov 13:48,Housing I.,"['PHP 129,500/ month', '/ month', '2021, 9th Avenue, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '93.5 m²', 'Bathrooms:', '2', 'Available from:', '1 Feb']",14.5574837,121.0537185,"2021 9th Ave, Makati City, Metro Manila, Philippines"
"Condo For Rent in 14F, West Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-unit-for-leased-in-park-terraces-ad-8-ln659326,"PHP 110,000/ month","14F, West Street, Makati City, Metro Manila",,110 m²,2,1,Available from 13 Dec,,04 Nov 13:48,Housing I.,"['PHP 110,000/ month', '/ month', '14F, West Street, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '110 m²', 'Bathrooms:', '1', 'Available from:', '13 Dec']",14.5506199,121.0237574,"14F West St, Makati City, Metro Manila, Philippines"
"Condo For Rent in 14F, West Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-park-terraces-ad-7-ln617660,"PHP 120,000/ month","14F, West Street, Makati City, Metro Manila",,103 m²,2,2,Available from 1 Mar,,04 Nov 13:48,Housing I.,"['PHP 120,000/ month', '/ month', '14F, West Street, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '103 m²', 'Bathrooms:', '2', 'Available from:', '1 Mar']",14.5506199,121.0237574,"14F West St, Makati City, Metro Manila, Philippines"
"Condo For Rent in Rada, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2-bedroom-unit-for-rent-in-la-maison-ad-6-ln858121,"PHP 45,000/ month","Rada, Legazpi Village, Makati City, Metro Manila",,60 m²,1,1,Available from 2 Oct,,04 Nov 13:48,Housing I.,"['PHP 45,000/ month', '/ month', 'Rada, Legazpi Village, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '60 m²', 'Bathrooms:', '1', 'Available from:', '2 Oct']",14.555681,121.018033,"Ground Floor, Frabelle Business Center, 111 Rada, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
"Warehouse For Rent in 10, Henry Street, Pasig",https://lifenavi.com/ph/properties/pasig/for-rent/warehouse/as-is-where-is-warehouse-for-lease-in-pasig-ad-5-ln177358,"PHP 150,000/ month","10, Henry Street, Pasig, Metro Manila, 1600",,500 m²,,,Vacant,Semi-Furnished,04 Nov 13:48,Housing I.,"['PHP 150,000/ month', '/ month', '10, Henry Street, Pasig, Metro Manila, 1600', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '500 m²', 'Available from:', '29 Oct']",14.61536,121.0977983,"CHRISTINE VILLAGE, 10 Henry St, Pasig, 1600 Metro Manila, Philippines"
"For Rent in 30, 11th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/commercial/office-space-for-rent-at-bgc-corporate-center-1-ad-4-ln952737,"PHP 1,042,886/ month","30, 11th Avenue, Taguig, Metro Manila",,802.22 m²,,,Vacant,Semi-Furnished,04 Nov 13:48,Housing I.,"['PHP 1,042,886/ month', '/ month', '30, 11th Avenue, Taguig, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '802.22 m²', 'Available from:', '29 Oct']",14.5507823,121.0531894,"30 11th Ave, Makati City, Metro Manila, Philippines"
"Condo For Rent in 191, Salcedo, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/unfurnished-2-bedroom-unit-with-parking-in-the-rise-for-rent-ad-3-ln540867,"PHP 75,000/ month","191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229",,67.92 m²,2,2,Available from 30 Oct,,04 Nov 13:48,Housing I.,"['PHP 75,000/ month', '/ month', '191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229', 'Bedrooms:', '2', 'Area:', '67.92 m²', 'Bathrooms:', '2', 'Available from:', '30 Oct']",14.5572954,121.0150982,"Zeta Bldg, 191 Salcedo, Legaspi, Makati City, 1229 Metro Manila, Philippines"
"Condo For Rent in 56, Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-lease-1br-unit-proscenium-residences-ad-2-ln438611,"PHP 70,000/ month","56, Estrella, Makati City, Metro Manila",,60 m²,1,1,Available from 1 Nov,,04 Nov 13:48,Housing I.,"['PHP 70,000/ month', '/ month', '56, Estrella, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '60 m²', 'Bathrooms:', '1', 'Available from:', '1 Nov']",14.562112,121.0391933,"56 Estrella, Makati City, 1209 Metro Manila, Philippines"
"House and Lot For Sale in 337, El Grande Avenue, Parañaque",https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/brand-new-house-in-bf-northwest-paranaque-city-for-sale-ln288375,"PHP 29,900,000","337, El Grande Avenue, Parañaque, Metro Manila, 1700",,300 m²,5+,3,Available from 04 Nov,,04 Nov 12:59,Grace L.,"['PHP 29,900,000', '337, El Grande Avenue, Parañaque, Metro Manila, 1700', 'Bedrooms:', '5+', 'Area:', '300 m²', 'Bathrooms:', '3', 'Available from:', '04 Nov']",14.4595428,121.007743,"F255+R3G, 337 El Grande Ave, Parañaque, 1700 Metro Manila, Philippines"
"Office For Sale in 34th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/office/office-space-in-capital-house-bgc-taguig-city-ln632967,"PHP 14,500,000","34th Street, Taguig, Metro Manila",,62.46 m²,,,Vacant,Unfurnished,04 Nov 12:52,Grace L.,"['PHP 14,500,000', '34th Street, Taguig, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '62.46 m²', 'Available from:', '04 Nov']",14.5551038,121.0519006,"34th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
"Condo For Sale in 105, St.Jude, Pasig",https://lifenavi.com/ph/properties/pasig/for-sale/condo/studio-unit-condo-for-sale-in-travertine-at-portico-pasig-c-ln726699,"PHP 5,500,000","105, St.Jude, Pasig, Metro Manila, 1605",,30 m²,Studio,1,Available from 04 Nov,,04 Nov 12:46,Grace L.,"['PHP 5,500,000', '105, St.Jude, Pasig, Metro Manila, 1605', 'Bedrooms:', 'Studio', 'Area:', '30 m²', 'Bathrooms:', '1', 'Available from:', '04 Nov']",14.5737382,121.0652999,"105 St.Jude, Pasig, 1605 Metro Manila, Philippines"
"Condo For Sale in Dela Rosa Access Road 3, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-unit-in-kroma-tower-makati-city-for-sale-ln886023,"PHP 11,000,000","Dela Rosa Access Road 3, Makati City, Metro Manila",,59 m²,1,1,Available from 04 Nov,,04 Nov 12:37,Grace L.,"['PHP 11,000,000', 'Dela Rosa Access Road 3, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '59 m²', 'Bathrooms:', '1', 'Available from:', '04 Nov']",14.5586128,121.0171285,"Dela Rosa Access Rd 3, San Lorenzo, Makati City, Metro Manila, Philippines"
"Land only For Sale in Quezon City, Metro Manila",https://lifenavi.com/ph/properties/quezon-city/for-sale/land-only/lot-for-sale-in-filinvest-northview-2-qc-ln854159,"PHP 7,680,000","Quezon City, Metro Manila",,192 m²,Studio,1,Available from 04 Nov,,04 Nov 12:33,Grace L.,"['PHP 7,680,000', 'Quezon City, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '192 m²', 'Bathrooms:', '1', 'Available from:', '04 Nov']",14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines"
"House and Lot For Sale in Samal, Davao Region",https://lifenavi.com/ph/properties/samal/for-sale/house-and-lot/land-house-farm-and-more-ln787906,"PHP 3,500","Samal, Davao Region",,8643 m²,2,1,Available from 03 Nov,,04 Nov 07:47,Nikolaos C.,"['PHP 3,500', 'Samal, Davao Region', 'Bedrooms:', '2', 'Area:', '8643 m²', 'Bathrooms:', '1', 'Available from:', '03 Nov']",7.0835209,125.7057809,"Samal, Davao del Norte, Philippines"
"Office For Sale in Cor, 11th Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/office/office-space-for-sale-in-high-street-south-corporate-ad-194-ln799697,"PHP 133,200,000","Cor, 11th Avenue, Taguig, Metro Manila",,307 m²,,,Vacant,Semi-Furnished,30 Oct 17:07,Housing I.,"['PHP 133,200,000', 'Cor, 11th Avenue, Taguig, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '307 m²', 'Available from:', '11 Dec']",14.5224445,121.0575673,"11th Ave, Taguig, Metro Manila, Philippines"
"For Rent in Rada, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/commercial/office-space-for-lease-in-makati-ad-193-ln754172,"PHP 313,500/ month","Rada, Legazpi Village, Makati City, Kalakhang Maynila",,418 m²,,,Vacant,Semi-Furnished,30 Oct 17:07,Housing I.,"['PHP 313,500/ month', '/ month', 'Rada, Legazpi Village, Makati City, Kalakhang Maynila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '418 m²', 'Available from:', '13 Feb']",14.555681,121.018033,"Ground Floor, Frabelle Business Center, 111 Rada, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
"Condo For Rent in 28, Plaza Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/stylish-1br-condo-unit-at-joya-lofts-and-towers-for-rent-ad-192-ln321602,"PHP 65,000/ month","28, Plaza Drive, Makati City, Metro Manila",,67 m²,1,1,Available from 1 Jul,,30 Oct 17:07,Housing I.,"['PHP 65,000/ month', '/ month', '28, Plaza Drive, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '67 m²', 'Bathrooms:', '1', 'Available from:', '1 Jul']",14.5651714,121.0370271,"Rockwell, Makati, Joya Lofts & Towers, 28 Plaza Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-unit-for-lease-in-the-residences-at-greenbelt-ad-191-ln425553,"PHP 110,000/ month","Paseo de Roxas, Makati City, Metro Manila",,123 m²,2,2,Available from 1 Jul,,30 Oct 17:07,Housing I.,"['PHP 110,000/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '123 m²', 'Bathrooms:', '2', 'Available from:', '1 Jul']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Sale in 56, Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/low-rise-river-view-3-bedroom-unit-in-rockwell-ad-190-ln592552,"PHP 59,500,000","56, Estrella, Makati City, Metro Manila",,126 m²,3,3,Available from 1 Jul,,30 Oct 17:07,Housing I.,"['PHP 59,500,000', '56, Estrella, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '126 m²', 'Bathrooms:', '3', 'Available from:', '1 Jul']",14.562112,121.0391933,"56 Estrella, Makati City, 1209 Metro Manila, Philippines"
"Condo For Sale in 121, H.V. Dela Costa, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-unit-for-sale-the-salcedo-park-condominium-ad-189-ln106501,"PHP 36,500,000","121, H.V. Dela Costa, Makati City, Metro Manila",,180 m²,3,3,Available from 1 Jul,,30 Oct 17:07,Housing I.,"['PHP 36,500,000', '121, H.V. Dela Costa, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '180 m²', 'Bathrooms:', '3', 'Available from:', '1 Jul']",14.5616,121.02437,"121 H.V. Dela Costa, Makati City, 1200 Metro Manila, Philippines"
"For Rent in Pasig, Metro Manila",https://lifenavi.com/ph/properties/pasig/for-rent/commercial/office-for-lease-in-ortigas-ad-188-ln296500,"PHP 58,440/ month","Ortigas Center, Pasig, Metro Manila",,97.4 m²,,,Vacant,Semi-Furnished,30 Oct 17:07,Housing I.,"['PHP 58,440/ month', '/ month', 'Ortigas Center, Pasig, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '97.4 m²', 'Available from:', '23 Jul']",14.583771,121.0596753,"Ortigas Center, Pasig, Metro Manila, Philippines"
"Condo For Sale in corner, 28th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/fully-furnished-2br-unit-for-sale-in-east-gallery-place-ad-187-ln683165,"PHP 65,500,000","corner, 28th Street, Taguig, Metro Manila",,161 m²,2,2,Available from 2 Jul,,30 Oct 17:07,Housing I.,"['PHP 65,500,000', 'corner, 28th Street, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '161 m²', 'Bathrooms:', '2', 'Available from:', '2 Jul']",14.5500835,121.0488744,"28th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
"Condo For Sale in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/fully-furnished-3br-unit-with-parking-for-sale-in-the-residences-at-greenbelt-ad-186-ln682284,"PHP 61,000,000","Paseo de Roxas, Makati City, Metro Manila",,195 m²,3,3,Available from 2 Jul,,30 Oct 17:07,Housing I.,"['PHP 61,000,000', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '195 m²', 'Bathrooms:', '3', 'Available from:', '2 Jul']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Sale in Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/fully-furnished-3br-unit-with-parking-for-sale-in-proscenium-at-rockwell-ad-185-ln252620,"PHP 85,000,000","Estrella, Makati City, Metro Manila",,194 m²,3,4,Available from 3 Jul,,30 Oct 17:06,Housing I.,"['PHP 85,000,000', 'Estrella, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '194 m²', 'Bathrooms:', '4', 'Available from:', '3 Jul']",14.5635098,121.0388541,"Estrella, Makati City, Metro Manila, Philippines"
"House and Lot For Sale in 8003, Real Street, Las Piñas",https://lifenavi.com/ph/properties/las-pinas/for-sale/house-and-lot/the-enclave-alabang-5br-house-and-lot-for-sale-ad-184-ln116625,"PHP 75,000,000","8003, Real Street, Las Piñas, Metro Manila",,600 m²,5+,5,Available from 4 Jul,,30 Oct 17:06,Housing I.,"['PHP 75,000,000', '8003, Real Street, Las Piñas, Metro Manila', 'Bedrooms:', '5+', 'Area:', '600 m²', 'Bathrooms:', '5', 'Available from:', '4 Jul']",14.4223026,121.0398964,"8003 Real Street, Alabang, Las Piñas, Metro Manila, Philippines"
"Condo For Sale in 30th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/furnished-4br-unit-with-parking-for-sale-in-horizon-homes-at-shangri-la-at-the-fort-ad-183-ln659878,"PHP 400,000,000","30th Street, Taguig, Metro Manila",,418 m²,4,4,Available from 4 Jul,,30 Oct 17:06,Housing I.,"['PHP 400,000,000', '30th Street, Taguig, Metro Manila', 'Bedrooms:', '4', 'Area:', '418 m²', 'Bathrooms:', '4', 'Available from:', '4 Jul']",14.5523327,121.0485608,"30th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
"Condo For Sale in corner, 28th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/3br-unit-for-sale-in-east-gallery-place-ad-182-ln303192,"PHP 100,000,000","corner, 28th Street, Taguig, Metro Manila",,247 m²,3,3,Available from 7 Jul,,30 Oct 17:06,Housing I.,"['PHP 100,000,000', 'corner, 28th Street, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '247 m²', 'Bathrooms:', '3', 'Available from:', '7 Jul']",14.5500835,121.0488744,"28th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
"Condo For Rent in Le Grand Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-2br-unit-with-parking-for-leasesale-in-park-mckinley-west-ad-181-ln470595,"PHP 120,000/ month","Le Grand Avenue, McKinley West, Taguig, Metro Manila",,115 m²,2,2,Available from 7 Jul,,30 Oct 17:06,Housing I.,"['PHP 120,000/ month', '/ month', 'Le Grand Avenue, McKinley West, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '115 m²', 'Bathrooms:', '2', 'Available from:', '7 Jul']",14.5372944,121.0462907,"McKinley West Park, Le Grand Ave, Taguig, Metro Manila, Philippines"
"House and Lot For Sale in Dasmarinas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/house-and-lot/5br-house-and-lot-for-sale-in-dasmarinas-village-ad-180-ln730799,"PHP 800,000,000","Dasmarinas, Makati City, Metro Manila",,750 m²,5+,5,Available from 10 Jul,,30 Oct 17:06,Housing I.,"['PHP 800,000,000', 'Dasmarinas, Makati City, Metro Manila', 'Bedrooms:', '5+', 'Area:', '750 m²', 'Bathrooms:', '5', 'Available from:', '10 Jul']",14.5402416,121.0292097,"Dasmariñas, Makati City, Metro Manila, Philippines"
"House and Lot For Rent in 1100, Katipunan Avenue, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-rent/house-and-lot/for-lease-4br-in-blue-ridge-residences-ad-179-ln995211,"PHP 100,000/ month","1100, Katipunan Avenue, Diliman, Quezon City, Metro Manila, 1800",,350 m²,4,3,Available from 1 Oct,,30 Oct 17:06,Housing I.,"['PHP 100,000/ month', '/ month', '1100, Katipunan Avenue, Diliman, Quezon City, Metro Manila, 1800', 'Bedrooms:', '4', 'Area:', '350 m²', 'Bathrooms:', '3', 'Available from:', '1 Oct']",14.6507143,121.0749743,"1100 Katipunan Ave, Matandang Balara, Diliman, Quezon City, 1800 Metro Manila, Philippines"
"Condo For Rent in 28, Amorsolo Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/furnished-2br-unit-with-parking-for-lease-in-edades-tower-ad-178-ln770272,"PHP 120,000/ month","28, Amorsolo Drive, Makati City, Metro Manila, 1210",,98 m²,2,2,Available from 10 Jul,,30 Oct 17:06,Housing I.,"['PHP 120,000/ month', '/ month', '28, Amorsolo Drive, Makati City, Metro Manila, 1210', 'Bedrooms:', '2', 'Area:', '98 m²', 'Bathrooms:', '2', 'Available from:', '10 Jul']",14.5660746,121.0356403,"28 Amorsolo Dr, Makati City, 1210 Metro Manila, Philippines"
"Condo For Rent in Le Grand Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/fully-furnished-2br-unit-with-parking-for-rent-in-park-mckinley-west-ad-177-ln362703,"PHP 200,000/ month","Le Grand Avenue, McKinley West, Taguig, Metro Manila",,120 m²,2,2,Available from 11 Jul,,30 Oct 17:06,Housing I.,"['PHP 200,000/ month', '/ month', 'Le Grand Avenue, McKinley West, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '120 m²', 'Bathrooms:', '2', 'Available from:', '11 Jul']",14.5372944,121.0462907,"McKinley West Park, Le Grand Ave, Taguig, Metro Manila, Philippines"
"Condo For Rent in Cruzada Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/semi-furnished-3br-unit-with-parking-for-lease-in-one-roxas-triangle-ad-176-ln137506,"PHP 300,000/ month","Cruzada Street, Makati City, Metro Manila",,309 m²,3,3,Available from 11 Jul,,30 Oct 17:06,Housing I.,"['PHP 300,000/ month', '/ month', 'Cruzada Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '309 m²', 'Bathrooms:', '3', 'Available from:', '11 Jul']",14.5602124,121.0284584,"Cruzada St, Urdaneta, Makati City, Metro Manila, Philippines"
"Condo For Rent in 26th St, 4th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/for-lease-2br-one-mckinley-place-bgc-ad-175-ln356863,"PHP 140,000/ month","26th St, 4th Avenue, Makati City, Metro Manila",,114 m²,2,2,Available from 11 Jul,,30 Oct 17:06,Housing I.,"['PHP 140,000/ month', '/ month', '26th St, 4th Avenue, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '114 m²', 'Bathrooms:', '2', 'Available from:', '11 Jul']",14.5493139,121.0460905,"26th St & 4th Ave, Post Proper Northside, Taguig, Metro Manila, Philippines"
"Condo For Rent in 26th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/spacious-2br-penthouse-unit-with-parking-for-rent-in-icon-plaza-ad-174-ln420161,"PHP 140,000/ month","26th Street, Taguig, Metro Manila",,120 m²,2,2,Available from 14 Jul,,30 Oct 17:06,Housing I.,"['PHP 140,000/ month', '/ month', '26th Street, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '120 m²', 'Bathrooms:', '2', 'Available from:', '14 Jul']",14.5479522,121.050241,"26th St, Taguig, Metro Manila, Philippines"
"Condo For Rent in Hidalgo Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-the-manansala-tower-ad-173-ln960258,"PHP 100,000/ month","Hidalgo Drive, Makati City, Metro Manila",,106 m²,2,2,Available from 1 Aug,,30 Oct 17:06,Housing I.,"['PHP 100,000/ month', '/ month', 'Hidalgo Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '106 m²', 'Bathrooms:', '2', 'Available from:', '1 Aug']",14.5638119,121.0365674,"Hidalgo Dr, Poblacion, Makati City, Metro Manila, Philippines"
"Condo For Rent in 2021, 9th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-2br-unit-with-parking-for-lease-in-uptown-ritz-residences-ad-172-ln845793,"PHP 110,000/ month","2021, 9th Avenue, Makati City, Metro Manila",,94.3 m²,2,2,Available from 14 Jul,,30 Oct 17:06,Housing I.,"['PHP 110,000/ month', '/ month', '2021, 9th Avenue, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '94.3 m²', 'Bathrooms:', '2', 'Available from:', '14 Jul']",14.5574837,121.0537185,"2021 9th Ave, Makati City, Metro Manila, Philippines"
"Condo For Rent in San Agustin Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/fully-furnished-3br-unit-with-parking-for-rentsale-in-escala-salcedo-ad-171-ln189799,"PHP 180,000/ month","San Agustin Street, Makati City, Metro Manila",,129 m²,3,3,Available from 14 Jul,,30 Oct 17:06,Housing I.,"['PHP 180,000/ month', '/ month', 'San Agustin Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '129 m²', 'Bathrooms:', '3', 'Available from:', '14 Jul']",14.5588942,121.0222535,"San Agustin St, Bel-Air, Makati City, Metro Manila, Philippines"
"House and Lot For Sale in Las Piñas, Metro Manila",https://lifenavi.com/ph/properties/las-pinas/for-sale/house-and-lot/brand-new-house-for-sale-at-ayala-southvale-sonera-ad-170-ln794119,"PHP 120,000,000","Las Piñas, Metro Manila",,500 m²,4,4,Available from 14 Jul,,30 Oct 17:06,Housing I.,"['PHP 120,000,000', 'Las Piñas, Metro Manila', 'Bedrooms:', '4', 'Area:', '500 m²', 'Bathrooms:', '4', 'Available from:', '14 Jul']",14.449342,120.9818609,"Las Piñas, Metro Manila, Philippines"
"Condo For Rent in Pasig, Metro Manila",https://lifenavi.com/ph/properties/pasig/for-rent/condo/fully-furnished-3br-unit-with-parking-for-lease-in-the-grove-by-rockwell-ad-169-ln427048,"PHP 130,000/ month","Pasig, Metro Manila",,127 m²,3,3,Available from 15 Jul,,30 Oct 17:06,Housing I.,"['PHP 130,000/ month', '/ month', 'Pasig, Metro Manila', 'Bedrooms:', '3', 'Area:', '127 m²', 'Bathrooms:', '3', 'Available from:', '15 Jul']",14.5608245,121.0776048,"Pasig, Metro Manila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/semi-furnished-2br-loft-type-unit-with-parking-for-lease-in-one-rockwell-ad-168-ln931565,"PHP 120,000/ month","Rockwell Drive, Makati City, Metro Manila",,125 m²,2,2,Available from 15 Jul,,30 Oct 17:06,Housing I.,"['PHP 120,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '125 m²', 'Bathrooms:', '2', 'Available from:', '15 Jul']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"House and Lot For Rent in Makati Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/house-and-lot/4br-duplex-house-for-rent-in-san-lorenzo-village-ad-167-ln193860,"PHP 230,000/ month","Makati Avenue, Makati City, Metro Manila",,300 m²,4,4,Available from 14 Jul,,30 Oct 17:06,Housing I.,"['PHP 230,000/ month', '/ month', 'Makati Avenue, Makati City, Metro Manila', 'Bedrooms:', '4', 'Area:', '300 m²', 'Bathrooms:', '4', 'Available from:', '14 Jul']",14.5592038,121.0266058,"Makati Ave, Makati City, Metro Manila, Philippines"
"Condo For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-skyflat-unit-with-parking-for-sale-in-garden-towers-ad-166-ln326048,"PHP 76,000,000","Makati City, Metro Manila",,218 m²,3,3,Available from 16 Jul,,30 Oct 17:06,Housing I.,"['PHP 76,000,000', 'Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '218 m²', 'Bathrooms:', '3', 'Available from:', '16 Jul']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
