Model,MAPE_sqm,MAE_sqm,RMSE_sqm
OLS,201.62834853474538,37849.43561791267,93352.38560355341
Random Forest,59.27626630597958,19742.940108038238,70189.47169892483
XGBoost,60.140166815955865,20963.610540354268,72012.53290535872
