Model,MAE,MAPE,RMSE,R2
OLS,9817411.025316138,201.62834853474538,59820879.976827905,0.0826991711872388
Random Forest,4950161.267574935,59.27626630597958,27448002.68405811,0.8068798071933738
XGBoost,6322294.093072602,60.140166815955865,44538840.90116085,0.4915081313652241
