mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,split10_test_rmse,split11_test_rmse,split12_test_rmse,split13_test_rmse,split14_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,split4_train_rmse,split5_train_rmse,split6_train_rmse,split7_train_rmse,split8_train_rmse,split9_train_rmse,split10_train_rmse,split11_train_rmse,split12_train_rmse,split13_train_rmse,split14_train_rmse,mean_train_rmse,std_train_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,split10_test_mae,split11_test_mae,split12_test_mae,split13_test_mae,split14_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_train_mae,split1_train_mae,split2_train_mae,split3_train_mae,split4_train_mae,split5_train_mae,split6_train_mae,split7_train_mae,split8_train_mae,split9_train_mae,split10_train_mae,split11_train_mae,split12_train_mae,split13_train_mae,split14_train_mae,mean_train_mae,std_train_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,split10_test_r2,split11_test_r2,split12_test_r2,split13_test_r2,split14_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,split10_train_r2,split11_train_r2,split12_train_r2,split13_train_r2,split14_train_r2,mean_train_r2,std_train_r2,mean_cv_rmse,mean_cv_mae,mean_cv_r2
1.9102434635162353,0.055743710798515506,0.02550020217895508,0.006290823393488846,,0.8,1,2,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.6243459215975469,-0.6510593220084641,-0.6378078354962163,-0.637566480711102,-0.7744108913142819,-0.6335486904303104,-0.6251671459053064,-0.7310307819531641,-0.7706494437894434,-0.7246143163128211,-0.6918864620892229,-0.56604380701358,-0.6257629999647573,-0.647865710465617,-0.7323989379803271,-0.6716105831354774,0.05955215318426343,11,-0.2763487617032555,-0.25972723010002663,-0.25330747440446316,-0.2578998831800609,-0.24670889959866618,-0.2508575565298597,-0.25622915996635737,-0.26372152507796975,-0.24931161290241002,-0.2616686951241283,-0.258382421550347,-0.26753596666964097,-0.25391946190547354,-0.2590610391149883,-0.24665393238038685,-0.2574222413472023,0.007735616505668186,-0.3934010917269843,-0.4065687681173919,-0.40455410799844943,-0.40059734732190433,-0.3971538567123338,-0.3793194222356701,-0.37337891564309894,-0.4581981655034805,-0.4337537815624201,-0.42094770284325905,-0.40042667214864447,-0.3907813400063153,-0.4021663743189128,-0.38424514597978593,-0.4347471045766459,-0.4053493197796864,0.02211126073624204,19,-0.15940170619430352,-0.15806347180678526,-0.15364205541866674,-0.15106666582370834,-0.15363677759766617,-0.1559684944082673,-0.15776491083703006,-0.15228345127837623,-0.14927184291335815,-0.15280596805650162,-0.15509801692420583,-0.1552857165907378,-0.15260988040979337,-0.15527997372347038,-0.14578705746254644,-0.15386439929636117,0.003395468231090819,0.9416416849409749,0.9452592789166754,0.9463492375855453,0.9491291611375706,0.929195255341081,0.9441907009898001,0.949912837058185,0.920076979351999,0.9307520174783512,0.9367258837879152,0.9416298370323452,0.9559573774928325,0.949251384695635,0.9431505688188082,0.9331360476889867,0.941090550154447,0.009171815340753373,11,0.9903990822049314,0.9912974452248187,0.991750908198136,0.9913489110877529,0.9919483394518857,0.9920217516557789,0.9915055671537039,0.9912847463945572,0.9917435780446587,0.9910056839974175,0.9912376517845713,0.9908925277085949,0.9916789926639336,0.9914325480159922,0.9920785320058914,0.9914417510395083,0.0004412369298529698,0.6716105831354774,0.4053493197796864,0.941090550154447
2.7827184359232584,0.059639420520897775,0.03879486719767253,0.012011597957317429,,0.8,1,2,300,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.6184383373572753,-0.644277719651924,-0.6403862773338679,-0.6374649202710181,-0.7665644730092063,-0.6412511686570805,-0.6257697008127366,-0.7254344902776811,-0.775444489232498,-0.7112556693680852,-0.6815164059329223,-0.5673230127453944,-0.62096698030684,-0.6451576729084001,-0.7435764650160653,-0.6696551855253997,0.059084737137926814,4,-0.2728273813595932,-0.2567030330381219,-0.25035348003793706,-0.25452797381828673,-0.24310997770663317,-0.2505034010419802,-0.25565752322700136,-0.2635121985217927,-0.2499404240805939,-0.2590264057668573,-0.25903783613863235,-0.2669387636776829,-0.2533086693830672,-0.25882753423345933,-0.2490265106944991,-0.2562200741817426,0.007341773739218475,-0.39119010355266676,-0.4036578576369739,-0.4044486012288796,-0.39971976908651247,-0.39687669221151706,-0.38203473709407304,-0.37405837339601533,-0.45653718283645367,-0.4333076502238959,-0.415219600201642,-0.39730499516914036,-0.3931179395396976,-0.4007903663631761,-0.38530606759084773,-0.43062729927939236,-0.4042798156940589,0.02095752305980802,8,-0.15740427878801963,-0.15706785707659843,-0.1528004690062035,-0.14989925658431827,-0.1521466002173083,-0.1552914626174161,-0.15810090127748283,-0.15214422417120738,-0.14816722958496717,-0.15177081274771814,-0.15508981589639373,-0.15516923921198522,-0.1518803465330199,-0.15494262828670124,-0.14555801651570877,-0.15316220923433657,0.003389056535675123,0.942740837190734,0.9463937266629011,0.9459145769108838,0.9491453666736065,0.9306227898297919,0.942825429382253,0.9498162394991103,0.9212959718587587,0.9298876030846368,0.9390373622807672,0.9433664390371163,0.9557580881956961,0.950026306343262,0.9436248295824915,0.9310795819364692,0.9414356765645652,0.009071149453562261,6,0.9906422031099562,0.9914989259795329,0.9919421831379732,0.9915736493963382,0.992181536884321,0.9920442628047685,0.9915434263374793,0.9912985762099176,0.9917018769973529,0.9911864132578666,0.9911931421415178,0.9909331423533989,0.9917189761788772,0.9914479856153499,0.9919254049526447,0.9915221136904862,0.00040978118107932646,0.6696551855253997,0.4042798156940589,0.9414356765645652
3.7647767066955566,0.10891555671260053,0.04897478421529134,0.00824784256138015,,0.8,1,2,400,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-0.6164639838868733,-0.6437968809517126,-0.635262821669622,-0.6385460260345657,-0.7633439090271009,-0.6410065442798744,-0.6272133420285964,-0.7248940697605925,-0.7723183452427876,-0.7117951537473685,-0.6845502657763401,-0.5675660234764578,-0.6228538426300871,-0.6443993373572655,-0.7366213238605807,-0.6687087913153216,0.057941551202335524,1,-0.2723899264970572,-0.25802826413297975,-0.25004003152430443,-0.2574951829581124,-0.24304671163578193,-0.2503615814514431,-0.2578725364463356,-0.26221772551586403,-0.2500922682795708,-0.25368174516873193,-0.2589359349698791,-0.2645104616373856,-0.2548988042467863,-0.25938431864452344,-0.24824525059718971,-0.2560800495803964,0.0070534900288558074,-0.39032704700128606,-0.4048792816964557,-0.4021621669770179,-0.3992540124309558,-0.3960456681447019,-0.3811891186216987,-0.3742378534603008,-0.4559705473812654,-0.4302865155940759,-0.4155248398518809,-0.3980744825856439,-0.39397461019547514,-0.4014456090015459,-0.385160733552695,-0.42854148782796975,-0.40380493162153125,0.020504528655774273,7,-0.15747834126698687,-0.1570763225003168,-0.1525009115904742,-0.1504023735370344,-0.1517277193041749,-0.15450170045823153,-0.15749377190734784,-0.15260140196864463,-0.14764632698859534,-0.15054163213700059,-0.15487262203648694,-0.15520688432455915,-0.1522077720656223,-0.1559785625690384,-0.14544821476956524,-0.15304563716160527,0.0034397236793653344,0.9431058513407277,0.9464737118972817,0.9467765434486186,0.9489727270307415,0.9312045136025348,0.942869042951065,0.9495844260623293,0.9214131910683145,0.9304517689141708,0.9389448474087229,0.9428610932501719,0.9557201783569592,0.9497221460829262,0.943757281453455,0.9323628646138262,0.9416146791654564,0.00885571953253517,1,0.9906721878706928,0.9914109257123962,0.9919623476636925,0.991376040612383,0.9921856056525713,0.9920532683512452,0.9913962562749137,0.9913838556946762,0.9916917913572232,0.9915463738501107,0.991200069720943,0.9910973517445534,0.9916146822726648,0.9914111522091623,0.9919759896347665,0.991531859908133,0.00038696737243361503,0.6687087913153216,0.40380493162153125,0.9416146791654564
1.9385736306508383,0.12809853591856069,0.02711025873819987,0.007390616490055475,,0.8,1,4,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",-0.6245274463410665,-0.6625282831354491,-0.638733617561616,-0.6351508392474657,-0.7860159623116985,-0.6315846402884944,-0.62355788066263,-0.7357093779448242,-0.7761435531116575,-0.7168617310307995,-0.7029561665691663,-0.5684534900995833,-0.6302026862344207,-0.6589196394664211,-0.7446880711824017,-0.6757355590125128,0.0618478799519981,18,-0.30273610298838843,-0.28208642120761956,-0.28056915195513127,-0.2875993374134187,-0.2785960687177734,-0.27024151656930384,-0.2853524865219965,-0.29270655332723683,-0.2761720442534316,-0.2834880929942489,-0.2851283728113877,-0.2897405722030843,-0.2832550354640564,-0.2834394036832721,-0.2763447232589356,-0.283830392224619,0.007440287862442697,-0.39482799380069133,-0.4113536659670102,-0.40181775098022493,-0.4018743828606608,-0.40269119782963136,-0.3766415844836373,-0.3771298025179162,-0.46240377494573764,-0.43290225469130883,-0.4202562396308538,-0.40658584586357943,-0.3928960331659733,-0.40683540596113865,-0.391765042388313,-0.4389572667168703,-0.40792921612023647,0.02222377153097059,27,-0.17757007400298594,-0.17235457086922296,-0.1699819616598726,-0.1677746442513854,-0.17066891531588696,-0.1694572003150011,-0.17644225068550068,-0.17151675267936556,-0.16494968641499513,-0.16948099499439603,-0.1730466189999516,-0.17231065324785108,-0.170692594517172,-0.17284702346729597,-0.16289966510312454,-0.17079957376826715,0.003671094489837823,0.9416077453642077,0.9433136835949321,0.9461933757154284,0.9495139144576444,0.9270572407060814,0.944536190957744,0.9501703675081773,0.9190506912636622,0.9297611333308463,0.9380725694925208,0.9397471311544386,0.9555815950550934,0.9485287239053158,0.9411940813883792,0.9308733633941689,0.940346787152576,0.009591300701735023,18,0.9884780459833873,0.9897345933118574,0.989879779708828,0.9892416852256792,0.9897324744498376,0.9907411443302895,0.9894648528903857,0.9892637216204444,0.9898686739402067,0.9894431524654785,0.9893297289646636,0.9893180107962647,0.9896452598465512,0.9897442382322775,0.990056668083331,0.9895961353232988,0.00047715798171843135,0.6757355590125128,0.40792921612023647,0.940346787152576
2.906931972503662,0.22377936248990699,0.03941640853881836,0.01420011606199925,,0.8,1,4,300,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",-0.6206861848500475,-0.6543177821123776,-0.6401454819307678,-0.6352011498351863,-0.7747733928088802,-0.6376528305003992,-0.6244028498303158,-0.7378426145350576,-0.7724443286629852,-0.7096922220188828,-0.6924778919372818,-0.5736190562788971,-0.6243989944538898,-0.6529967321335077,-0.7516690202495467,-0.6734880354758682,0.06011450791842212,15,-0.29966547374228947,-0.27999990180271606,-0.27704293282538006,-0.28528994340895186,-0.2762430522164045,-0.2716106270455255,-0.28477467787503824,-0.2883707784944694,-0.2757184572170076,-0.28110313083372074,-0.2834515876413301,-0.29063987504766664,-0.2812490768746441,-0.2838829870614891,-0.2767067009291221,-0.28238328020105036,0.006771383210678099,-0.39528060411400695,-0.40861104824434313,-0.40371269237892793,-0.4001635918031173,-0.3993537731616701,-0.37622958275446744,-0.3780022591404506,-0.4646230404611015,-0.43253668728167294,-0.4183856127160091,-0.40272306969854715,-0.39795439387070963,-0.40433682582132346,-0.39124284698903966,-0.4378737302451104,-0.40740198391203314,0.02228910515976681,26,-0.1754166918005837,-0.1717782858982251,-0.16989945055457667,-0.1673355699579753,-0.17020513243774027,-0.17002111927062213,-0.17610176283081058,-0.170021455614393,-0.16415133902766313,-0.16979058481383524,-0.17272868031015062,-0.1727921772881565,-0.16969730271136096,-0.17198673805138046,-0.1627195863058736,-0.17030972512488984,0.003483135717470681,0.9423238391825242,0.9447099685569138,0.9459552432186736,0.9495059160891466,0.9291289524691354,0.9434652916369783,0.9500352299954338,0.9185805752457115,0.9304290771350268,0.9393050778814932,0.9415300038565823,0.9547706625545123,0.9494723819369588,0.9422465210926707,0.9295712573708916,0.9407353332148436,0.009490755515917021,15,0.9887105932222864,0.9898858927250304,0.9901325648845526,0.9894137679270565,0.9899051806275118,0.9906470913710056,0.9895074748146041,0.9895794324838098,0.989901926142716,0.9896200330726976,0.9894548595721739,0.9892515979263784,0.9897914011579247,0.9897121125277105,0.9900306019339525,0.9897029686926273,0.00042420122081349994,0.6734880354758682,0.40740198391203314,0.9407353332148436
3.836771281560262,0.10270524339316225,0.05425667762756348,0.023758377243128445,,0.8,1,4,400,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 400}",-0.6194218346253406,-0.648533270268656,-0.6400641623000898,-0.6405612192306669,-0.7717462750751459,-0.6399682781413844,-0.6274699467587148,-0.7336565064175128,-0.771304433179674,-0.7098792776923251,-0.688228812385319,-0.5703268059929366,-0.6278904630250617,-0.6432274895742544,-0.7487761593987716,-0.6720703289377234,0.05924428664033124,13,-0.2973491717319033,-0.27910695180181444,-0.2777664689899831,-0.28444722982769455,-0.276199019930975,-0.273108887341495,-0.28657689459466246,-0.2875128677069548,-0.27555443177000044,-0.27761497208416724,-0.28238949737769264,-0.2893135048678276,-0.2829179785734341,-0.28411681613406403,-0.27741233757102157,-0.2820924686869127,0.006178329408044279,-0.39475600996114407,-0.4079715335176628,-0.4044996383817843,-0.40158082950101315,-0.4006308508711943,-0.37883668976346496,-0.37846244892194414,-0.46238146481837994,-0.430516821118689,-0.4170927073408772,-0.3993166391372823,-0.39748259324363433,-0.4050874946007136,-0.3888821207642026,-0.4391188423306835,-0.4071077789515113,0.0217095902819859,25,-0.17548110897659394,-0.17120846350336158,-0.17070090084662937,-0.16725589531943819,-0.1701771944296037,-0.17054032216848733,-0.17594366355954116,-0.16999300998623512,-0.16343686645467234,-0.16886831066923566,-0.17283056340969416,-0.1729599295594483,-0.17006502317545438,-0.17381320404331993,-0.162931109359617,-0.1704137043640888,0.0036354757302476987,0.9425585748540944,0.9456832330362361,0.9459689732867186,0.9486501439439338,0.9296816712429942,0.9430539680486945,0.9495431657120278,0.9195018114739312,0.9306342571426659,0.9392730785854762,0.9422453521338925,0.9552883544908992,0.9489057288004089,0.9439616515515332,0.9301123159767346,0.9410041520186827,0.009241250121594394,13,0.9888844444950733,0.9899502998265948,0.9900809572227836,0.989476216574175,0.9899083985368029,0.9905436216256803,0.9893742492028345,0.9896413431883834,0.9899139372965198,0.9898760411037029,0.9895337365905063,0.9893494773359297,0.9896698882524304,0.9896951576693868,0.9899796906815419,0.9897251639734895,0.00037279107363734267,0.6720703289377234,0.4071077789515113,0.9410041520186827
1.8189210732777914,0.09846311434488314,0.021962563196818035,0.006523760947293349,,0.8,2,2,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.6354777166894401,-0.6789647999240414,-0.6439456495723872,-0.6560756708970513,-0.8379493564727604,-0.63039852973154,-0.6482809668081826,-0.7520467224596326,-0.7788944592002137,-0.76145239113518,-0.7349817069135378,-0.5798191140009799,-0.6398072651486607,-0.6878911944621414,-0.7636778498087933,-0.6953108928816362,0.06932911332801517,56,-0.36068705895574654,-0.34318592925208,-0.33400567309021334,-0.3552884299574582,-0.3319227460200804,-0.32760528306988684,-0.3424541288866399,-0.35884371792539915,-0.3483075672527139,-0.34864473128672663,-0.34293212576103854,-0.34988950070751246,-0.34158930269944954,-0.34825018230502985,-0.33922795646250437,-0.3448556222421653,0.009148515956019489,-0.40308937750624474,-0.42422621962988954,-0.41032626343896633,-0.4147526795193393,-0.4141826486808072,-0.3751654503967866,-0.38817065876723206,-0.4716649858887244,-0.4481135370246516,-0.4317505526020746,-0.41423638436833354,-0.40166443080468617,-0.4072975433589893,-0.4061998924533165,-0.45189048988727554,-0.4175154076218212,0.024118266001506482,71,-0.20142434498799838,-0.1991374270222124,-0.1964197443978097,-0.19357279791869614,-0.19729900014942298,-0.19517873184178533,-0.20268254202683542,-0.19599713959559906,-0.19229294400820024,-0.19675811213881053,-0.19875707655030694,-0.19918550896903806,-0.19379666141402035,-0.20189447716106904,-0.18859747177556815,-0.19686626533049148,0.0037198513357869184,0.9395421304899624,0.9404661581330116,0.9453116746881787,0.9461326249816444,0.9170999103972176,0.9447443164638815,0.9461407028376233,0.9154156129837088,0.9292623520332283,0.9301288683893951,0.9341320268431417,0.9537876407827279,0.9469478767259119,0.9359092085587427,0.9273029110076395,0.9368216010210677,0.010854282373926155,55,0.983644688251204,0.9848060482051006,0.9856577326468123,0.983581608233039,0.985425627869895,0.9863932323519342,0.984826628352624,0.9838638631884511,0.983884911932885,0.984032724543094,0.9845648475612023,0.9844225871942727,0.9849411277076566,0.984517888971248,0.9850165143386849,0.9846386687565404,0.0007633970932224297,0.6953108928816362,0.4175154076218212,0.9368216010210677
2.6751887798309326,0.06689340063931268,0.0317297617594401,0.00521894464197677,,0.8,2,2,300,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-0.635641306417204,-0.6739476660295188,-0.6483451615953016,-0.6566599953134393,-0.8459937368908312,-0.6323945585102402,-0.646095718860963,-0.7468377496856137,-0.7818723820632625,-0.7439652900406518,-0.7271643431289652,-0.5860146901568472,-0.6360820433883869,-0.6854065765969548,-0.7698766176866816,-0.6944198557576576,0.06900830285338022,53,-0.36121558477039584,-0.3436879568140241,-0.33237678249482316,-0.3517478504018347,-0.32820089499151134,-0.32873653538632386,-0.3400763811758845,-0.35545222153819783,-0.3466459324216732,-0.3452651586561612,-0.3423727493192244,-0.35063571237040303,-0.3411478323447583,-0.3506147678985743,-0.3427254140753349,-0.34406011831060834,0.009053463108739512,-0.40679971069042203,-0.4218451766090328,-0.4125947801149836,-0.41307135862218297,-0.41603670653324454,-0.37457596984273217,-0.38922908275274753,-0.47044255774255417,-0.4471326112320833,-0.42558731744110234,-0.4095348335335781,-0.40656957191134935,-0.4094053549574991,-0.40616476243080507,-0.45181491355542974,-0.4173869805313165,0.023268821256455005,69,-0.20040767060306358,-0.2002102962899196,-0.19619946975687466,-0.19237123074269658,-0.19625287878201977,-0.19533092013532607,-0.2013149414156515,-0.1960627226184015,-0.19130468063886136,-0.19545888527889707,-0.19864597029176626,-0.19988843885120594,-0.1931449133112292,-0.20170622362501298,-0.1892799261693402,-0.19650527790068442,0.0037025065378900623,0.9395109993922932,0.941342744638329,0.9445618478815165,0.9460366298374818,0.9155005753011363,0.9443938507257538,0.9465031924303717,0.9165832848286511,0.9287204199528132,0.9333012622496176,0.9355257365273109,0.9527947729783225,0.9475638609149355,0.9363713558937852,0.9261179577707561,0.9369885660882049,0.01080845851689645,52,0.9835967212528872,0.9847615629214443,0.9857972812833345,0.9839072083419099,0.9857506403944492,0.9862990991713814,0.9850366021602442,0.9841674328819412,0.9840383023388647,0.9843407803970569,0.9846151608345526,0.984356072237802,0.9849800267578858,0.9843069310816762,0.9847059606269498,0.9847106521788253,0.0007318956722305591,0.6944198557576576,0.4173869805313165,0.9369885660882049
3.6420705954233807,0.08895602807283033,0.05137639045715332,0.010331426516776173,,0.8,2,2,400,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",-0.6331129462587313,-0.6745316619527271,-0.6448987047606209,-0.6596014440672141,-0.8440947123847505,-0.6364796035188222,-0.6446948010031603,-0.7416689021270458,-0.7817014156706127,-0.7390116562057889,-0.7275541754708531,-0.5839938357773926,-0.6380895089892367,-0.6756549079973813,-0.7658082727523046,-0.6927264365957763,0.06819591545347228,35,-0.36021228833617186,-0.34326047684854366,-0.33138811101239585,-0.35126280825494327,-0.32631036405539804,-0.32989445045528965,-0.3390117912609657,-0.3521736661874471,-0.348511668872251,-0.34019439402208546,-0.34479771101800033,-0.35186660030119754,-0.3413901733655972,-0.34944903882799827,-0.3405659048566801,-0.3433526298449977,0.009011627863630817,-0.4038730192474997,-0.4216873017997473,-0.4117622273223936,-0.4131345126074063,-0.4154748954177512,-0.37615461008743417,-0.38887781787695097,-0.46781807901238137,-0.44758490505547127,-0.4230812744395266,-0.40975894887060266,-0.4049115333224538,-0.410151970846414,-0.40160725274106623,-0.45070121082727166,-0.41643863729829145,0.02290055284018355,63,-0.20089487450001461,-0.19953634168852483,-0.19577060186000994,-0.19172652667084483,-0.19534731388604631,-0.19569442250194355,-0.2001124180632197,-0.19554867569888446,-0.19143572123577007,-0.19379618543275862,-0.19943578162209447,-0.20096810173480778,-0.1924270597826811,-0.20217257298993455,-0.18847586480636055,-0.19622283083159303,0.004011036397668414,0.9399912507874202,0.9412410440420418,0.945149674797736,0.945552099034799,0.9158795057106426,0.9436731383620175,0.9467349332709831,0.917733939657372,0.92875158892768,0.9341865216928766,0.9354565887739581,0.9531197832831058,0.9472323632662627,0.9381690376562964,0.9268967408572752,0.9373178806746977,0.010544683342204196,35,0.9836877167479001,0.9847994465614356,0.98588164902291,0.983951560001144,0.9859143283539421,0.9862024112909726,0.9851301396683726,0.984458153012421,0.9838660201282706,0.9847973635579198,0.9843964531990506,0.9842460451091637,0.9849586797161636,0.9844111106910943,0.9848980885773435,0.9847732777092071,0.0007338797244509934,0.6927264365957763,0.41643863729829145,0.9373178806746977
1.830002991358439,0.06181359120941726,0.023726654052734376,0.0052038441284993795,,0.8,2,4,200,"{'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",-0.6354777166894401,-0.6789647999240414,-0.6439456495723872,-0.6560756708970513,-0.8379493564727604,-0.63039852973154,-0.6482809668081826,-0.7520467224596326,-0.7788944592002137,-0.76145239113518,-0.7349817069135378,-0.5798191140009799,-0.6398072651486607,-0.6878911944621414,-0.7636778498087933,-0.6953108928816362,0.06932911332801517,56,-0.36068705895574654,-0.34318592925208,-0.33400567309021334,-0.3552884299574582,-0.3319227460200804,-0.32760528306988684,-0.3424541288866399,-0.35884371792539915,-0.3483075672527139,-0.34864473128672663,-0.34293212576103854,-0.34988950070751246,-0.34158930269944954,-0.34825018230502985,-0.33922795646250437,-0.3448556222421653,0.009148515956019489,-0.40308937750624474,-0.42422621962988954,-0.41032626343896633,-0.4147526795193393,-0.4141826486808072,-0.3751654503967866,-0.38817065876723206,-0.4716649858887244,-0.4481135370246516,-0.4317505526020746,-0.41423638436833354,-0.40166443080468617,-0.4072975433589893,-0.4061998924533165,-0.45189048988727554,-0.4175154076218212,0.024118266001506482,71,-0.20142434498799838,-0.1991374270222124,-0.1964197443978097,-0.19357279791869614,-0.19729900014942298,-0.19517873184178533,-0.20268254202683542,-0.19599713959559906,-0.19229294400820024,-0.19675811213881053,-0.19875707655030694,-0.19918550896903806,-0.19379666141402035,-0.20189447716106904,-0.18859747177556815,-0.19686626533049148,0.0037198513357869184,0.9395421304899624,0.9404661581330116,0.9453116746881787,0.9461326249816444,0.9170999103972176,0.9447443164638815,0.9461407028376233,0.9154156129837088,0.9292623520332283,0.9301288683893951,0.9341320268431417,0.9537876407827279,0.9469478767259119,0.9359092085587427,0.9273029110076395,0.9368216010210677,0.010854282373926155,55,0.983644688251204,0.9848060482051006,0.9856577326468123,0.983581608233039,0.985425627869895,0.9863932323519342,0.984826628352624,0.9838638631884511,0.983884911932885,0.984032724543094,0.9845648475612023,0.9844225871942727,0.9849411277076566,0.984517888971248,0.9850165143386849,0.9846386687565404,0.0007633970932224297,0.6953108928816362,0.4175154076218212,0.9368216010210677
