stratum,variant,MdAPE,PE20,COD,PRD,dMdAPE,dPE20
Condominium,baseline (OLS-derived 0.447/0.345/0.222),19.32256844017964,51.0,37.680387693070664,1.2148238987651268,0.0,0.0
Condominium,equal weights (3 positive cats),19.308658374052573,51.07692307692307,37.41419982524003,1.2149357176799134,-0.013910066127067466,0.0769230769230731
Condominium,"all 8 categories, equal (keep-positives off)",19.77558156292413,50.30769230769231,37.631034922100135,1.2145514251613134,0.45301312274449046,-0.6923076923076934
Condominium,no composite (MCRAI signal removed),19.497802707075802,50.53846153846154,37.69263984690524,1.2146519521072852,0.17523426689616173,-0.4615384615384599
Condominium,+/-25% weight perturbation (n=50),19.43591481085686,51.06,,,0.19837727423041288,0.3123076923076913
Houses,baseline (OLS-derived 0.447/0.345/0.222),22.668769862436527,44.317252657399834,35.749518072471645,1.203471750044094,0.0,0.0
Houses,equal weights (3 positive cats),22.552361945875326,44.39901880621423,35.44311241505977,1.2033456877476418,-0.11640791656120086,0.08176614881439548
Houses,"all 8 categories, equal (keep-positives off)",22.913650604109478,44.15372035977106,35.551587543576495,1.2042173418715507,0.24488074167295082,-0.16353229762877675
Houses,no composite (MCRAI signal removed),22.55967229456135,45.05314799672935,35.58585817093455,1.2013305025029513,-0.10909756787517821,0.7358953393295167
Houses,+/-25% weight perturbation (n=50),23.00527408976135,44.407195421095665,,,0.34095397877951816,0.2796402289452169
