Model,R2,MAPE,MAE (PHP M),RMSE (PHP M)
OLS,0.0826991711872388,201.62834853474538,9.817411025316138,59.820879976827904
RF baseline,0.8068798071933736,59.27626630597976,4.9501612675749405,27.448002684058125
RF tuned,0.6797990768631722,53.0029074968221,5.082060950223765,35.343389281525596
XGB baseline,0.4915081313652241,60.140166815955865,6.3222940930726015,44.53884090116085
XGB tuned,0.5568541191937018,58.93055827805124,6.064612270049164,41.578638360112514
