title,agent_name,area,bathrooms,bedrooms,furnishing,gmaps_formatted_address,latitude,location,longitude,posted_on,price,property_type,specs,status,url
"Condo For Sale in 3, Newport Boulevard, Pasay City",Grace L.,36 m²,1,1,,"3 Newport Blvd, Pasay City, 1309 Metro Manila, Philippines",14.5224736,"3, Newport Boulevard, Pasay City, Metro Manila, 1309",121.0160668,15 Dec 10:20,"PHP 8,000,000",,"['PHP 8,000,000', '3, Newport Boulevard, Pasay City, Metro Manila, 1309', 'Bedrooms:', '1', 'Area:', '36 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/pasay-city/for-sale/condo/1br-condo-for-sale-in-newport-blvd-pasay-city-ln244292
"Condo For Sale in Corner, McKinley Parkway, Taguig",Grace L.,69 m²,2,1,,"McKinley Pkwy, Taguig, Metro Manila, Philippines",14.5466094,"Corner, McKinley Parkway, Taguig, Metro Manila",121.0495555,15 Dec 10:16,"PHP 15,000,000",,"['PHP 15,000,000', 'Corner, McKinley Parkway, Taguig, Metro Manila', 'Bedrooms:', '1', 'Area:', '69 m²', 'Bathrooms:', '2', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/taguig/for-sale/condo/1br-condo-for-sale-in-mckinley-hill-taguig-city-ln702509
"Condo For Sale in East Capitol Drive, Pasig",Grace L.,102 m²,2,2,,"E Capitol Dr, Kapitolyo, Pasig, Metro Manila, Philippines",14.5692524,"East Capitol Drive, Pasig, Metro Manila",121.060213,15 Dec 10:13,"PHP 26,000,000",,"['PHP 26,000,000', 'East Capitol Drive, Pasig, Metro Manila', 'Bedrooms:', '2', 'Area:', '102 m²', 'Bathrooms:', '2', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/pasig/for-sale/condo/2br-condo-for-sale-in-camino-verde-rd-pasig-city-ln816369
"Condo For Sale in Chino Roces Avenue, Makati City",Grace L.,44 m²,1,1,,"Chino Roces Ave, Makati City, Metro Manila, Philippines",14.5526494,"Chino Roces Avenue, Makati City, Metro Manila",121.013698,15 Dec 10:09,"PHP 5,107,800",,"['PHP 5,107,800', 'Chino Roces Avenue, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '44 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-for-sale-in-makati-city-ln885458
"Condo For Sale in 191, Salcedo, Makati City",Grace L.,28 m²,1,1,,"Zeta Bldg, 191 Salcedo, Legaspi, Makati City, 1229 Metro Manila, Philippines",14.5572954,"191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229",121.0150982,15 Dec 09:58,"PHP 5,500,000",,"['PHP 5,500,000', '191, Salcedo, Legazpi Village, Makati City, Kalakhang Maynila, 1229', 'Bedrooms:', '1', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-in-makati-city-near-ayala-triangle-greenbelt-ln118038
"Condo For Sale in Dela Rosa Access Road 3, Makati City",Grace L.,59 m²,1,1,,"Dela Rosa Access Rd 3, San Lorenzo, Makati City, Metro Manila, Philippines",14.5586128,"Dela Rosa Access Road 3, Makati City, Metro Manila",121.0171285,15 Dec 09:55,"PHP 11,000,000",,"['PHP 11,000,000', 'Dela Rosa Access Road 3, Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '59 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-condo-for-sale-in-legazpi-village-makati-city-ln747910
"Condo For Sale in 8757, Sedeño, Makati City",Grace L.,106 m²,2,2,,"Makati City, Metro Manila, Philippines",14.5573752,"8757, Sedeño, Makati City, Metro Manila, 1227",121.0227371,15 Dec 09:51,"PHP 17,000,000",,"['PHP 17,000,000', '8757, Sedeño, Makati City, Metro Manila, 1227', 'Bedrooms:', '2', 'Area:', '106 m²', 'Bathrooms:', '2', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/makati-city/for-sale/condo/2br-condo-for-sale-in-makati-city-ln759869
"Commercial land For Sale in Calamba, Calabarzon",Grace L.,596 m²,,,Unfurnished,"Calamba, 4027, Philippines",14.1876261,"Calamba, Calabarzon, 4027",121.1250751,15 Dec 09:43,"PHP 45,000,000",,"['PHP 45,000,000', 'Calamba, Calabarzon, 4027', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '596 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/calamba/for-sale/commercial-land/commercial-lot-for-sale-in-calamba-laguna-ln899621
"Commercial land For Sale in Calamba, Calabarzon",Grace L.,505 m²,,,Unfurnished,"Calamba, Laguna, Philippines",14.1948762,"Calamba, Calabarzon",121.1597364,15 Dec 09:36,"PHP 28,000,000",,"['PHP 28,000,000', 'Calamba, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '505 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/calamba/for-sale/commercial-land/505-sqm-residential-vacant-lot-for-sale-in-calamba-laguna-ln108024
"Condo For Sale in Unit B, Metro Bank Avenue, Pasay City",Grace L.,39 m²,1,2,,"Metro Bank Ave, Barangay 76, Pasay City, Metro Manila, Philippines",14.5402981,"Unit B, Metro Bank Avenue, Pasay City, Metro Manila, 1300",120.9906494,15 Dec 09:27,"PHP 7,000,000",,"['PHP 7,000,000', 'Unit B, Metro Bank Avenue, Pasay City, Metro Manila, 1300', 'Bedrooms:', '2', 'Area:', '39 m²', 'Bathrooms:', '1', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/pasay-city/for-sale/condo/2br-condo-for-sale-in-bay-area-metropolitan-pasay-city-ln851232
"Commercial land For Sale in City of Santa Rosa, Calabarzon",Grace L.,2109 m²,,,Unfurnished,"City of Santa Rosa, Laguna, Philippines",14.3147078,"City of Santa Rosa, Calabarzon",121.1123219,15 Dec 09:23,"PHP 337,440,000",,"['PHP 337,440,000', 'City of Santa Rosa, Calabarzon', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '2109 m²', 'Available from:', '15 Dec']",Vacant,https://lifenavi.com/ph/properties/city-of-santa-rosa/for-sale/commercial-land/commercial-lot-for-sale-in-santa-rosa-laguna-ln599257
"House and Lot For Sale in 18, Djakarta, Parañaque",Grace L.,430 m²,5,5+,,"18 Djakarta, Parañaque, 1718 Metro Manila, Philippines",14.4596856,"18, Djakarta, Parañaque, Metro Manila, 1718",121.0069629,15 Dec 08:22,"PHP 45,000,000",,"['PHP 45,000,000', '18, Djakarta, Parañaque, Metro Manila, 1718', 'Bedrooms:', '5+', 'Area:', '430 m²', 'Bathrooms:', '5', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/5br-corner-house-and-lot-for-sale-in-bf-homes-paranaque-ci-ln251956
"House and Lot For Sale in Alfonso, Calabarzon",Grace L.,480 m²,4,4,,"Alfonso, Cavite, Philippines",14.1214038,"Alfonso, Calabarzon",120.8613785,15 Dec 08:19,"PHP 24,800,000",,"['PHP 24,800,000', 'Alfonso, Calabarzon', 'Bedrooms:', '4', 'Area:', '480 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/alfonso/for-sale/house-and-lot/4br-house-for-sale-in-ridgewoods-heights-tagaytay-ln689793
"House and Lot For Sale in 67, Angeles, Muntinlupa",Grace L.,1284 m²,5,5+,,"67 Angeles, Cupang, Muntinlupa, Metro Manila, Philippines",14.4387177,"67, Angeles, Muntinlupa, Metro Manila",121.0274244,15 Dec 08:16,"PHP 150,000,000",,"['PHP 150,000,000', '67, Angeles, Muntinlupa, Metro Manila', 'Bedrooms:', '5+', 'Area:', '1284 m²', 'Bathrooms:', '5', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/muntinlupa/for-sale/house-and-lot/5br-house-for-sale-in-muntinlupa-city-ln945140
"House and Lot For Sale in Lot 7, Lime, Cainta",Grace L.,720 m²,6+,5+,,"Cainta, Rizal, Philippines",14.58056,"Lot 7, Lime, Cainta, Calabarzon, 1900",121.1156505,15 Dec 08:13,"PHP 30,000,000",,"['PHP 30,000,000', 'Lot 7, Lime, Cainta, Calabarzon, 1900', 'Bedrooms:', '5+', 'Area:', '720 m²', 'Bathrooms:', '6+', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/cainta/for-sale/house-and-lot/brand-new-modern-house-and-lot-for-sale-in-cainta-rizal-ln249442
"House and Lot For Sale in 41, Katipunan Extension, Marikina",Grace L.,800 m²,4,5+,,"Loyola Grand Villas, 41 Katipunan Ext, Malanday, Marikina, 1800 Metro Manila, Philippines",14.6519896,"41, Katipunan Extension, Marikina, Metro Manila, 1800",121.0859165,15 Dec 08:09,"PHP 125,000,000",,"['PHP 125,000,000', '41, Katipunan Extension, Marikina, Metro Manila, 1800', 'Bedrooms:', '5+', 'Area:', '800 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/marikina/for-sale/house-and-lot/comfort-and-luxury-with-this-quezon-city-house-for-sale-ln898934
"House and Lot For Sale in Silang, Calabarzon",Grace L.,488 m²,4,4,,"Silang, Cavite, Philippines",14.2202471,"Silang, Calabarzon",120.9646866,15 Dec 08:06,"PHP 49,000,000",,"['PHP 49,000,000', 'Silang, Calabarzon', 'Bedrooms:', '4', 'Area:', '488 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/silang/for-sale/house-and-lot/2-storey-modern-house-and-lot-for-sale-in-silang-cavite-ln572494
"House and Lot For Sale in 98, Don Rufino Avenue, Parañaque",Grace L.,346 m²,4,4,,"98 Don Rufino Ave, Parañaque, 1700 Metro Manila, Philippines",14.4501296,"98, Don Rufino Avenue, Parañaque, Metro Manila, 1700",121.0302774,15 Dec 08:02,"PHP 28,000,000",,"['PHP 28,000,000', '98, Don Rufino Avenue, Parañaque, Metro Manila, 1700', 'Bedrooms:', '4', 'Area:', '346 m²', 'Bathrooms:', '4', 'Available from:', '15 Dec']",Available from 15 Dec,https://lifenavi.com/ph/properties/paranaque/for-sale/house-and-lot/house-for-sale-in-bf-homes-paranaque-city-ln522811
"House and Lot For Sale in Antipolo, Calabarzon",Grace L.,2350 m²,6+,5+,,"Cebu, Philippines",10.607936,"Antipolo, Calabarzon, 1870",123.8857747,15 Dec 07:59,"PHP 90,000,000",,"['PHP 90,000,000', 'Antipolo, Calabarzon, 1870', 'Bedrooms:', '5+', 'Area:', '2350 m²', 'Bathrooms:', '6+', 'Available from:', '14 Dec']",Available from 14 Dec,https://lifenavi.com/ph/properties/antipolo/for-sale/house-and-lot/house-for-sale-in-antipolo-rizal-6-bedroom-ln429515
