id,lat,lon,amenity_type,amenity,lgu
ChIJAXTN18KdqTMRXYi33J7nLgU,10.288078,123.8646969,tourist_attraction,Cebu Tour Guide,Cebu City
ChIJQ5l2xgiZqTMRdKTg9DmzCv4,10.2888034,123.8589648,lodging,Cebu Tourist INN,Cebu City
ChIJm-wlKBaZqTMRdu32VNkS5kY,10.3307323,123.8969974,lodging,Cebu Transient Rooms,Cebu City
ChIJcyAkKmucqTMRdezbCIH3nLA,10.2814184,123.866337,lodging,Cebu Wetland Resort,Cebu City
ChIJ11vBDACZqTMRNxp1TGePUnk,10.2979608,123.8953638,tourist_attraction,Cebu city,Cebu City
ChIJpw3EveKbqTMR9H5KrBpLrNE,10.2963199,123.8982163,lodging,Cebu transient rooms,Cebu City
ChIJ9xeFHgCbqTMRt17R5Lkft8U,10.2962749,123.8982511,tourist_attraction,Cebu-ya Crossing,Cebu City
ChIJzelREliZqTMRbBwf5_wben8,10.2980205,123.8981365,lodging,Cebuview Tourist Inn,Cebu City
ChIJ95A-5AycqTMRAigIv9nsSQs,10.2817974,123.8778229,tourist_attraction,Chapel of San Pedro Calungsod,Cebu City
ChIJf0-17v6ZqTMRru9Cp3zvMKM,10.2989144,123.9003122,lodging,Che and James Guest House,Cebu City
ChIJVVfSEB-ZqTMRgJ1YSstDLTQ,10.3042607,123.9111991,tourist_attraction,Christmas Village og Love,Cebu City
ChIJm0iFLN6ZqTMRsTUOXVHB084,10.316145,123.901803,lodging,City Stay Cebu,Cebu City
ChIJc6yApVqZqTMRqySbvCnm7T8,10.3056885,123.8973022,lodging,City Suites Ramos Tower,Cebu City
ChIJ4dWUPl-ZqTMRRAXUfxKt42s,10.2979797,123.9036644,tourist_attraction,Colon Obelisk arcae,Cebu City
ChIJKSX60k-ZqTMR6LAVn86QP4M,10.3080134,123.894077,lodging,Crown Regency Hotel & Towers,Cebu City
ChIJO7I8ESSZqTMRsjABytp4VdE,10.32975,123.9016647,lodging,Crowne Garden Hotel,Cebu City
ChIJvS_Tok6ZqTMRd4PyBLNiZgM,10.3112987,123.8920517,lodging,Cuarto Hotel Cebu,Cebu City
ChIJXVjhUYSZqTMRVMXcCy42kbs,10.3025163,123.8977827,lodging,Diamond Hall Cebu,Cebu City
ChIJz3CVClCZqTMRnbPqpqzAWgg,10.3061156,123.8969354,lodging,Diplomat Hotel Cebu,Cebu City
ChIJQWc3XiiZqTMRa3p8Y5DXrEE,10.3338276,123.8968613,lodging,Double A at Mivesa,Cebu City
ChIJwd0FORqZqTMRNojinghJTD0,10.3115413,123.9019721,lodging,"Down South Hostel, Cebu city",Cebu City
ChIJtUqLDKibqTMRvX48jFWyLX8,10.2962772,123.8982283,tourist_attraction,Downtown Cebu City,Cebu City
ChIJzU3MekOZqTMRu51x_Epm7Ls,10.309044,123.9035352,lodging,Dragon Home Inn,Cebu City
ChIJo9CEckyZqTMRsOWcZ7F3G6A,10.3122222,123.8897222,lodging,Dynasty Tourist Inn,Cebu City
ChIJ02QlTwCZqTMRN-3FPj_xPu0,10.3108839,123.9025934,tourist_attraction,Eason 一世,Cebu City
ChIJba8X-06ZqTMROeIepFxcMjQ,10.3106572,123.8935012,lodging,Elegant Circle Inn,Cebu City
ChIJ9ZjMMDaZqTMRR86QdZljiaU,10.3179038,123.8935274,lodging,Escario Central Hotel,Cebu City
ChIJr7JOz06ZqTMRkGsxmFJoGks,10.3115672,123.8930644,lodging,Executive Pension,Cebu City
ChIJbSk-JliZqTMR8l11vcbxvIY,10.2990792,123.8971555,lodging,Express Inn Osmena,Cebu City
ChIJISbRH1GZqTMRqp24p3b0sBc,10.3038074,123.8941189,lodging,Familia Pension House,Cebu City
ChIJERud7h-ZqTMRAlf7hPnHbFw,10.3335821,123.9090124,lodging,Felix Bnb,Cebu City
ChIJH5u-OnecqTMRlls-lYZ7n4M,10.2713631,123.8817315,lodging,Fili Hotel at NUSTAR Resort Cebu,Cebu City
ChIJiYix3uCbqTMRAqkwfbD7es0,10.292457,123.905636,tourist_attraction,Fort San Pedro,Cebu City
ChIJWxk2FACdqTMRVSlZu3usEO8,10.2829604,123.8804684,tourist_attraction,Front Facing Pinkie Pie at SM Department Store,Cebu City
ChIJ5_fUL0yZqTMRhGuA6HWAT3U,10.3110233,123.8941215,lodging,Fuente Hotel de Cebu,Cebu City
ChIJhSp0SEmZqTMRm9QQFZ5E_gA,10.312439,123.8927511,lodging,Fuente Oro Business Suites,Cebu City
ChIJSy3DeQCZqTMRQOLGvV13yW4,10.3102031,123.8936769,lodging,Fuente osmena cebu city,Cebu City
ChIJbzHo9fybqTMRK_LNeAbDZu4,10.294464,123.894217,lodging,GLOJAM Town Apartelle,Cebu City
ChIJiTH4_leZqTMROxnye9eNnwU,10.296878,123.8933777,lodging,Global 88 Apartelle,Cebu City
ChIJwQ3KH9qYqTMRiX2vvF5-pcI,10.340663,123.8981706,tourist_attraction,Goddess of Mercy,Cebu City
ChIJ4x77J1eZqTMR2SHCZ6h7pIs,10.3018931,123.8941821,lodging,Goland Pension House & Dormitory by SMS Hospitality,Cebu City
ChIJAQAA0EuZqTMRa-VZiB1rJ0M,10.3138406,123.890929,tourist_attraction,Governors' Gallery,Cebu City
ChIJk3YHxUuZqTMRUKJN9AxH9j4,10.3142694,123.8905223,lodging,Gran Tierra Suites,Cebu City
ChIJ2W_dEV2ZqTMRzMPi2dqSOFQ,10.3058929,123.906814,tourist_attraction,Grand Tejero Cockpit Arena,Cebu City
ChIJsahA-3ALqTMRcTMmRRshTjw,10.390784,123.7824685,lodging,Guillen Plantaciones Resort Farm,Cebu City
ChIJM-jk5EuZqTMR8U2RqVFRPLg,10.3134494,123.8908134,lodging,Hamersons Hotel Cebu,Cebu City
ChIJr7hXOGabqTMRCDHBnnTbKxU,10.2956808,123.9045862,lodging,HappyNest Hostel Cebu,Cebu City
ChIJPTKTpDmZqTMRNBOwcrVHv70,10.3196171,123.8991125,lodging,Harolds Hotel Cebu City,Cebu City
ChIJVVUJKV-ZqTMRQqcSUyQMRLo,10.2988637,123.9030021,lodging,Heaven's Pension House,Cebu City
ChIJhwbYF6KhqTMRnblKTxe9bqo,10.2988468,123.9035745,tourist_attraction,Heritage of Cebu Monument,Cebu City
ChIJL1s_MBSZqTMRyDffXQ-NxCQ,10.3183234,123.8929228,lodging,Hideaway 903 bnb,Cebu City
ChIJc7grKrWeqTMRpVenIVc_UmE,10.316972,123.909306,lodging,Holiday Inn Cebu City by IHG,Cebu City
ChIJnegG2R6ZqTMRLdJMuXY_bEw,10.3296134,123.9110502,lodging,Holiday Spa Hotel,Cebu City
ChIJ0-Sht_GZqTMR7pS9F8JP2GA,10.3170212,123.9092805,lodging,Hop Inn Hotel Cebu City,Cebu City
ChIJgWY_KwCbqTMRB-t4Ck3AhGY,10.2969068,123.8948654,lodging,Hope Pension House,Cebu City
ChIJm-GLrkmZqTMRdBXuU3nvOu0,10.3131638,123.8958341,lodging,Hostel 7 Cebu,Cebu City
ChIJ1az0qziZqTMRh25Wpd3WiMw,10.3166293,123.9022355,lodging,Hotel Elizabeth Cebu,Cebu City
ChIJuQkNvraZqTMRQVCEY-3zhKo,10.3145681,123.8941161,lodging,Hotel One,Cebu City
ChIJeXIkrGiZqTMR8L_JqIbOQJI,10.305,123.9125,lodging,Hotel Pier Cuatro - 2 Star,Cebu City
ChIJtcfI_leZqTMRE5g-Rp19VY4,10.2978171,123.897782,lodging,Hotel Sogo - Cebu,Cebu City
ChIJHTrhKnmZqTMRK-5ey8OmqRk,10.321902,123.8959999,lodging,House of Eleanor,Cebu City
ChIJozQqKrWeqTMRXdEI8xt404I,10.3156992,123.8854366,lodging,Intosan Resort,Cebu City
ChIJB619QvqbqTMR1iey9nPDTuM,10.2893463,123.8931727,lodging,JRM (Mariner's)Travellers Inn,Cebu City
ChIJVVUlzlGZqTMRlQYlogH7vUw,10.3067146,123.893664,lodging,Jacith Pension House,Cebu City
ChIJk2TA_0uZqTMRfJkfO8wLrlU,10.312583,123.891297,lodging,Jasmin Pension House,Cebu City
ChIJzRtNRHefqTMRlITY_0QhyuM,10.3156992,123.8854366,lodging,Jo.Ceb,Cebu City
ChIJB3YOn1qfqTMRK35NDEcv4L8,10.3211434,123.8796533,tourist_attraction,Jovan-Chris P. Chicken & Rellik Rellik,Cebu City
