id,lat,lon,amenity_type,amenity,lgu
38607206,10.3436333,123.9123942,secondary,Governor M. Cuenco Avenue,Cebu City
38607207,10.3447128,123.9125487,secondary,Governor M. Cuenco Avenue,Cebu City
39158485,10.3207037,123.9108522,secondary,F. Cabahug Street,Cebu City
39306441,10.3196249,123.9021537,secondary,N. Escario Street,Cebu City
39306442,10.319028,123.9009136,secondary,N. Escario Street,Cebu City
39306443,10.3211685,123.9042779,secondary,Archbishop Reyes Avenue,Cebu City
39306444,10.3197512,123.9035737,secondary,Archbishop Reyes Avenue,Cebu City
39819194,10.3558396,123.9147287,secondary,Governor M. Cuenco Avenue,Cebu City
39819799,10.326581,123.9066768,primary,Salinas Drive,Cebu City
40070379,10.3002837,123.9050871,secondary,Bonifacio Street,Cebu City
40897963,10.2984676,123.9084129,tertiary,V. Sotto Street,Cebu City
40897968,10.2967681,123.9050246,tertiary,Vicente Gullas Street,Cebu City
40897999,10.2943652,123.9044665,tertiary,Legaspi Street,Cebu City
41108891,10.34026,123.9117398,secondary,Governor M. Cuenco Avenue,Cebu City
41108892,10.340066,123.9117067,secondary,Governor M. Cuenco Avenue,Cebu City
42560859,10.3384272,123.905183,tertiary,Camp Lapu-Lapu Road,Cebu City
42560860,10.3354561,123.9106688,tertiary,Jose Maria Del Mar Avenue,Cebu City
42745272,10.3200457,123.91776,tertiary,S. Cabahug Street,Cebu City
42864232,10.290882,123.8773521,secondary,F. Vestil Street,Cebu City
45489270,10.3260669,123.9225956,secondary,Hernan Cortes Street,Cebu City
45489280,10.3221513,123.9252163,secondary,Hernan Cortes Street,Cebu City
45489305,10.3238438,123.9238135,secondary,Hernan Cortes Street,Cebu City
45489315,10.3230158,123.9245762,secondary,Hernan Cortes Street,Cebu City
47066292,10.2945663,123.9076573,tertiary,C. Arellano Boulevard,Cebu City
47066293,10.297845,123.9099016,tertiary,V. Sotto Street,Cebu City
47066300,10.3231593,123.9244632,secondary,Hernan Cortes Street,Cebu City
47066301,10.3221653,123.9250658,secondary,Hernan Cortes Street,Cebu City
47244771,10.2929164,123.9037646,tertiary,Magallanes Street,Cebu City
47244772,10.2934705,123.9035585,tertiary,Lapu-Lapu Street,Cebu City
47244773,10.2921612,123.9034627,tertiary,M.C. Briones Street,Cebu City
47244774,10.2920358,123.8994806,tertiary,Jose Leyson Street,Cebu City
47244775,10.2934402,123.8978482,tertiary,F. Calderon Street,Cebu City
47244776,10.2919295,123.8974319,tertiary,Escaño Street,Cebu City
47244777,10.2961984,123.8984566,secondary,Osmeña Boulevard,Cebu City
47244780,10.2945575,123.8985647,tertiary,A. Borromeo Street,Cebu City
47245025,10.310866,123.921602,secondary,Kaohsiung Street,Cebu City
47573731,10.3124484,123.9210703,secondary,F. Urot Street,Cebu City
47573733,10.3133959,123.9221711,secondary,F. Urot Street,Cebu City
48227339,10.3238427,123.9238911,secondary,Hernan Cortes Street,Cebu City
48734496,10.3183334,123.9078771,tertiary,Samar Loop,Cebu City
49037238,10.3067932,123.9055828,secondary,M.J. Cuenco Avenue,Cebu City
50815001,10.3161728,123.9058263,secondary,Cardinal Rosales Avenue,Cebu City
50815080,10.3170023,123.9039638,tertiary,Luzon Avenue,Cebu City
50815095,10.317509,123.9028976,tertiary,Luzon Avenue,Cebu City
50866334,10.3344552,123.9107337,secondary,Governor M. Cuenco Avenue,Cebu City
50869750,10.3394462,123.911605,secondary,Governor M. Cuenco Avenue,Cebu City
50873804,10.3161384,123.9057582,tertiary,Samar Loop,Cebu City
50873805,10.3201212,123.9052626,tertiary,Mindanao Avenue,Cebu City
50875248,10.3136369,123.9036736,secondary,Cardinal Rosales Avenue,Cebu City
51372046,10.3319328,123.9066758,tertiary,I. Villa Street,Cebu City
51372086,10.3352578,123.9102814,tertiary,Jose Maria Del Mar Avenue,Cebu City
51372097,10.3320192,123.9067607,tertiary,I. Villa Street,Cebu City
51777216,10.2979585,123.8984016,tertiary,Pelaez Street,Cebu City
51816108,10.3206304,123.9262346,secondary,E.O. Perez Street,Cebu City
51816109,10.3204954,123.9261715,secondary,E.O. Perez Street,Cebu City
52254221,10.3122331,123.9231384,trunk,Sergio Osmeña Avenue,Cebu City
52254223,10.3129488,123.9239827,trunk,Sergio Osmeña Avenue,Cebu City
52332158,10.3204199,123.9259695,secondary,M. Logarta Avenue,Cebu City
52333118,10.3170715,123.9250037,secondary,M. Logarta Avenue,Cebu City
52333119,10.313439,123.9221251,secondary,F. Urot Street,Cebu City
52333120,10.3141911,123.922852,secondary,M. Logarta Avenue,Cebu City
52333121,10.3141348,123.922925,secondary,M. Logarta Avenue,Cebu City
52336398,10.2997409,123.9051304,secondary,Eduardo Aboitiz Street,Cebu City
52372261,10.3024278,123.8982304,tertiary,Junquera Street,Cebu City
52385857,10.3086191,123.9073015,secondary,General Maxilom Avenue Extension,Cebu City
52385865,10.3087668,123.9071443,primary,Imus Avenue,Cebu City
52385872,10.3087676,123.9072093,secondary,General Maxilom Avenue Extension,Cebu City
52385879,10.3096806,123.8940458,secondary,General Maxilom Avenue,Cebu City
52385881,10.3091121,123.9074783,primary,M.J. Cuenco Avenue,Cebu City
52385894,10.3079647,123.9085289,secondary,General Maxilom Avenue Extension,Cebu City
53804929,10.2962148,123.8922645,tertiary,Sanciangko Street,Cebu City
53804930,10.3107399,123.8910682,tertiary,J. Llorente Street,Cebu City
53804932,10.3108055,123.8947088,tertiary,J. Llorente Street,Cebu City
59914531,10.3313405,123.9285428,tertiary,P. Basubas Street,Cebu City
62011098,10.3072972,123.8977452,tertiary,V. Ranudo Street,Cebu City
62072998,10.2845474,123.8598406,primary,Natalio Bacalso Avenue,Cebu City
62103039,10.3099583,123.9036975,tertiary,General Echavez Street,Cebu City
62103040,10.3067472,123.9025034,tertiary,General Echavez Street,Cebu City
65423518,10.379808,123.8706048,primary,Cebu-Balamban Transcentral Highway,Cebu City
69364432,10.3795831,123.8641004,primary,Cebu-Balamban Transcentral Highway,Cebu City
69364433,10.3788848,123.8674356,primary,Cebu-Balamban Transcentral Highway,Cebu City
69364434,10.3764427,123.8566895,primary,Cebu-Balamban Transcentral Highway,Cebu City
69364435,10.3777609,123.8606499,primary,Cebu-Balamban Transcentral Highway,Cebu City
75612286,10.2941228,123.9054487,tertiary,Legaspi Extension,Cebu City
76344245,10.2974224,123.9021025,tertiary,Dionisio Jakosalem Street,Cebu City
76344246,10.3002611,123.9022923,tertiary,Bonifacio Street,Cebu City
77592868,10.3208512,123.9246725,tertiary,S. O. Albaño Street,Cebu City
77592871,10.3128114,123.9241022,trunk,Sergio Osmeña Avenue,Cebu City
77593968,10.2944533,123.9049639,secondary,M.J. Cuenco Avenue,Cebu City
77593969,10.2951241,123.9067204,trunk,Cebu South Coastal Road,Cebu City
77593971,10.2851832,123.8865737,trunk,Cebu South Coastal Road,Cebu City
77593972,10.2797683,123.8577594,tertiary,F. Jaca Street,Cebu City
77593974,10.2915924,123.9032089,secondary,Cebu South Coastal Road,Cebu City
77594022,10.2980015,123.9081145,trunk,Sergio Osmeña Avenue,Cebu City
77594101,10.3155589,123.9275996,trunk,Ouano Avenue,Cebu City
77594106,10.2925591,123.9040281,trunk,Cebu South Coastal Road,Cebu City
77594857,10.3017829,123.90155,primary,P. del Rosario Street,Cebu City
77594858,10.3029487,123.9028316,primary,Imus Avenue,Cebu City
77594859,10.3018336,123.9022509,tertiary,Sikatuna Street,Cebu City
77594863,10.3047481,123.894885,secondary,Osmeña Boulevard,Cebu City
77594864,10.3017104,123.9009163,primary,P. del Rosario Street,Cebu City
77594865,10.2983593,123.9087954,tertiary,V. Sotto Street,Cebu City
77594867,10.2931567,123.9072902,tertiary,Legaspi Extension,Cebu City
77721334,10.2906698,123.9006192,trunk,Cebu South Coastal Road,Cebu City
78001733,10.3030728,123.8989548,tertiary,R.R. Landon Street,Cebu City
78488744,10.3016361,123.9102634,tertiary,T. Padilla Street,Cebu City
78490451,10.296532,123.8888877,tertiary,Vicente Rama Avenue,Cebu City
78603309,10.2943519,123.893663,secondary,Colon Street,Cebu City
78604781,10.2960038,123.9028255,tertiary,P. Gomez Street,Cebu City
79474355,10.2898987,123.8759096,tertiary,L. Gabuya Street,Cebu City
79587220,10.3747941,123.8508904,tertiary,Bonbon-Sudlon Road,Cebu City
79885800,10.2935511,123.8679032,tertiary,E. Sabellano Street,Cebu City
79886152,10.3193841,123.840306,tertiary,Buhisan Road,Cebu City
79886153,10.311577,123.8486496,tertiary,Buhisan Road,Cebu City
79886154,10.3007979,123.8737905,secondary,Katipunan Street,Cebu City
79886163,10.3313543,123.8767267,tertiary,Sapangdaku Road,Cebu City
80316061,10.2973994,123.8877011,secondary,Katipunan Street,Cebu City
80316062,10.297279,123.8854578,secondary,Tres de Abril Street,Cebu City
80316633,10.3197936,123.9298959,secondary,E.O. Perez Street,Cebu City
80316701,10.3171335,123.9284694,tertiary,F.F. Cruz Avenue,Cebu City
80317125,10.414558,123.9165942,secondary,Agpasan-Binaliw-Cebu City Road,Cebu City
80317161,10.3646559,123.9307852,tertiary,Gregorio Suico Street,Cebu City
80317162,10.3612773,123.9275898,tertiary,Gregorio Suico Street,Cebu City
80318411,10.3206129,123.9107527,primary,Pope John Paul Ⅱ Avenue,Cebu City
80318412,10.320589,123.9108113,secondary,Cardinal Rosales Avenue,Cebu City
80318413,10.3191517,123.9085951,secondary,Cardinal Rosales Avenue,Cebu City
80318416,10.3257367,123.9076166,primary,Pope John Paul Ⅱ Avenue,Cebu City
80318417,10.3258629,123.9075312,primary,Pope John Paul Ⅱ Avenue,Cebu City
80318418,10.3259798,123.9077453,secondary,Governor M. Cuenco Avenue,Cebu City
80318419,10.3259116,123.9075856,primary,Pope John Paul Ⅱ Avenue,Cebu City
80318420,10.3123914,123.9161999,secondary,A. Soriano Jr. Avenue,Cebu City
80318422,10.2911512,123.8772797,secondary,F. Vestil Street,Cebu City
80318423,10.2910843,123.8771833,secondary,F. Vestil Street,Cebu City
80318424,10.2894694,123.8689407,primary,Mambaling Underpass,Cebu City
80318425,10.28989,123.871849,secondary,Natalio Bacalso Avenue,Cebu City
80318427,10.2812458,123.8569048,primary,Natalio Bacalso Avenue,Cebu City
80318428,10.2983123,123.8920879,primary,Natalio Bacalso Avenue,Cebu City
80318459,10.3169868,123.9130683,primary,Pope John Paul Ⅱ Avenue,Cebu City
80318460,10.3088282,123.9190898,primary,Juan Luna Avenue,Cebu City
80318461,10.3137837,123.9149994,primary,Juan Luna Avenue,Cebu City
80318463,10.3175766,123.9126669,tertiary,S. Cabahug Street,Cebu City
80394555,10.3205826,123.91558,tertiary,S. Cabahug Street,Cebu City
80396246,10.3158846,123.929464,tertiary,F.F. Cruz Avenue,Cebu City
80675938,10.2936042,123.9067286,tertiary,Legaspi Extension,Cebu City
80675939,10.2932428,123.9073714,tertiary,Legaspi Extension,Cebu City
80675940,10.2950706,123.9065589,tertiary,Sergio Osmeña Avenue,Cebu City
