id,lat,lon,amenity_type,amenity
2841691202,10.3171313,123.8995163,dentist,Jueco Dental Clinic
2850364640,10.310538,123.9034854,dentist,Mint Dental Clinic
3761347218,10.3180095,123.9025148,dentist,Affinity Dental
3796420959,10.3012078,123.9623393,dentist,QPM Dental Care Clinic
4322706190,10.2947276,123.9021561,dentist,My Dentist
4326423422,10.3105528,123.8940194,dentist,Dean Cesa Dental Clinic
4540577389,10.3134291,123.8963731,dentist,Cebú Dental Care Center
4604950394,10.2823093,123.8800319,dentist,Cebu Smiles Dentistry
4746275223,10.2560042,123.8603055,dentist,Dr. Marchie C.Mabala Dental Clinic
4746755625,10.2669388,123.8426767,dentist,Unnamed health
4854318521,10.3054958,123.8943769,dentist,Dr. Jose Niñal II General Dentistry & Orthodontics
4947883821,10.3105581,123.8895871,dentist,"Lynnette Chu, D.M.D."
5267242729,10.3500518,123.9135591,dentist,All Smiles Dental Clinic
5594348125,10.3127927,123.8954943,dentist,Blinky Dental Clinic
5907483588,10.3068748,124.0099453,dentist,Newtown World Dental clinic
6226278336,10.2897583,123.9676858,dentist,Du Baguio
7509644085,10.2977035,123.8827658,dentist,Dr. Blinky Dental Clinic
9467920619,10.2899818,123.8586586,dentist,April Carmelle Dy
9521652408,10.3278629,123.9290453,dentist,Unnamed health
9884254617,10.3820128,123.9209679,dentist,KD dental clinic
10208475973,10.3163179,123.8929215,dentist,Sabandal Dental Clinic
10731981457,10.2974669,123.8781933,dentist,Rhed Owl Dental Clinic
10885842556,10.2574357,123.8239904,dentist,Pardillo Dental Clinic
11011294612,10.2968144,123.9647862,dentist,Unnamed health
11011294616,10.2966793,123.9652031,dentist,Dental Cube
11413766269,10.3172186,123.8999522,dentist,Cebu Dental Implants - Zugbu Aesthetic Dental Clinic Services Philippines
11520071318,10.2983536,123.9638688,dentist,Adental
11759887246,10.3234018,123.9056316,dentist,msDental clinic
11777649506,10.3734952,123.954739,dentist,Gale's Dental Care Clinic
11843045944,10.2988053,123.8790733,dentist,Daclan Dental Clinic
11878641201,10.3494338,123.9131972,dentist,J-Ann Dental Care
12393350798,10.326651,123.933355,dentist,Edem Dental Clinic
12464404101,10.3302766,123.9484932,dentist,Nlrthside Dental Clinic
12468906502,10.3264446,123.9779311,dentist,Mamguan Dentist
12468909901,10.3243406,123.9741759,dentist,Quality Dental
12473487391,10.3265542,123.9178848,dentist,China Denetal Clinic
12517709329,10.3391879,123.9361909,dentist,Joghin's Dental Clinic
12743913369,10.3503598,123.9245675,dentist,Sotto Arcilla
12764346379,10.3107379,123.9494796,dentist,Glare Dental Clinic
12767859999,10.3121585,123.9519354,dentist,Kilaton Dental Clinic
12917800531,10.3784006,123.9632647,dentist,Prestige Dental Clinic
12963851501,10.3049813,123.89885,dentist,Unnamed health
13064781030,10.3288312,123.9073392,dentist,Smile Specialist Dental Care
13361420213,10.3243219,123.9095857,dentist,Metro Smile
13508183726,10.3507632,123.913881,dentist,Pristine Dental Care
13568840755,10.3377518,123.9297858,dentist,Dr. Cortes Dental
13611000935,10.3390326,123.9269963,dentist,Unnamed health
13619404171,10.3435061,123.9140975,dentist,Dr. Danjun Bercede Dental Clinic
13619503667,10.3453518,123.9128396,dentist,Dione Rey L Tan Dental Clinic
13629174361,10.3491768,123.9134528,dentist,Ruflo Dental Clinic
607906401,10.315954,123.9706846,dentist,Dental Office
ChIJtcd1RVCZqTMRu-Dimp3v_rc,10.305543,123.894911,pharmacy,5th Avenue Pharmacy
ChIJU4xj502ZqTMRk2UHt5MPuHc,10.3088719,123.89089,pharmacy,Botikang Pinoy
ChIJGQ2KguKbqTMRnidRQPiPcZU,10.2969949,123.899197,pharmacy,Citidrug 2-in-1 Drugstore
ChIJGSCioUeZqTMRoEtKZcN6X34,10.3149776,123.8994662,pharmacy,Coco Life Health Care
ChIJE9-iMkqZqTMRoygtNhIMpPE,10.3128776,123.892862,pharmacy,Completesolution Pharmacy and General Merchandise
