feature,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
area_sqm,1.0,0.7242443824431435,0.7814790186281558,-0.044996217859805156,-0.07537721749413093,-0.3170306071191329,-0.21676409231406638,-0.02005177533896764,0.01946469681438101,0.14993165615389345,0.16653487118234508,0.142823619483367,0.12384728854087915,0.026656929600341904,0.07426849543861509,0.13262132051977746,0.10846778095956851,0.24547600598388597,0.25991556456089454,-0.21368054329829228,0.4384670968692832
bedrooms,0.7242443824431435,1.0,0.7873712603148681,0.024767484389973445,0.0028739289235369062,-0.2183957540420959,-0.12001933448462068,-0.09309778763494067,0.04675747238864406,0.14507521134999068,0.11154278852095531,0.13012949139872954,0.11567180342372978,0.014678761542340744,0.0387310553066558,0.11452433082482545,0.11632487196418756,0.1517390597131414,0.1757704713684535,-0.23780715869846444,0.3040190917297406
bathrooms,0.7814790186281558,0.7873712603148681,1.0,-0.017881061864870103,0.031050466684435674,-0.2898538228739936,-0.17836495782597436,-0.0719350931344708,0.050380819958909265,0.17918076801539953,0.15853703923454843,0.15888566589728412,0.1418416049317236,0.011795870481264072,0.05390498010069698,0.14859935859535556,0.13621766167421917,0.2210081593289816,0.22797189206503915,-0.2521142593939821,0.4148064766679695
bedrooms_imputed,-0.044996217859805156,0.024767484389973445,-0.017881061864870103,1.0,0.6793083181477335,0.043201591394256784,0.015105728363739471,-0.0071838496696287005,-0.043454956984950714,-0.0033546371990938904,0.032968988689445845,0.021954609820938505,-0.005931618224757761,0.0300738952024253,0.05887779561973312,0.027970838161996886,0.01236249416288909,-0.018364504898794758,-0.049110291682316995,0.05801895654471431,-0.07432979583329112
bathrooms_imputed,-0.07537721749413093,0.0028739289235369062,0.031050466684435674,0.6793083181477335,1.0,0.03558341094180337,0.009227088495826246,-0.03315023271658843,-0.028137120969107112,0.003373065964248344,0.03851615835144722,0.009140601123232266,0.025094934063081085,0.02912166022087568,0.06186724028466246,0.025237425445946284,0.009991640099352102,-0.008326498472220995,-0.037483039314522806,0.030742739506235812,-0.05777795758202915
dist_cebu_business_park_m,-0.3170306071191329,-0.2183957540420959,-0.2898538228739936,0.043201591394256784,0.03558341094180337,1.0,0.8430157192301705,-0.008641619193005644,0.06737707254690452,-0.4193020919772672,-0.48957167488915815,-0.41013380479533396,-0.5256640132745294,-0.22408835832866872,-0.34470679395932924,-0.38065535051398025,-0.2077656534846827,-0.7178900979321432,-0.6757275741291381,0.3711442111026322,-0.5157391927457569
dist_mandaue_cbd_m,-0.21676409231406638,-0.12001933448462068,-0.17836495782597436,0.015105728363739471,0.009227088495826246,0.8430157192301705,1.0,-0.2741527295243448,0.08172451122612039,-0.2616464427028682,-0.381305236155623,-0.23374494243397637,-0.3945401817229066,-0.24942591459710783,-0.2597778944317749,-0.2147143345795119,-0.0663018566343979,-0.5089335652823895,-0.435273942926015,0.13681547864394175,-0.35876272651343943
dist_to_trunk_road_m,-0.02005177533896764,-0.09309778763494067,-0.0719350931344708,-0.0071838496696287005,-0.03315023271658843,-0.008641619193005644,-0.2741527295243448,1.0,0.046489675796922716,-0.3844138164350122,-0.3789046544878139,-0.4942407556196357,-0.4150522953688882,-0.10615525132295585,-0.15377516365765154,-0.381931901390426,-0.5579435048606923,-0.15752351609401186,-0.2448747045216158,0.5294200296886654,-0.06478115848926372
dist_to_primary_road_m,0.01946469681438101,0.04675747238864406,0.050380819958909265,-0.043454956984950714,-0.028137120969107112,0.06737707254690452,0.08172451122612039,0.046489675796922716,1.0,-0.26480233437303097,-0.2549038249899391,-0.4260801685688013,-0.2625988962642808,-0.5853927993912201,-0.37284779946091046,-0.47018151082971366,-0.2750544632931734,0.11643907666619552,0.10526941831538184,-0.4051384198059311,0.011645805143026945
mcrai_education,0.14993165615389345,0.14507521134999068,0.17918076801539953,-0.0033546371990938904,0.003373065964248344,-0.4193020919772672,-0.2616464427028682,-0.3844138164350122,-0.26480233437303097,1.0,0.7890047848643768,0.7726206698099816,0.6373945952498462,0.5288733104316412,0.6139682998190057,0.6534421689148948,0.7073436176637458,0.3907415113270535,0.402301566166578,-0.22203621661035852,0.3276004462831367
