model,param,stratum,value,MdAPE
XGBoost,learning_rate,Condominium,0.03,21.74579757673001
XGBoost,learning_rate,Condominium,0.05,21.423432030991442
XGBoost,learning_rate,Condominium,0.1,23.019466023559907
XGBoost,learning_rate,Condominium,0.2,22.930734455628286
XGBoost,learning_rate,Condominium,0.3,24.69394049956881
XGBoost,learning_rate,Houses,0.01,22.949260311597936
XGBoost,learning_rate,Houses,0.03,22.724228513830543
XGBoost,learning_rate,Houses,0.05,22.189052834009658
XGBoost,learning_rate,Houses,0.1,23.15507464082969
XGBoost,learning_rate,Houses,0.2,23.17051680313093
XGBoost,learning_rate,Houses,0.3,23.819093372832516
XGBoost,learning_rate,Vacant Lot,0.01,26.95353056042171
XGBoost,learning_rate,Vacant Lot,0.03,24.58040850404477
XGBoost,learning_rate,Vacant Lot,0.05,24.25835728687161
XGBoost,learning_rate,Vacant Lot,0.1,25.56764964532583
XGBoost,learning_rate,Vacant Lot,0.2,25.538702283929037
XGBoost,learning_rate,Vacant Lot,0.3,29.1880396153511
XGBoost,subsample,Condominium,0.6,21.76980538929769
XGBoost,subsample,Condominium,0.8,20.810061629280906
XGBoost,subsample,Condominium,0.9,21.423432030991442
XGBoost,subsample,Condominium,1.0,21.53113894122527
XGBoost,subsample,Houses,0.6,23.875519705120336
XGBoost,subsample,Houses,0.8,22.59306279021398
XGBoost,subsample,Houses,0.9,22.189052834009658
XGBoost,subsample,Houses,1.0,21.45209362544213
XGBoost,subsample,Vacant Lot,0.6,26.84782101447518
XGBoost,subsample,Vacant Lot,0.8,27.53949864462252
XGBoost,subsample,Vacant Lot,0.9,24.25835728687161
XGBoost,subsample,Vacant Lot,1.0,27.48851655995974
