term,coef,robust_se_hc3,z_value,p_value,ci_lower,ci_upper
const,8.901917456102023,0.9203633060562983,9.672177712349491,3.9586325289509416e-22,7.098038523539463,10.705796388664583
area_sqm,-8.785365663946648e-05,7.278567626859427e-05,-1.2070184841763127,0.2274250255363962,-0.00023051096071630294,5.480364743736999e-05
dist_cebu_business_park_m,-4.707994260899531e-05,1.9281785622437887e-05,-2.441679600161573,0.014619114660347968,-8.487154798659579e-05,-9.288337231394824e-06
dist_mandaue_cbd_m,6.970651286610711e-06,1.2593182612593686e-05,0.5535257846288818,0.5799034294736147,-1.771153308480894e-05,3.1652835658030364e-05
dist_to_trunk_road_m,2.355718425513096e-05,2.1252178152584464e-05,1.1084597581479518,0.26766330926905724,-1.809631951696357e-05,6.521068802722549e-05
dist_to_primary_road_m,-1.2413704548211403e-07,3.0166373037873397e-05,-0.004115080236071534,0.9967166502798207,-5.924914174391411e-05,5.9000867652949885e-05
mcrai_education,0.0012865619554615244,0.0038608491736904275,0.33323289711204973,0.7389584875230875,-0.006280563374712941,0.00885368728563599
mcrai_grocery,0.007274938271384319,0.002041875289463151,3.5628710082960278,0.00036682094971639994,0.0032729362431142463,0.011276940299654392
mcrai_health,-0.003589258254983886,0.002479033255124491,-1.4478459486432516,0.1476601390089162,-0.008448074151504984,0.0012695576415372115
mcrai_hospitals,0.04129429508971357,0.01857278464673865,2.223376616654239,0.026190415101477255,0.004892306089487347,0.0776962840899398
mcrai_recreation,0.0026878494767993907,0.0015446610567412093,1.740090141503263,0.08184319105929226,-0.00033963056273496025,0.005715329516333741
mcrai_security,-0.028992500202730462,0.011538529919284272,-2.5126684599808056,0.011982188230956849,-0.051607603279065495,-0.006377397126395432
mcrai_tourism,-0.004741943865291143,0.002121596414108081,-2.2350828997251373,0.025411906806657693,-0.008900196426672308,-0.0005836913039099778
mcrai_retail_density,-0.0011310234493274712,0.0007914684668503661,-1.4290189649985143,0.15299878259620414,-0.002682273139253322,0.0004202262405983801
bir_zonal_rr_log,0.18090107204506867,0.09711644103228483,1.8627234495231448,0.06250118493947356,-0.009443654684917507,0.3712457987750548
bir_zonal_cr_median,2.3078120074425766e-06,2.098625672924334e-06,1.0996777735148695,0.2714725422573703,-1.8054187285202534e-06,6.421042743405407e-06
is_mactan_island,-0.13203526831695367,0.1565194122281487,-0.8435711994911788,0.3989090637156959,-0.43880767916550323,0.1747371425315959
spatial_lag_price,1.52791296894146e-09,8.534397057293808e-10,1.790299840380229,0.07340572192639569,-1.4479811726458843e-10,3.2006240551475087e-09
