city,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite
Cebu City,0.9584664536741214,7.348242811501597,12.460063897763577,3.5143769968051117,26.517571884984026,29.073482428115017,2.8753993610223643,23.642172523961662,0.3194888178913738
Mandaue City,0.0,0.0,5.660377358490567,0.0,5.660377358490567,38.67924528301887,0.0,9.433962264150944,0.0
Lapu-Lapu City,0.0,2.898550724637681,13.768115942028986,2.1739130434782608,2.898550724637681,18.84057971014493,0.0,22.463768115942027,0.0
Talisay City,0.0,11.940298507462686,10.44776119402985,4.477611940298507,26.119402985074625,42.53731343283582,2.9850746268656714,18.65671641791045,0.0
Minglanilla,0.0,17.741935483870968,19.35483870967742,6.451612903225806,33.87096774193548,61.29032258064516,6.451612903225806,20.967741935483872,0.0
Consolacion,2.083333333333333,14.583333333333334,22.916666666666664,6.25,12.5,62.5,1.0416666666666665,15.625,0.0
