cluster_size,coordinate_cluster_count,rows_in_clusters
1,1169,1169
2,291,582
3,240,720
4,70,280
5,42,210
6,34,204
7,19,133
8,13,104
9,3,27
10,3,30
11,1,11
14,2,28
15,2,30
17,1,17
71,1,71
