city,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite
Cebu City,0.3058103975535168,0.45871559633027525,0.9174311926605505,0.9174311926605505,4.892966360856269,7.033639143730887,0.3058103975535168,4.434250764525994,0.3058103975535168
Mandaue City,0.0,0.0,0.0,0.0,0.0,7.079646017699115,0.0,0.0,0.0
Lapu-Lapu City,0.0,2.313624678663239,27.76349614395887,8.997429305912597,0.2570694087403599,30.848329048843187,0.0,22.62210796915167,0.0
Talisay City,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0
Minglanilla,0.0,11.11111111111111,22.22222222222222,11.11111111111111,33.33333333333333,33.33333333333333,11.11111111111111,11.11111111111111,0.0
Consolacion,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0
