feature,vif
mcrai_grocery,34.4254166407811
mcrai_health,30.575734852612406
mcrai_tourism,17.32514955725284
mcrai_retail_density,15.369900479395382
dist_cebu_business_park_m,12.123404934413255
mcrai_recreation,9.732891289692251
bir_zonal_rr_log,6.750017365577941
dist_to_trunk_road_m,6.538595664677852
mcrai_hospitals,6.398901683347814
mcrai_education,6.054186327072745
dist_talisay_tabunok_m,5.834978176907466
bir_zonal_cr_median,3.1591318448147225
mcrai_security,2.5985228120003128
dist_to_primary_road_m,1.8784241103221828
spatial_lag_price,1.7408591207237216
bedrooms,1.6617454352968077
bathrooms,1.3505908546893244
area_sqm,1.3342398132336926
