stratum,n_ols,ols_feature_count,r_squared,adj_r_squared,aic,bic,breusch_pagan_lm,breusch_pagan_lm_p_value,breusch_pagan_f,breusch_pagan_f_p_value,breusch_pagan_interpretation,jarque_bera_stat,jarque_bera_p_value,jarque_bera_interpretation,durbin_watson,durbin_watson_interpretation,covariance_type
Condo,1011,21,0.2646524069342062,0.24903835288528653,1335.157160667168,1443.3684554856184,30.761382710301163,0.07772189241956773,1.4779203933895038,0.07616475944132405,no strong heteroscedasticity signal,1537.5410599688107,0.0,non-normal residuals,1.6180844730282362,"near 2, no strong autocorrelation signal",HC3
Houses,973,21,0.24540494935925328,0.22874196716844808,1198.0275849491961,1305.3960347572884,25.986397503483794,0.20696818386096064,1.242656461908737,0.20643980726533284,no strong heteroscedasticity signal,140.4081494071143,3.241587501017559e-31,non-normal residuals,1.7618135002874222,"near 2, no strong autocorrelation signal",HC3
Lot,671,17,0.34673570957552957,0.32972882912037493,1328.266835288256,1409.4246797537464,56.24750990761267,4.313177173745302e-06,3.5145300762235308,2.3951073575534535e-06,heteroscedastic,5.029159080140323,0.08089691896983628,residuals approximately normal,1.8867418954799786,"near 2, no strong autocorrelation signal",HC3
