feature,area_sqm,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
area_sqm,1.0,-0.2503672696809745,-0.27501845965740146,0.035661021421224966,-0.05168444172233093,0.0911745189597105,0.14864578325392624,0.1025991457713563,0.13814913686212277,0.13640706534158922,0.10167342564307393,0.12914117348060117,0.05762969309006285,0.17392026625079446,0.15608736439934393,-0.0222442853171073,0.2908878799122755
dist_cebu_business_park_m,-0.2503672696809745,1.0,0.8102510844704148,0.1458322979185069,0.09000669712334908,-0.4972022239218269,-0.5562017606336768,-0.4758585139436857,-0.565952478346016,-0.27120996414740506,-0.39719441359018565,-0.39729618034840175,-0.2695588298493925,-0.745284610349981,-0.6750458434259364,0.42208100309608104,-0.5737641638339954
dist_mandaue_cbd_m,-0.27501845965740146,0.8102510844704148,1.0,-0.18020302916280628,0.0017558717621985135,-0.28659708579626414,-0.4254800914396482,-0.24705292160738598,-0.3896522404864244,-0.2075720253172912,-0.2635648097332336,-0.18639227472392522,-0.104463455168242,-0.4866181637505912,-0.4087726980620819,0.1882124530061932,-0.5603980233858827
dist_to_trunk_road_m,0.035661021421224966,0.1458322979185069,-0.18020302916280628,1.0,0.3017964264122469,-0.48232056937354817,-0.4493085821998754,-0.5923644345859942,-0.5459972723169954,-0.29889004423926546,-0.2741515277338052,-0.5317440103755104,-0.5834412456050091,-0.23538820883726363,-0.2751028562439639,0.44074880011779116,-0.026165485425048787
dist_to_primary_road_m,-0.05168444172233093,0.09000669712334908,0.0017558717621985135,0.3017964264122469,1.0,-0.3821692351901648,-0.34782106591759127,-0.5225693989094996,-0.40159509529246784,-0.6778146111975191,-0.4447056371773351,-0.6180396637482751,-0.4419594710478742,0.06658246932854019,0.07856508628865111,-0.2977884484983223,-0.08232057261918432
mcrai_education,0.0911745189597105,-0.4972022239218269,-0.28659708579626414,-0.48232056937354817,-0.3821692351901648,1.0,0.8255458968238343,0.8164887434911299,0.6883478512411174,0.5751265676104346,0.6552578424074937,0.6884620092839536,0.7360846989479024,0.44021366575139065,0.4282420617299847,-0.19751312518343303,0.32759285673247046
mcrai_grocery,0.14864578325392624,-0.5562017606336768,-0.4254800914396482,-0.4493085821998754,-0.34782106591759127,0.8255458968238343,1.0,0.8479720370713314,0.7413446823080654,0.6233684540565992,0.7275665393863662,0.7304526854369747,0.775361913135431,0.5322784577784053,0.51148016050691,-0.12549868223570226,0.4072991377759471
mcrai_health,0.1025991457713563,-0.4758585139436857,-0.24705292160738598,-0.5923644345859942,-0.5225693989094996,0.8164887434911299,0.8479720370713314,1.0,0.7744556775226034,0.6584348220876536,0.6614745772313222,0.8334185603605665,0.8702966182164651,0.41136573299152224,0.3992019622375049,-0.22895354007856203,0.2624951006284658
mcrai_hospitals,0.13814913686212277,-0.565952478346016,-0.3896522404864244,-0.5459972723169954,-0.40159509529246784,0.6883478512411174,0.7413446823080654,0.7744556775226034,1.0,0.5644495773212227,0.6419300108621586,0.7025078148931829,0.6217957385936933,0.47228080965054275,0.44744594356237916,-0.18713558425016236,0.365195913352387
mcrai_recreation,0.13640706534158922,-0.27120996414740506,-0.2075720253172912,-0.29889004423926546,-0.6778146111975191,0.5751265676104346,0.6233684540565992,0.6584348220876536,0.5644495773212227,1.0,0.5976673523857159,0.7439334903742268,0.670110779542145,0.15559182418510317,0.12560149256247458,0.22199153810886574,0.2458897093317824
mcrai_security,0.10167342564307393,-0.39719441359018565,-0.2635648097332336,-0.2741515277338052,-0.4447056371773351,0.6552578424074937,0.7275665393863662,0.6614745772313222,0.6419300108621586,0.5976673523857159,1.0,0.6407269311367432,0.5593540240302667,0.39272097135296186,0.3662866125453662,0.11015547296243854,0.2614596602103796
mcrai_tourism,0.12914117348060117,-0.39729618034840175,-0.18639227472392522,-0.5317440103755104,-0.6180396637482751,0.6884620092839536,0.7304526854369747,0.8334185603605665,0.7025078148931829,0.7439334903742268,0.6407269311367432,1.0,0.7941344516809716,0.34226116266222395,0.3449397729012026,-0.010082166283546044,0.25649228009036623
mcrai_retail_density,0.05762969309006285,-0.2695588298493925,-0.104463455168242,-0.5834412456050091,-0.4419594710478742,0.7360846989479024,0.775361913135431,0.8702966182164651,0.6217957385936933,0.670110779542145,0.5593540240302667,0.7941344516809716,1.0,0.2756928373296599,0.2822787878034863,-0.18061207126092904,0.12437156763491475
bir_zonal_rr_log,0.17392026625079446,-0.745284610349981,-0.4866181637505912,-0.23538820883726363,0.06658246932854019,0.44021366575139065,0.5322784577784053,0.41136573299152224,0.47228080965054275,0.15559182418510317,0.39272097135296186,0.34226116266222395,0.2756928373296599,1.0,0.8912723851822134,-0.33699020567327936,0.4300734395439056
bir_zonal_cr_median,0.15608736439934393,-0.6750458434259364,-0.4087726980620819,-0.2751028562439639,0.07856508628865111,0.4282420617299847,0.51148016050691,0.3992019622375049,0.44744594356237916,0.12560149256247458,0.3662866125453662,0.3449397729012026,0.2822787878034863,0.8912723851822134,1.0,-0.3581857356928662,0.4016542560396231
