feature,mean,median,std,min,max,pct_null
area_sqm,61.075376923076924,36.09,102.78811278714485,1.0,2090.0,0.0
bedrooms,1.4386281588447654,1.0,2.6265317662388608,0.0,60.0,14.76923076923077
bathrooms,1.5790838375108038,1.0,4.302571636746095,0.0,123.0,11.0
bedrooms_imputed,0.18615384615384614,0.0,0.3893805597959566,0.0,1.0,0.0
bathrooms_imputed,0.1123076923076923,0.0,0.3158661453903447,0.0,1.0,0.0
dist_cebu_business_park_m,6385.091538461538,3896.1,5808.6945176802155,0.0,21439.0,0.0
dist_talisay_tabunok_m,16150.000461538462,14512.2,5951.075540632584,1261.7,33247.4,0.0
dist_to_trunk_road_m,4523.100769230769,3110.0,3709.9026061388176,0.0,22949.0,0.0
dist_to_primary_road_m,1239.3938461538462,842.0,1196.6598948916783,0.0,8731.0,0.0
mcrai_education,19.508905615384617,18.1132,15.862978773395477,0.0,97.4841,0.0
mcrai_grocery,46.439819,35.209450000000004,42.050958953046226,0.0,165.8776,0.0
mcrai_health,32.02703807692308,24.7075,30.92423861161753,0.0,165.0653,0.0
mcrai_hospitals,3.0378556923076925,1.8712,3.8742449487779607,0.0,26.8539,0.0
mcrai_recreation,45.26234092307692,23.673000000000002,47.046763312514486,0.0,175.1602,0.0
mcrai_security,4.264468615384615,3.4654,4.012034375398105,0.0,19.2953,0.0
mcrai_tourism,39.6825096923077,26.9158,39.21868537096792,0.0,182.2521,0.0
mcrai_retail_density,81.84474,42.8992,92.18218338942543,0.0,307.1385,0.0
bir_zonal_rr_log,9.792569343116343,9.959442464680574,0.8832667095934462,7.290292882446597,12.18204118932774,0.0
bir_zonal_cr_median,48835.04244186047,29550.0,52421.68786431091,3350.0,206750.0,0.7692307692307693
is_mactan_island,0.29923076923076924,0.0,0.4580973056783566,0.0,1.0,0.0
spatial_lag_price,10766187.146031747,9132453.0,7309384.395922885,600000.0,59874000.0,3.076923076923077
