term,coef,robust_se_hc3,z_value,p_value,ci_lower,ci_upper
const,12.268376655568872,0.35858463469224805,34.21333617961097,1.5316386706744915e-256,11.565563686162614,12.97118962497513
area_sqm,-0.0006781298866062635,0.0003716536916839367,-1.8246284155922272,0.06805712235271817,-0.0014065577370281329,5.029796381560581e-05
bedrooms,0.019335756627683026,0.02011959426855464,0.9610410811267356,0.33653151242762214,-0.020097923522242565,0.05876943677760862
bathrooms,-0.01677895806672603,0.013059179109624564,-1.2848401822102282,0.19884813758543574,-0.04237447878924802,0.008816562655795963
bedrooms_imputed,-0.012780643635930122,0.05107939639085234,-0.2502113286174026,0.8024239248753864,-0.11289442091404593,0.08733313364218569
bathrooms_imputed,0.02796429865170036,0.4068364103767958,0.06873597824196938,0.9451997794201223,-0.7694204132863769,0.8253490105897776
dist_cebu_business_park_m,-1.1018617196309694e-05,1.1578794006559054e-05,-0.9516204528785954,0.3412895049621856,-3.3712636433573673e-05,1.1675402040954286e-05
dist_talisay_tabunok_m,-1.2543811278389145e-05,7.126207302099067e-06,-1.7602366513663292,0.07836769004684323,-2.651092093686966e-05,1.4232983800913712e-06
dist_to_trunk_road_m,1.3732779342774204e-05,1.4245335331441102e-05,0.9640193806083577,0.335036209383503,-1.418756485454631e-05,4.1653123540094715e-05
dist_to_primary_road_m,-1.0307638903516228e-05,2.1151819651573984e-05,-0.4873168868357479,0.6260337824528817,-5.176444362808779e-05,3.1149165821055335e-05
mcrai_education,-0.0003479937378226619,0.0027336753219471717,-0.12729885477942904,0.8987038666874249,-0.005705898914265055,0.005009911438619731
mcrai_grocery,0.0025714083910995944,0.002275942177323233,1.129821494025768,0.25855144932558716,-0.0018893563073496154,0.007032173089548804
mcrai_health,-0.001763343214986876,0.003277351743072953,-0.538039048971139,0.590550090253054,-0.008186834596079433,0.004660148166105681
mcrai_hospitals,0.013492668869662272,0.010892270696811831,1.238737931257215,0.21544256660754402,-0.007855789405949914,0.03484112714527446
mcrai_recreation,-0.00016116375343596182,0.0011796923549022799,-0.13661506982412533,0.8913350641931693,-0.0024733182818816738,0.00215099077500975
mcrai_security,-0.014250228150270085,0.00651263069097489,-2.1880909307536576,0.02866297940430786,-0.027014749749191075,-0.001485706551349093
mcrai_tourism,-0.002744291270157441,0.0020135376725185267,-1.3629202510648286,0.17290764562664418,-0.006690752589808359,0.0012021700494934768
mcrai_retail_density,0.0007309114863661738,0.0007611885572829134,0.9602239542002384,0.33694251343592896,-0.0007609906713523403,0.002222813644084688
bir_zonal_rr_log,-0.04768686277960166,0.0358229461237371,-1.3311820478105025,0.1831291169310355,-0.1178985470022451,0.022524821443041784
bir_zonal_cr_median,5.868919304838832e-07,4.521244575262274e-07,1.298076051216137,0.19426120287478954,-2.992557227972318e-07,1.4730395837649983e-06
is_mactan_island,0.1565005043398715,0.10652317556518513,1.469168596500426,0.14178706571381944,-0.05228108328672848,0.3652820919664715
spatial_lag_price,3.209767545814428e-08,2.709017025728435e-09,11.84845837191202,2.191859676643518e-32,2.6788099654210727e-08,3.7407251262077826e-08
