feature,mean,median,std,min,max,pct_null
area_sqm,217.42251839738347,135.0,262.8635597502108,18.5,3000.0,0.0
bedrooms,3.738474434199497,4.0,2.1570868108684658,0.0,39.0,2.4529844644317254
bathrooms,3.043273350471294,3.0,2.270903413183372,0.0,45.0,4.578904333605887
bedrooms_imputed,0.03188879803761243,0.0,0.17577589715338163,0.0,1.0,0.0
bathrooms_imputed,0.050695012264922325,0.0,0.2194639154386998,0.0,1.0,0.0
dist_cebu_business_park_m,9783.259362224038,10254.8,4316.804597172786,99.9,22678.7,0.0
dist_mandaue_cbd_m,10018.430989370401,9237.7,5452.778265947592,0.0,26614.7,0.0
dist_to_trunk_road_m,4326.399836467703,3975.0,3046.4421540979756,0.0,19070.0,0.0
dist_to_primary_road_m,2047.353229762878,1738.0,1655.847711704612,0.0,10873.0,0.0
mcrai_education,12.360115699100573,9.4188,10.585472384590364,0.0,77.4228,0.0
mcrai_grocery,18.611233442354862,10.6483,23.371162538591697,0.0,161.0114,0.0
mcrai_health,16.924979067865905,8.2296,22.445145049560573,0.0,166.9571,0.0
mcrai_hospitals,1.3680300899427635,0.6659,2.0866917362627246,0.0,28.3688,0.0
mcrai_recreation,12.6945206050695,4.4011,22.405782226693926,0.0,181.7097,0.0
mcrai_security,1.7892222403924776,0.6769,2.782789016038849,0.0,16.7747,0.0
mcrai_tourism,15.013216598528208,7.5824,20.28294639430741,0.0,178.4432,0.0
mcrai_retail_density,34.18582551103843,11.2504,52.0484448277272,0.0,337.9511,0.0
bir_zonal_rr_log,9.16870449462473,9.15915233520675,0.7125684452543514,7.346655163176539,12.18204118932774,0.0
bir_zonal_cr_median,24042.582149621212,17500.0,23192.680931228773,2750.0,206750.0,13.654946852003272
is_mactan_island,0.2044153720359771,0.0,0.4034387346238968,0.0,1.0,0.0
spatial_lag_price,17057804.369528618,12127368.5,15282433.6589938,1866667.0,160000000.0,2.8618152085036797
