feature,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_talisay_tabunok_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
area_sqm,1.0,0.6788570584049275,0.6735813336474464,-0.354047458203844,-0.08920750703528701,0.005076304806637164,-0.006903006475481979,0.14067103738116615,0.047642576400912455,-0.10940728102482515,-0.06889873622742283,-0.10431386069883461,-0.14192772390523486,0.05457592899428683,-0.027095628272782998,-0.037903093905310235,-0.04859803441165862,-0.0142308736663133,-0.013529801072247653,0.15256289154819944,0.40283012528914547
bedrooms,0.6788570584049275,1.0,0.674716795724206,0.04412541720319421,0.06178691197711687,-0.008119179777261714,-0.07030921420584016,0.0034987658873639285,-0.009621721004368209,-0.07945768580875881,-0.06188572853973207,-0.07093789898730349,-0.09483419892958253,0.01755896761474337,-0.03611413693340386,-0.06214538227867354,-0.02722902198458986,-0.019491931031481658,-0.016880249758855746,0.04458786536997693,0.14015447864894623
bathrooms,0.6735813336474464,0.674716795724206,1.0,-0.1988275013190133,0.009439052673932923,-0.11271647233795744,-0.1169336466920196,-0.020719121837152122,-0.01649142108764516,0.039551151722025744,0.0692205192435421,0.04196353705497585,-0.0009378830466003698,0.08465813465418821,0.06622625671144126,0.06616834403452232,0.06993106154854675,0.10176331592603459,0.1013683700408967,-0.04681442192555572,0.26204726717688154
bedrooms_imputed,-0.354047458203844,0.04412541720319421,-0.1988275013190133,1.0,0.35565301225897233,0.10932523005580892,0.1424026930178403,-0.03387066069391993,-0.055054399098023614,-0.032153767679437714,-0.03422998508435815,-0.024399597539088935,0.007067544343053313,-0.06589122034573927,-0.0008913616424914111,-0.043971438748080634,-0.04540002747063481,-0.1452855864250251,-0.10076159633818144,0.015477034945875792,-0.15526670467976655
bathrooms_imputed,-0.08920750703528701,0.06178691197711687,0.009439052673932923,0.35565301225897233,1.0,5.1935543673811744e-05,0.026578012878165212,-0.050225828418355704,-0.06637757711207591,0.04675249403873668,0.03696710228426059,0.03308195142864811,0.021053977738191124,0.004749016579510396,0.03232405708404,0.009410216410266547,0.03440463648293762,0.007799235776637776,0.024887101653233903,-0.06750138266185629,-0.04005301146957463
dist_cebu_business_park_m,0.005076304806637164,-0.008119179777261714,-0.11271647233795744,0.10932523005580892,5.1935543673811744e-05,1.0,0.7674001054661806,0.6306633271995761,0.3012502128798555,-0.7572631851224324,-0.8527601396900261,-0.8167706263519433,-0.7296598719665944,-0.6400587065670966,-0.6851021011292603,-0.8585845810736703,-0.8099125304942183,-0.9408284134641062,-0.9013268678102866,0.7675817651797806,-0.29453143804059306
dist_talisay_tabunok_m,-0.006903006475481979,-0.07030921420584016,-0.1169336466920196,0.1424026930178403,0.026578012878165212,0.7674001054661806,1.0,0.6596779928850648,0.1109454935144865,-0.6049797920747139,-0.6298555637711095,-0.6623472707411918,-0.6340490372130674,-0.3189231956839585,-0.5344722977702069,-0.6626734160756491,-0.5458499077372939,-0.748882682014801,-0.7129885137873885,0.7473935676056154,-0.1543309565867113
dist_to_trunk_road_m,0.14067103738116615,0.0034987658873639285,-0.020719121837152122,-0.03387066069391993,-0.050225828418355704,0.6306633271995761,0.6596779928850648,1.0,0.31471371449031865,-0.6055036296917199,-0.6531517201519011,-0.6567556507518563,-0.7338966809591785,-0.44085576755948497,-0.5149868631882376,-0.6218941064470411,-0.6150585315721239,-0.6214019755498295,-0.6910145306011334,0.7392422442156948,0.03759248272118557
dist_to_primary_road_m,0.047642576400912455,-0.009621721004368209,-0.01649142108764516,-0.055054399098023614,-0.06637757711207591,0.3012502128798555,0.1109454935144865,0.31471371449031865,1.0,-0.26982514229127563,-0.36115624304184196,-0.38455078764118367,-0.21289460589089557,-0.4317913394734024,-0.4820518174874674,-0.368106777431569,-0.36567054871547394,-0.22710867034916815,-0.24449498199434785,0.10661335467749615,-0.0017704906985281028
mcrai_education,-0.10940728102482515,-0.07945768580875881,0.039551151722025744,-0.032153767679437714,0.04675249403873668,-0.7572631851224324,-0.6049797920747139,-0.6055036296917199,-0.26982514229127563,1.0,0.8897465458849134,0.8774571520995322,0.7930374809704115,0.6232277108604445,0.6759104456698868,0.8213360357268366,0.8003454514890028,0.7226993532968414,0.7017627422281166,-0.6416692468842004,0.1340737984431041
