stratum,property_id,city,price_per_sqm,cooks_d
Lot,1428,Cebu City,42000.0,0.07194242877015054
Lot,4043,Cebu City,3300.0,0.06442891953743192
Lot,2968,Cebu City,31250.0,0.03477101533762786
Lot,4034,Cebu City,110000.0,0.027242498877593304
Lot,3440,Lapu-Lapu City,167004.89980481457,0.026774163989874745
Lot,1600,Cebu City,209839.3574297189,0.025839745995752363
Lot,3168,Cebu City,13000.0,0.01988548091716147
Lot,3888,Mandaue City,22222.222222222223,0.01792844088870455
Lot,2917,Cebu City,7440.476190476191,0.01669468091388031
Lot,4035,Cebu City,77777.77777777778,0.016361171326490554
Lot,3298,Cebu City,156462.5850340136,0.013813381213658427
Lot,3116,Cebu City,20555.555555555555,0.013305814470896314
Lot,414,Cebu City,300132.35294117645,0.012988730154521323
Lot,2345,Mandaue City,24456.521739130436,0.012544606678311886
Lot,3317,Cebu City,33000.0,0.011581404154787684
Lot,2167,Minglanilla,110000.0,0.01093081353603785
Lot,4022,Consolacion,6100.0,0.010703380172466227
Lot,3049,Cebu City,12000.0,0.01038589314706628
Lot,1618,Mandaue City,230000.0,0.010111341282608096
Lot,2918,Cebu City,11412.268188302423,0.009792795830844228
Lot,2668,Minglanilla,6000.0,0.009591175745262599
Lot,1625,Mandaue City,220000.0,0.009391630914725828
Lot,1617,Mandaue City,220000.0,0.009300704644440445
Lot,3043,Cebu City,100000.0,0.008896770700677912
Lot,3439,Lapu-Lapu City,52941.17647058824,0.008759204824188425
