term,coef,robust_se_hc3,z_value,p_value,ci_lower,ci_upper
const,11.883935252457656,0.46234446209661584,25.70363922727007,1.0643580729007318e-145,10.977756758296744,12.790113746618568
area_sqm,-0.00039745555614189166,7.171873196208481e-05,-5.54186535746355,2.9926638471740975e-08,-0.0005380216878044595,-0.0002568894244793238
bedrooms,-0.026214678647654033,0.01949385150831858,-1.344766509402592,0.17870064872243385,-0.06442192552393027,0.0119925682286222
bathrooms,0.03726431215390913,0.020368367801582635,1.829518816476481,0.06732192311243672,-0.002656955161058114,0.07718557946887637
bedrooms_imputed,0.039534651053051206,0.11484291459426547,0.344249805856332,0.7306584289645579,-0.18555332543131847,0.2646226275374209
bathrooms_imputed,0.4034255871615562,0.1894738028991633,2.1291892651579736,0.033238604692879876,0.032063757465355225,0.7747874168577571
dist_cebu_business_park_m,-4.774776889527814e-05,1.1895466207733545e-05,-4.013946831628684,5.97118023265498e-05,-7.106245424174915e-05,-2.4433083548807133e-05
dist_mandaue_cbd_m,1.5024765393021542e-05,7.195647385852435e-06,2.088035250665862,0.0367946549919452,9.2155567130098e-07,2.9127975114742107e-05
dist_to_trunk_road_m,1.1360058710256301e-05,7.93840839250973e-06,1.4310247279511423,0.15242312825747675,-4.198935833633276e-06,2.691905325414588e-05
dist_to_primary_road_m,4.763899557962267e-06,1.3987567498905566e-05,0.3405809879619891,0.7334190440468339,-2.2651228971215646e-05,3.2179028087140176e-05
mcrai_education,-0.0042908383563922126,0.002707718376789263,-1.5846693633922775,0.11304147614999674,-0.009597868855176423,0.0010161921423919983
mcrai_grocery,0.0025101310070383305,0.0012331132740448193,2.03560456275414,0.04179007926109547,9.327340105221493e-05,0.004926988613024446
mcrai_health,-0.005353906723842568,0.0014751155253868236,-3.6294830009592625,0.0002839894310767868,-0.008245080026636622,-0.0024627334210485137
mcrai_hospitals,0.014015887620932865,0.01601344397123978,0.8752575427313116,0.3814337899200029,-0.01736988583114716,0.04540166107301289
mcrai_recreation,0.0011832944320732666,0.0009479546133214764,1.248260639744342,0.21193562336065452,-0.0006746624690154204,0.0030412513331619538
mcrai_security,0.012354420381237657,0.007220104247490365,1.7111138506804704,0.08706009778403917,-0.0017967239084681272,0.026505564670943442
mcrai_tourism,2.1458788538094437e-05,0.0014804361252276903,0.014494910096032739,0.9884351399930777,-0.002880142698320208,0.002923060275396397
mcrai_retail_density,0.001340568883218706,0.0005587877692233703,2.3990662592380865,0.01643694011007248,0.000245364980539421,0.002435772785897991
bir_zonal_rr_log,-0.05427456908800654,0.0463796004435503,-1.170225024988419,0.24191042461228396,-0.14517691557472306,0.03662777739870997
bir_zonal_cr_median,1.809892672824971e-08,1.009091742778625e-06,0.01793585851610745,0.9856900226507765,-1.9596845462146116e-06,1.995882399671111e-06
is_mactan_island,-0.07905389171858168,0.07116988254081474,-1.1107773245690773,0.26666420913975786,-0.21854429828252459,0.06043651484536122
spatial_lag_price,7.3527492286413455e-09,1.3150502535911246e-09,5.591230607775285,2.2546589444568496e-08,4.775298093742477e-09,9.930200363540214e-09
