city,mcrai_category,value,across_lgu_mean,ratio_to_mean
Lapu-Lapu City,mcrai_health,7.3050370179948585,26.745015038430452,0.2731363959787685
Lapu-Lapu City,mcrai_hospitals,0.63570205655527,2.3860009611645165,0.266429924757871
Lapu-Lapu City,mcrai_retail_density,10.95643059125964,66.02812301039313,0.16593581782621697
Talisay City,mcrai_hospitals,0.4784125,2.3860009611645165,0.2005080919022367
Talisay City,mcrai_recreation,5.82805625,32.9314000081471,0.17697565996459796
Minglanilla,mcrai_health,7.979688888888889,26.745015038430452,0.29836172750034773
Minglanilla,mcrai_recreation,3.286488888888889,32.9314000081471,0.09979803130373517
Minglanilla,mcrai_security,0.7200000000000001,2.260470591722674,0.31851774698440016
Minglanilla,mcrai_tourism,4.4014,23.23561685577555,0.18942471066379146
Minglanilla,mcrai_retail_density,21.164822222222224,66.02812301039313,0.3205425394099236
