city,Condo,Houses,Lot
Cebu City,167526.90750858857,85370.86517071283,50000.0
Mandaue City,155286.2068965517,74772.72727272726,45000.0
Lapu-Lapu City,160901.8,62073.44632768362,18000.0
Talisay City,122727.59119496855,65000.0,20939.56043956044
Minglanilla,79757.98429319372,64649.0081799591,17819.73976515392
Consolacion,76625.0,70000.0,15850.0
