stratum,property_id,city,price_per_sqm,cooks_d
Condo,3679,Cebu City,18872.463414634145,0.5554816560851779
Condo,2855,Lapu-Lapu City,105000.0,0.23630385876013868
Condo,3511,Lapu-Lapu City,16746.41148325359,0.16836160253022145
Condo,456,Cebu City,83333.33333333333,0.058221515419708054
Condo,464,Lapu-Lapu City,300000.0,0.04569078901084067
Condo,3300,Cebu City,16181.229773462785,0.038794712201916035
Condo,2316,Cebu City,5500000.0,0.035146225007411526
Condo,3286,Lapu-Lapu City,16666.666666666668,0.03404497057337384
Condo,1613,Lapu-Lapu City,16666.666666666668,0.0323893997997665
Condo,3102,Lapu-Lapu City,17647.058823529413,0.03059969248627061
Condo,2571,Talisay City,33862.43386243386,0.027096822411808646
Condo,2642,Talisay City,36319.61259079903,0.023264255467387644
Condo,1637,Lapu-Lapu City,26966.29213483146,0.02308446487479073
Condo,2276,Cebu City,227705.52147239263,0.0182090380789771
Condo,1257,Minglanilla,68111.45510835914,0.01774085575100832
Condo,3922,Mandaue City,20766.7731629393,0.017548323796018235
Condo,2570,Talisay City,150000.0,0.017536480207992523
Condo,3014,Cebu City,41666.666666666664,0.017054350293200234
Condo,3961,Cebu City,23734.177215189873,0.016928897913723807
Condo,3572,Cebu City,20000.0,0.014934053223750533
Condo,3120,Cebu City,52631.57894736842,0.013236253914672648
Condo,1460,Lapu-Lapu City,41666.666666666664,0.011782003520049189
Condo,1667,Mandaue City,552630.0,0.010601063514445074
Condo,444,Lapu-Lapu City,30094.78672985782,0.010478531606696194
Condo,3759,Mandaue City,21739.130434782608,0.009773957078276097
