url,family,city,query,status,lat,lng,loc_type,formatted
https://www.lamudi.com.ph/property/41032-73-203705f63848-e0a3-19e2ac0-adf4-7551,land,Cebu,"Banilad, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3518061,123.9053005,APPROXIMATE,"Banilad, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-1eb98d708187-c739-19e91df-beff-7325,house,Cebu,"Sanson Road, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3314565,123.8967152,GEOMETRIC_CENTER,"Sanson Rd, Lahug, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-ac1e59a112f6-7abb-19e6a01-8658-7780,house,Consolacion,"Molave Highlands Subdiv., Subdiv., Yati, Liloan, Lalawigan ng Cebu, Pilipinas",filled,10.3924962,123.9696377,ROOFTOP,"M091 Fantail, St., Molave Highlands, Subdiv., Yati, Liloan, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-e3ec8c860dad-8fa1-19e8452-8058-73b2,land,Cebu,"Tisa, Cebu City, Cebu, Pilipinas",filled,10.3033603,123.8662448,APPROXIMATE,"Tisa, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-7c70daae1206-e32d-19e2abe-8da1-7802,house,Cebu,"Talamban, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3693292,123.9169018,APPROXIMATE,"Talamban, Cebu City, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-ede71ea7923a-17b-19e5d29-853e-7213,land,Minglanilla,"Lower Pakigne, Minglanilla, Lalawigan ng Cebu, Pilipinas",filled,10.246444,123.8069463,GEOMETRIC_CENTER,"Lower Pakigne, Minglanilla, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-49c335804e3b-8041-19c04cb-8eca-7a17,house,Cebu,"Labangon, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3003418,123.8815901,APPROXIMATE,"Labangon, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-878140e7e6d7-f053-19c4fc5-ab45-742e,land,,"The Mentigi Point by Duros Land, Daanbantayan, Lalawigan ng Cebu, Pilipinas",filled,11.2673454,123.9971397,GEOMETRIC_CENTER,"Daanbantayan, 6013 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-de24af6335da-aec0-19e6376-80fc-7161,land,Talisay,"Daruhan Drive, San Roque, Talisay City, Cebu, Central Visayas, PHL, Philippines",filled,10.2560997,123.8538713,GEOMETRIC_CENTER,"Daruhan Drive, San Roque, Talisay, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-7fb72bf3f9c3-b8fc-19dec40-a4d1-77f1,land,Cebu,"Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.2926115,123.9021934,APPROXIMATE,"Cebu City, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-151e2e912d77-31cf-19e8618-b524-7071,land,Cebu,"Guadalupe, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3234205,123.8801952,APPROXIMATE,"Guadalupe, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-3b921337dc1-2c32-19e908e-b938-75ea,land,Cebu,"Lahug Barangay Hall, Gorordo Avenue, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.32423,123.898534,ROOFTOP,"8VFX+W8J, 168 Gorordo Ave, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-78c748507a92-4ebe-19e8c3c-90dd-73d8,land,Cebu,"Metropolis phase 1, Pulangbato, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3917337,123.9175274,ROOFTOP,"9WR9+M2R, Pulangbato, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-10431e755758-14d0-19e7e5b-b5df-7726,land,Cebu,"Don Mariano Cui Street, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.312576,123.8909273,GEOMETRIC_CENTER,"Don Mariano Cui St, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-5ab3fa50e054-1ae5-19e812a-bab4-7445,land,Talisay,"Biasong, Talisay, Lalawigan ng Cebu, Pilipinas",filled,10.2411514,123.8313596,APPROXIMATE,"Biasong, Talisay, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-5ad3810baade-2232-19e78d0-ad48-72c7,land,Cebu,"Maria Luisa Entrance Road, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3442423,123.9099079,GEOMETRIC_CENTER,"Paseo Saturnino, Banilad, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-7decf3db78cb-a215-19e8125-b584-76e1,land,Bogo,"Taytayan, Bogo City, Lalawigan ng Cebu, Pilipinas",filled,11.0440908,123.9889356,APPROXIMATE,"Taytayan, Bogo City, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-1e2aecefbe72-47ae-19e6c46-8d0b-7662,land,Cebu,"Banilad, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3518061,123.9053005,APPROXIMATE,"Banilad, Cebu City, 6000 Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-ccae04705d7f-a224-19e6dbf-9114-72c7,land,Talisay,"Mohon, Talisay, Lalawigan ng Cebu, Pilipinas",filled,10.2507362,123.8215894,APPROXIMATE,"Mohon, Talisay, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-e3b218caa0ed-3717-96f2eba0-a09d-450f,land,Mandaue,"Pagsabungan, Mandaue City, Cebu, Pilipinas",filled,10.3568128,123.9443397,APPROXIMATE,"Pagsabungan, Mandaue, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-6393eb18a23a-d68c-19e885f-9035-74a3,land,Mandaue,"LeGrand Heights Estates Castille, Barangay Sacsac Rd, Cebu City, Lalawigan ng Cebu, Pilipinas",filled,10.3828441,123.9300245,GEOMETRIC_CENTER,"Barangay Sacsac Rd, Cebu City, Cebu, Philippines"
https://www.lamudi.com.ph/property/41032-73-39db10dc5909-8ca8-19e6205-a996-75c6,land,Mandaue,"Tawason, Mandaue City, Lalawigan ng Cebu, Pilipinas",filled,10.3781056,123.9276107,APPROXIMATE,"Tawason, Mandaue, Cebu, Philippines"
