property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_airport_m,spatial_lag_price,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log,valuation_gap,is_mactan_island,is_vacant_lot,area_sqm,bedrooms_imputed,bathrooms_imputed,floor_area_imputed,market_segment,mcrai_education,mcrai_grocery,mcrai_health,mcrai_security,mcrai_tourism,mcrai_recreation,mcrai_retail_density,mcrai_composite,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_hospitals
2263,Lamudi_playwright_2026-06,open_market,House For Sale in Talisay,"Pacific Heights Subdivision, Candulawan, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,House and Lot,,684.0,8.0,7.0,23500000.0,10.2778821,123.8358946,Lamudi_pin_or_google_geocode,False,34356.72514619883,10.444553061491836,,,,,,,,,,Cadulawan,8650.0,,,9.065430200180375,25706.725146198827,0,0,684.0,0,0,0,open_market,,,,,,,,,,,
2264,Lamudi_playwright_2026-06,open_market,House For Sale in Talisay,"vista grande house and lot, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,House and Lot,,350.0,6.0,5.0,22500001.0,10.2783347,123.8356413,Lamudi_pin_or_google_geocode,False,64285.717142857146,11.071092757135633,,,,,,,,,,Cadulawan,8650.0,,,9.065430200180375,55635.717142857146,0,0,350.0,0,0,0,open_market,,,,,,,,,,,
2265,Lamudi_playwright_2026-06,open_market,Residential Lot For Sale in Maribago,"Pajac, Maribago, Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Vacant Lot,,690.0,,,3800000.0,10.2832585,123.9970338,Lamudi_pin_or_google_geocode,False,5507.246376811594,8.613820027105309,,,,,,,,,,Maribago,4125.0,9750.0,112500.0,8.325063693631197,1382.246376811594,1,1,690.0,1,1,0,open_market,,,,,,,,,,,
2266,Lamudi_playwright_2026-06,open_market,Land For Sale in Agus,"Agus, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Vacant Lot,,14562.0,,,203868000.0,10.2846893,123.9833623,Lamudi_pin_or_google_geocode,False,14000.0,9.546812608597396,,,,,,,,,,Agus,8000.0,9781.25,,8.987321812850125,6000.0,1,1,14562.0,1,1,0,open_market,,,,,,,,,,,
2267,Lamudi_playwright_2026-06,open_market,Land For Sale in Babag,"Timpolok Road, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Vacant Lot,,931.0,,,16758000.0,10.285422,123.9504723,Lamudi_pin_or_google_geocode,False,18000.0,9.798127036878302,,,,,,,,,,Babag,5500.0,13375.0,,8.612685172875459,12500.0,1,1,931.0,1,1,0,open_market,,,,,,,,,,,
2268,Lamudi_playwright_2026-06,open_market,Land For Sale in Talisay,"Vista Grande Phase 3, Vista Grande, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,Vacant Lot,,318.0,,,7473000.0,10.287087,123.8261834,Lamudi_pin_or_google_geocode,False,23500.0,10.06475570013225,,,,,,,,,,Lagtang,8000.0,16000.0,,8.987321812850125,15500.0,0,1,318.0,1,1,0,open_market,,,,,,,,,,,
2269,Lamudi_playwright_2026-06,open_market,Land For Sale in Duljo,"6000, Cebu City, Central Visayas, PHL",Cebu City,Vacant Lot,,362.0,,,30000000.0,10.28788003,123.88248537,Lamudi_pin_or_google_geocode,False,82872.92817679558,11.325063727800659,,,,,,,,,,Mambaling,20000.0,42500.0,92500.0,9.90353755128617,62872.92817679558,0,1,362.0,1,1,0,open_market,,,,,,,,,,,
2270,Lamudi_playwright_2026-06,open_market,House For Sale in Canjulao,"4 Madrid Street, La Aldea Buena Mactan, Babag, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,House and Lot,,96.0,3.0,2.0,7900000.0,10.28968101,123.9502519,Lamudi_pin_or_google_geocode,False,82291.66666666667,11.318025125969413,,,,,,,,,,Babag,5500.0,13375.0,,8.612685172875459,76791.66666666667,1,0,96.0,0,0,0,open_market,,,,,,,,,,,
2271,Lamudi_playwright_2026-06,open_market,Studio For Sale in Lapu-Lapu,"Tambuli Seaside Resort and Spa, Buyong Road, Mactan, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,36.0,,1.0,3900000.0,10.2899858,124.0068711,Lamudi_pin_or_google_geocode,False,108333.33333333333,11.592968172643765,,,,,,,,,,Mactan,5000.0,10500.0,107500.0,8.517393171418904,103333.33333333333,1,0,36.0,1,0,0,open_market,,,,,,,,,,,
2272,Lamudi_playwright_2026-06,open_market,Condo For Sale in Lapu-Lapu,"Tambuli Seaside Resort and Spa, Buyong Road, Mactan, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,48.0,1.0,1.0,10500000.0,10.2899858,124.0068711,Lamudi_pin_or_google_geocode,False,218750.0,12.29568480421986,,,,,,,,,,Mactan,5000.0,10500.0,107500.0,8.517393171418904,213750.0,1,0,48.0,0,0,0,open_market,,,,,,,,,,,
