property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_airport_m,spatial_lag_price,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log,valuation_gap,is_mactan_island,is_vacant_lot,area_sqm,bedrooms_imputed,bathrooms_imputed,floor_area_imputed,market_segment,mcrai_education,mcrai_grocery,mcrai_health,mcrai_security,mcrai_tourism,mcrai_recreation,mcrai_retail_density,mcrai_composite,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_hospitals,geocode_precision
2765,DotProperty_2026-06,open_market,4 bedroom house for sale in pacific grand villas agus cebu,"Pacific Grand Villas, Subabasbas, Brgy. Marigondon, Lapu-Lapu City, Cebu Price: 12.8M Payment Terms: Cash or Bank FinancingDetails: Titled property inside a high-end subdivision Floor area: 129 sqm Lot area: 140 sqm 4 bedrooms 3 bathrooms Spacious kitchen with quartz countertop High ceiling living room Garden landscaping Tiled front porch and... Luchie U. Malgue Verified seller Call",Lapu-Lapu City,House and Lot,,129.0,4.0,3.0,12800000.0,10.2726164,123.9643533,google_text,False,99224.80620155038,11.505143324528174,,,,,,,,,,Subabasbas,3225.0,8260.0,,8.078998258685154,95999.80620155038,1,0,129.0,0,0,0,open_market,,,,,,,,,,,,ROOFTOP
2766,DotProperty_2026-06,open_market,4 bedroom house for sale in pacific grand villas subabasbas cebu,pacific grand villas subabasbas cebu,Lapu-Lapu City,House and Lot,,292.0,4.0,4.0,30000000.0,10.2726164,123.9643533,google_text,False,102739.72602739726,11.539954137358148,,,,,,,,,,Subabasbas,3225.0,8260.0,,8.078998258685154,99514.72602739726,1,0,292.0,0,0,0,open_market,,,,,,,,,,,,ROOFTOP
2767,FilipinoHomes_2026-06,open_market,For sale House and lot in St. Jude Acres Bulacao Pardo,"St. Jude Acres Bulacao, Natalio B. Bacalso Avenue, Cebu City, Cebu, Philippines",Cebu City,Vacant Lot,,293.0,5.0,3.0,7500000.0,10.2735782,123.849378,fh_listing_embedded,False,25597.26962457338,10.150240969489472,,,,,,,,,,Bulacao,16000.0,25000.0,92500.0,9.680406499268875,9597.269624573379,0,1,293.0,0,0,0,open_market,,,,,,,,,,,,embedded
2768,FilipinoHomes_2026-06,open_market,Rush for Sale Townhouse in Lapu lapu Cebu,"ISLAND HOMES SUBDIVISION, Nunez Road, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Townhouse,,95.5,3.0,2.0,3900000.0,10.2735591,123.962237,fh_listing_embedded,False,40837.69633507854,10.61736086361319,,,,,,,,,,Basak,10000.0,15000.0,62500.0,9.210440366976517,30837.696335078537,1,0,95.5,0,0,0,open_market,,,,,,,,,,,,embedded
2769,FilipinoHomes_2026-06,open_market,HOUSE & LOT FOR SALE OR RENT!!,"ISLAND HOMES SUBDIVISION, Nunez Road, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Vacant Lot,,95.5,3.0,2.0,5500000.0,10.2735591,123.962237,fh_listing_embedded,False,57591.62303664922,10.961132402716014,,,,,,,,,,Basak,10000.0,15000.0,62500.0,9.210440366976517,47591.62303664922,1,1,95.5,0,0,0,open_market,,,,,,,,,,,,embedded
2770,FilipinoHomes_2026-06,open_market,lot for sale??,"Naga Road, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Vacant Lot,,467.0,0.0,0.0,4670000.0,10.2739302,123.9429422,fh_listing_embedded,False,10000.0,9.210340371976184,,,,,,,,,,Babag,5500.0,13375.0,,8.612685172875459,4500.0,1,1,467.0,0,0,0,open_market,,,,,,,,,,,,embedded
2771,FilipinoHomes_2026-06,open_market,House and lot for sale,"MAGHAWAY TALISAY CITY CEBU, Talisay, Cebu, Philippines",Talisay City,Vacant Lot,,300.0,4.0,3.0,15000000.0,10.2740192,123.8191338,fh_listing_embedded,False,50000.0,10.819778284410283,,,,,,,,,,Maghaway,6000.0,,,8.699681400989514,44000.0,0,1,300.0,0,0,0,open_market,,,,,,,,,,,,embedded
2772,FilipinoHomes_2026-06,open_market,Fully furnished La Aldea Townhouse,"Babag II Road, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Townhouse,,40.0,3.0,1.0,2600000.0,10.274046,123.9457074,fh_listing_embedded,False,65000.0,11.082142548877775,,,,,,,,,,Babag,5500.0,13375.0,,8.612685172875459,59500.0,1,0,40.0,0,0,0,open_market,,,,,,,,,,,,embedded
2773,FilipinoHomes_2026-06,open_market,269sqm lot only for sale inside san josemaria village toledo cebu,"San Josemaria Village Talisay, Maghaway Road, Talisay, Cebu, Philippines",Talisay City,Vacant Lot,,269.0,0.0,0.0,2300000.0,10.2740988,123.8210034,fh_listing_embedded,False,8550.185873605948,9.053708301297538,,,,,,,,,,Maghaway,6000.0,,,8.699681400989514,2550.1858736059476,0,1,269.0,0,0,0,open_market,,,,,,,,,,,,embedded
2774,FilipinoHomes_2026-06,open_market,"Single Detached Furnished House for sale in Talisay, Cebu","San Josemaria Village Talisay, Maghaway Road, Talisay, Cebu, Philippines",Talisay City,Single Detached,,48.0,2.0,1.0,5000000.0,10.2740988,123.8210034,fh_listing_embedded,False,104166.66666666667,11.553747459490484,,,,,,,,,,Maghaway,6000.0,,,8.699681400989514,98166.66666666667,0,0,48.0,0,0,0,open_market,,,,,,,,,,,,embedded
2775,FilipinoHomes_2026-06,open_market,BF Bella Ville (1 storey bungalow row house Angel Model),"BF Bellaville Sudtunggan, Unnamed Road, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,House and Lot,,27.75,2.0,1.0,1350000.0,10.2742187,123.9586124,fh_listing_embedded,False,48648.64864864865,10.792379310222168,,,,,,,,,,Basak,10000.0,15000.0,62500.0,9.210440366976517,38648.64864864865,1,0,27.75,0,0,0,open_market,,,,,,,,,,,,embedded
2776,FilipinoHomes_2026-06,open_market,BF Bellaville (Bare Mary Angelique Model),"BF Bellaville Sudtunggan, Unnamed Road, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,House and Lot,,44.0,2.0,1.0,1750000.0,10.2742187,123.9586124,fh_listing_embedded,False,39772.72727272727,10.590936711981435,,,,,,,,,,Basak,10000.0,15000.0,62500.0,9.210440366976517,29772.727272727272,1,0,44.0,0,0,0,open_market,,,,,,,,,,,,embedded
2777,FilipinoHomes_2026-06,open_market,Lot For Sale Corner Unit Pacific Grand Villas Phase 1,"Pacific Grand Villas, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Vacant Lot,,134.5,0.0,0.0,2000000.0,10.2741697,123.9659809,fh_listing_embedded,False,14869.888475836431,9.607093539482326,,,,,,,,,,Basak,10000.0,15000.0,62500.0,9.210440366976517,4869.888475836431,1,1,134.5,0,0,0,open_market,,,,,,,,,,,,embedded
