bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
Bank of Commerce,92404,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 7 Blk 11 Villa Verna Subdivision Bo Bulacao Talisay City,149,0,1997000,residential vacant lot
Bank of Commerce,92408,Talisay City,Residential - Vacant Lot,Villa Verna Subdivision,Lot 11 Blk 11 Villa Verna Subdivision Bo Bulacao Talisay City,99,0,1238000,residential vacant lot
Bank of Commerce,T-54021,Minglanilla,Residential - Vacant Lot,,Lot 9205 Sitio Abono Hills Brgy Tunghaan Minglanilla Cebu,9049.29,0,22493000,agri-residential vacant lot
Bank of Commerce,T-54022,Minglanilla,Residential - Vacant Lot,,Lot 10649 Brgy Pitago 2 Minglanilla Cebu,3811,0,5717000,residential vacant lot
Bank of Commerce,163050,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163332,Cebu City,Residential - House and Lot,South Hills Subd,Lot 14 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential lot with improvement
Bank of Commerce,163333,Cebu City,Residential - House and Lot,South Hills Subd,Lot 15 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential lot with improvement
Bank of Commerce,163334,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 16 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163335,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 17 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163336,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 18 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163338,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 20 Blk 14 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163588,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 48 Blk 13 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163590,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 50 Blk 13 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163591,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 51 Blk 13 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,163740,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 3 Blk 31 South Hills Subd Brgy Buhisan Cebu City,300,0,4980000,residential vacant lot
Bank of Commerce,163741,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163742,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 5 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163743,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 6 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163744,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 7 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163745,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 8 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163746,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 9 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163747,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 10 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163749,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163768,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 13 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163771,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 16 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163774,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 19 Blk 31 South Hills Subd Brgy Buhisan Cebu City,123,0,2041000,residential vacant lot
Bank of Commerce,163775,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 23 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163776,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 24 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,163782,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 43 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164017,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 44 Blk 1 South Hills Subd Brgy Buhisan Cebu City,98,0,1627000,residential vacant lot
Bank of Commerce,164018,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 45 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164019,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 46 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164020,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 47 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164021,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 48 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164022,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 49 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164023,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 50 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164024,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 51 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164025,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 52 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164026,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 53 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164027,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 54 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164028,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 55 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164029,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 56 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164030,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 57 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164031,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 58 Blk 1 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164033,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 2 Blk 31 South Hills Subd Brgy Buhisan Cebu City,300,0,4980000,residential vacant lot
Bank of Commerce,164034,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 1 Blk 31 South Hills Subd Brgy Buhisan Cebu City,300,0,4980000,residential vacant lot
Bank of Commerce,164035,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 27 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164036,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 28 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164037,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 29 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164038,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 30 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164039,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 31 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164041,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 33 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164042,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 34 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164043,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 35 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164044,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 36 Blk 31 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164129,Cebu City,Residential - House and Lot,South Hills Subd,Lot 18 Blk 3 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential lot with improvement
Bank of Commerce,164130,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 36 Blk 24 South Hills Subd Brgy Buhisan Cebu City,243,0,5103000,residential vacant lot
Bank of Commerce,164131,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 35 Blk 24 South Hills Subd Brgy Buhisan Cebu City,142,0,2982000,residential vacant lot
Bank of Commerce,164132,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 34 Blk 24 South Hills Subd Brgy Buhisan Cebu City,142,0,2982000,residential vacant lot
Bank of Commerce,164133,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 31 Blk 24 South Hills Subd Brgy Buhisan Cebu City,143,0,3003000,residential vacant lot
Bank of Commerce,164134,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 30 Blk 24 South Hills Subd Brgy Buhisan Cebu City,142,0,2982000,residential vacant lot
Bank of Commerce,164135,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 28 Blk 24 South Hills Subd Brgy Buhisan Cebu City,142,0,2982000,residential vacant lot
Bank of Commerce,164136,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 29 Blk 24 South Hills Subd Brgy Buhisan Cebu City,143,0,3003000,residential vacant lot
Bank of Commerce,164137,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 27 Blk 24 South Hills Subd Brgy Buhisan Cebu City,143,0,3003000,residential vacant lot
Bank of Commerce,164138,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 26 Blk 24 South Hills Subd Brgy Buhisan Cebu City,142,0,2982000,residential vacant lot
Bank of Commerce,164139,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 25 Blk 24 South Hills Subd Brgy Buhisan Cebu City,143,0,3003000,residential vacant lot
Bank of Commerce,164140,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 24 Blk 24 South Hills Subd Brgy Buhisan Cebu City,142,0,3003000,residential vacant lot
Bank of Commerce,164141,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 23 Blk 24 South Hills Subd Brgy Buhisan Cebu City,675,0,14175000,residential vacant lot
Bank of Commerce,164148,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 22 Blk 23 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,164157,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 28 Blk 21 South Hills Subd Brgy Buhisan Cebu City,358,0,7518000,residential vacant lot
Bank of Commerce,164509,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 3 South Hills Subd Brgy Buhisan Cebu City,178,0,3738000,residential vacant lot
Bank of Commerce,164513,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 2 South Hills Subd Brgy Buhisan Cebu City,302,0,6342000,residential vacant lot
Bank of Commerce,164517,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 10 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164518,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 9 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164519,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 8 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164520,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 7 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164521,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 6 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164522,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 5 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164523,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164524,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 3 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164525,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 2 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164526,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 1 Blk 32 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,164723,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 24 Blk 8 South Hills Subd Brgy Buhisan Cebu City,168,0,3528000,residential vacant lot
Bank of Commerce,164725,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 26 Blk 8 South Hills Subd Brgy Buhisan Cebu City,244,0,5124000,residential vacant lot
Bank of Commerce,164727,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 2 Blk 9 South Hills Subd Brgy Buhisan Cebu City,160,0,3360000,residential vacant lot
Bank of Commerce,164728,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 3 Blk 9 South Hills Subd Brgy Buhisan Cebu City,366,0,7686000,residential vacant lot
Bank of Commerce,164729,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 9 South Hills Subd Brgy Buhisan Cebu City,242,0,5082000,residential vacant lot
Bank of Commerce,164730,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 5 Blk 9 South Hills Subd Brgy Buhisan Cebu City,166,0,3486000,residential vacant lot
Bank of Commerce,164731,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 6 Blk 9 South Hills Subd Brgy Buhisan Cebu City,146,0,3066000,residential vacant lot
Bank of Commerce,164734,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 9 Blk 9 South Hills Subd Brgy Buhisan Cebu City,188,0,3948000,residential vacant lot
Bank of Commerce,164735,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 10 Blk 9 South Hills Subd Brgy Buhisan Cebu City,119,0,2499000,residential vacant lot
Bank of Commerce,164736,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 11 Blk 9 South Hills Subd Brgy Buhisan Cebu City,141,0,2961000,residential vacant lot
Bank of Commerce,164737,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 9 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,164738,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 13 Blk 9 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,164991,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 22 Blk 9 South Hills Subd Brgy Buhisan Cebu City,300,0,6300000,residential vacant lot
Bank of Commerce,164992,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 23 Blk 9 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,164993,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 24 Blk 9 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,164996,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 27 Blk 9 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,164998,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 29 Blk 9 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,164999,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 30 Blk 9 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165000,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 31 Blk 9 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165001,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 32 Blk 9 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165002,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 33 Blk 9 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,165003,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 34 Blk 9 South Hills Subd Brgy Buhisan Cebu City,231,0,4851000,residential vacant lot
Bank of Commerce,165011,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 1 Blk 10 South Hills Subd Brgy Buhisan Cebu City,156,0,3276000,residential vacant lot
Bank of Commerce,165012,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 2 Blk 10 South Hills Subd Brgy Buhisan Cebu City,187,0,3927000,residential vacant lot
Bank of Commerce,165013,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 3 Blk 10 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,165205,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 10 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,165206,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 5 Blk 10 South Hills Subd Brgy Buhisan Cebu City,200,0,4200000,residential vacant lot
Bank of Commerce,165207,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 6 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165208,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 7 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165209,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 8 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165210,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 9 Blk 10 South Hills Subd Brgy Buhisan Cebu City,187,0,3927000,residential vacant lot
Bank of Commerce,165211,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 10 Blk 10 South Hills Subd Brgy Buhisan Cebu City,191,0,4011000,residential vacant lot
Bank of Commerce,165212,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 10 South Hills Subd Brgy Buhisan Cebu City,174,0,3654000,residential vacant lot
Bank of Commerce,165213,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 13 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165214,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 14 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,165498,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 36 Blk 10 South Hills Subd Brgy Buhisan Cebu City,172,0,2856000,residential vacant lot
Bank of Commerce,165499,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 37 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,165502,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 40 Blk 10 South Hills Subd Brgy Buhisan Cebu City,333,0,5528000,residential vacant lot
Bank of Commerce,165503,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 41 Blk 10 South Hills Subd Brgy Buhisan Cebu City,164,0,2723000,residential vacant lot
Bank of Commerce,165504,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 42 Blk 10 South Hills Subd Brgy Buhisan Cebu City,173,0,2872000,residential vacant lot
Bank of Commerce,165505,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 43 Blk 10 South Hills Subd Brgy Buhisan Cebu City,156,0,2590000,residential vacant lot
Bank of Commerce,165506,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 44 Blk 10 South Hills Subd Brgy Buhisan Cebu City,200,0,3320000,residential vacant lot
Bank of Commerce,165507,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 45 Blk 10 South Hills Subd Brgy Buhisan Cebu City,200,0,3320000,residential vacant lot
Bank of Commerce,165650,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 46 Blk 10 South Hills Subd Brgy Buhisan Cebu City,199,0,3304000,residential vacant lot
Bank of Commerce,165651,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 47 Blk 10 South Hills Subd Brgy Buhisan Cebu City,213,0,3536000,residential vacant lot
Bank of Commerce,165652,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 48 Blk 10 South Hills Subd Brgy Buhisan Cebu City,244,0,4051000,residential vacant lot
Bank of Commerce,165653,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 49 Blk 10 South Hills Subd Brgy Buhisan Cebu City,274,0,4549000,residential vacant lot
Bank of Commerce,165654,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 50 Blk 10 South Hills Subd Brgy Buhisan Cebu City,411,0,6823000,residential vacant lot
Bank of Commerce,165655,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 35 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,165656,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 51 Blk 10 South Hills Subd Brgy Buhisan Cebu City,403,0,6690000,residential vacant lot
Bank of Commerce,165657,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 52 Blk 10 South Hills Subd Brgy Buhisan Cebu City,373,0,6192000,residential vacant lot
Bank of Commerce,165658,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 53 Blk 10 South Hills Subd Brgy Buhisan Cebu City,544,0,9031000,residential vacant lot
Bank of Commerce,165659,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 15 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166008,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 5 Blk 15 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166009,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 1 Blk 29 South Hills Subd Brgy Buhisan Cebu City,380,0,6308000,residential vacant lot
Bank of Commerce,166010,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 1 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166011,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 2 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166012,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 3 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166013,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 15 Blk 10 South Hills Subd Brgy Buhisan Cebu City,224,0,4704000,residential vacant lot
Bank of Commerce,166014,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 16 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166015,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 17 Blk 10 South Hills Subd Brgy Buhisan Cebu City,128,0,2688000,residential vacant lot
Bank of Commerce,166016,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 18 Blk 10 South Hills Subd Brgy Buhisan Cebu City,151,0,3171000,residential vacant lot
Bank of Commerce,166130,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 20 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166131,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 21 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166132,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 22 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166133,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 23 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166134,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 24 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,3150000,residential vacant lot
Bank of Commerce,166135,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 25 Blk 10 South Hills Subd Brgy Buhisan Cebu City,209,0,4389000,residential vacant lot
Bank of Commerce,166136,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 26 Blk 10 South Hills Subd Brgy Buhisan Cebu City,287,0,6027000,residential vacant lot
Bank of Commerce,166137,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 27 Blk 10 South Hills Subd Brgy Buhisan Cebu City,308,0,5113000,residential vacant lot
Bank of Commerce,166138,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 28 Blk 10 South Hills Subd Brgy Buhisan Cebu City,233,0,3868000,residential vacant lot
Bank of Commerce,166139,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 29 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166216,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 34 Blk 10 South Hills Subd Brgy Buhisan Cebu City,165,0,2739000,residential vacant lot
Bank of Commerce,166217,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 33 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166218,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 32 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166219,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 31 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
