bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
BPI,07023-CEB-256,Cebu City,Residential - Condominium Unit,The Persimmon,Unit 6-C The Persimmon North Tower Barangay Mabolo Cebu City,0,41.32,6800000,condominium unit
BPI,04847-CEB-124,Consolacion,Residential - Townhouse,Pueblo El Grande Subdivision,Lot 69 Block 2 Pueblo El Grande Subdivision Phase 3 Barangay Tayud Consolacion,120,112,4950000,townhouse
BPI,05721-CEB-198,Consolacion,Residential - House and Lot,El Monteverde de Cebu,Lot 2 Block 1 New Orleans Street El Monteverde de Cebu Subdivision Barangay Lamac Consolacion,150,198,5800000,house and lot
BPI,05194-CEB-160,Consolacion,Residential - Townhouse,Villa Solana Subdivision,Lot 3 Block 2 Villa Solana Subdivision Phase 1 Barangay Tugbongan Consolacion,79,65,2400000,townhouse
BPI,04551-CEB-107,Lapu-Lapu City,Residential - House and Lot,White Sand Villas,Lot 3954-B1 to B-3 Paseo de Sta Ana corner unnamed road White Sand Villas Barangay Maribago Lapu-lapu City,732,785,15200000,house and lot
BPI,05131-CEB-154,Lapu-Lapu City,Residential - Townhouse,Bayswater Subdivision,Lot 7 Block 18 Orchidia Street Bayswater Subdivision Barangay Marigondon Lapu-lapu City,97,84.6,6400000,townhouse
BPI,05453-CEB-169,Lapu-Lapu City,Residential - Townhouse,Modena Subdivision,Lot 2 Caterina Street Modena Subdivision Barangay Basak Lapu-lapu City,90,78.9,5600000,townhouse
BPI,05545-CEB-173,Lapu-Lapu City,Residential - Townhouse,CKL Homes,Lot 10 Block 6 CKL Homes Barangay Agus Lapu-Lapu City,32,48,1600000,townhouse
BPI,05621-CEB-184,Lapu-Lapu City,Residential - House and Lot,Juanita Residences,Lot 15 PSD-07-073954 Juanita Residences Buaya Lapu-Lapu City,80.2,58,3400000,house and lot
BPI,05647-CEB-186,Lapu-Lapu City,Residential - House and Lot,Goldmine Residences,Lot 6 Block 3 Goldmine Residences Phase 1 Soong 1 Mactan Lapu-lapu City,55,75,3700000,house and lot
BPI,05765-CEB-203,Lapu-Lapu City,Residential - Townhouse,CKL Homes Subdivision,Lot 4 Block 3 CKL Homes Subdivision Barangay Agus Lapu-Lapu City,32,43,1600000,townhouse
BPI,05877-CEB-213,Lapu-Lapu City,Residential - House and Lot,Acasys Homes,Lot 2880-B-1 Acasys Homes Tirso Manus Road Barangay Basak Lapu-lapu City,68,135,6000000,house and lot
BPI,06123-CEB-235,Lapu-Lapu City,Residential - House and Lot,Acasys Homes,Lot 2880-B-4 Tirso Manus Road Acasys Homes Barangay Basak Lapu-lapu City,60,122,4500000,house and lot
BPI,06822-CEB-247,Lapu-Lapu City,Residential - Townhouse,Juanita Residences,Lot 5 Juanita Residences Barangay Buaya Lapu-lapu City,58,64,3050000,townhouse
BPI,07026-CEB-257,Lapu-Lapu City,Residential - Townhouse,Juanita Residences,Lot 7 Juanita Residences Barangay Buaya Lapu-lapu City,58,68,3300000,townhouse
BPI,01664-CEB-014,Liloan,Residential - Vacant Lot,,Lot 958 Brgy Road Brgy Calero Liloan Cebu,7189,0,4560000,vacant lot
BPI,04850-CEB-127,Liloan,Residential - Townhouse,Northgate Subdivision,Lot 27 Block 2 Northgate Subdivision Barangay Poblacion Liloan,59,77,2660000,townhouse
BPI,06819-CEB-244,Liloan,Residential - House and Lot,Eastland Estate Subdivision,Lot 1 Gardenia Street Eastland Estate Subdivision Barangay Yati Liloan,87,62,4670000,house and lot
BPI,04553-CEB-108,Mandaue City,Residential - Townhouse,Dreamhomes Executive Village II,Lot 2 Block 2 Dreamhomes Executive Village II Barangay Basak Mandaue City,131,108,5300000,townhouse
BPI,05392-CEB-168,Mandaue City,Residential - Townhouse,Karls Town 1,Lot 1944-A-6-A-7 Karls Town 1 Jagobiao Mandaue City,55,78,3400000,townhouse
BPI,05718-CEB-197,Mandaue City,Residential - House and Lot,Karls Town II,Unit 28 Lot 16 Block 2 Karls Town II Barangay Maguikay Mandaue City,54,75,3700000,house and lot
BPI,06787-CEB-240,Mandaue City,Residential - Townhouse,Pereville Subdivision,Lot 3 Block 17 Pereville Subdivision Barangay Pagsabungan Mandaue City,50,80,5000000,townhouse
BPI,06820-CEB-245,Mandaue City,Residential - Condominium Unit,Amaia Steps North Tower,Unit 221 2nd Floor Amaia Steps North Tower Barangay Alang-alang Mandaue City,0,24.01,3270000,condominium unit
BPI,07019-CEB-254,Mandaue City,Residential - Condominium Unit,Midpoint Residences,Unit 2003 20th Floor Midpoint Residences Tower 1 AS Fortuna Barangay Banilad Mandaue City,0,24.35,3750000,condominium unit
BPI,05189-CEB-159,Minglanilla,Residential - Townhouse,Lucena Homes Subdivision,Lot 27 Block 1 Lucena Homes Subdivision Barangay Lower Pakigne Minglanilla,46,55,2000000,townhouse
BPI,05837-CEB-208,Minglanilla,Residential - House and Lot,Modena Subdivision Phase 2,Lot 4 Block 2 Modena Subdivision Phase 2 Barangay Tunghaan Minglanilla,60,73,3500000,house and lot
BPI,05879-CEB-214,Minglanilla,Residential - House and Lot,Monte Carlo Subdivision,Lot 5 Block 9 Monte Carlo Subdivision Barangay Vito Minglanilla,80,54,3000000,house and lot
BPI,05885-CEB-217,Minglanilla,Residential - Townhouse,Modena Subdivision Phase 4,Lot 1 Block 4 Modena Subdivision Phase 4 Barangay Tunghaan Minglanilla,85,72,4500000,townhouse
BPI,05036-CEB-136,Talisay City,Residential - Townhouse,NLC Residences 2,Lot 387-B-7 Unit G NLC Residences 2 Carmen Barangay Cansojong Talisay City,53.5,77.04,4000000,townhouse
BPI,05109-CEB-146,Talisay City,Residential - Townhouse,NLC Residences 2,Unit E Lot 387-B-5 NLC Residences 2 Carmen Barangay Cansojong Talisay City,39.4,87,3150000,townhouse
BPI,05562-CEB-178,Talisay City,Residential - Townhouse,Alberlyn Box Hill Residences,Lot 40 Block 1 Alberlyn Box Hill Residences Mohon Talisay City,70,65,3800000,townhouse
BPI,05744-CEB-200,Talisay City,Residential - House and Lot,Amber Homes,Lot 5-D Base Street Amber Homes Barangay Cansojong Talisay City,58,86,3300000,house and lot
BPI,05753-CEB-201,Talisay City,Residential - House and Lot,Amber Homes Phase 1,Lot 5-E Base Street Amber Homes Phase 1 Barangay Cansojong Talisay City,56,86,3300000,house and lot
BPI,05899-CEB-218,Talisay City,Residential - House and Lot,Bayswater Subdivision,Lot 21 Block 8 Bayswater Subdivision Barangay Pooc Talisay City,42,60,3500000,house and lot
BPI,05914-CEB-220,Talisay City,Residential - House and Lot,Alberlyn Box Hill Residences,Lot 2 Block 8 Alberlyn Box Hill Residences Barangay Mohon Talisay City,75,65,5000000,house and lot
BPI,06246-CEB-238,Talisay City,Residential - House and Lot,Alberlyn Box Hill Residences,Lot 34 Block 1 Alberlyn Box Hill Residences Barangay Mohon Talisay City,68,65,4170000,house and lot
BPI,07017-CEB-253,Talisay City,Residential - House and Lot,South Covina Subdivision,Lot 12 Block 2 South Covina Subdivision Barangay Dumlog Talisay City,70,68,4600000,house and lot
Metrobank,10000000004428,Lapu-Lapu City,Residential - Condominium Unit,Mactan Oasis Garden,Bldg 9 Unit No 108 Mactan Oasis Garden Mactan Lapu-Lapu City,0,36.56,878000,condominium unit
Metrobank,10000000004429,Lapu-Lapu City,Residential - Condominium Unit,Mactan Oasis Garden,Bldg 9 Unit No 109 Mactan Oasis Garden Mactan Lapu-Lapu City,0,36.56,878000,condominium unit
Metrobank,10828000003220,Mandaue City,Residential - Townhouse,AGR Residences,Lot 4 Unit 4 AGR Residences Brgy Cubacub Mandaue City,110,165,5834000,townhouse
Metrobank,10828000003696,Mandaue City,Residential - House and Lot,Florentina 1 Townhomes,Lot 1619-A-2-B Florentina 1 Townhomes Canduman-Tawason Road Barangay Canduman Mandaue City,70,80,2949000,house and lot
Metrobank,10828000003810,Cebu City,Residential - Condominium Unit,San Remo Oasis Building 3,Unit U3301 3rd Floor San Remo Oasis Building 3 South Road Properties Cebu City,0,30.17,3651000,condominium unit
Metrobank,10828000003852,Cebu City,Residential - Condominium Unit,Sundance Residences Tower 1,Unit 11U 11th Floor Sundance Residences Tower 1 Barangay Guadalupe Cebu City,0,31.99,3775000,condominium unit
Metrobank,10828000003892,Cordova,Residential - House and Lot,Ajoya Subdivision,Lot 5 Block 16 Along Road Lot 24 Ajoya Subdivision Barangay Gabi Cordova,80,44,2788000,house and lot
Metrobank,10828000003897,Lapu-Lapu City,Residential - House and Lot,Villa del Rio Mactan Subdivision,Lot 33 Block 1 Villa del Rio Mactan Subdivision Barangay Babag 1 Lapu-Lapu City,120,296,7188000,house and lot
Metrobank,10828000003927,Mandaue City,Residential - Townhouse,Northwoods Residences,Lot 6 Block 4 Northwoods Residences Barangay Canduman Mandaue City,86,95,4674000,townhouse
Metrobank,10828000003928,Minglanilla,Residential - House and Lot,Midori Plains Subdivision,Lot 4 Block 6 Midori Plains Subdivision Barangay Tungkop Minglanilla,149,52,3923000,house and lot
Metrobank,10828000003930,Minglanilla,Residential - House and Lot,Fonte Versailles Subdivision,Lot 2 Block 7 Fonte Versailles Subdivision Phase 1 Barangay Tulay Minglanilla,203,189,6437000,house and lot
Metrobank,10828000003931,Lapu-Lapu City,Residential - House and Lot,Portville Mactan Subdivision,Lot 5 Block 8 Portville Mactan Subdivision Barangay Buaya Lapu-Lapu City,42,48,1694000,house and lot
Metrobank,10828000003932,Lapu-Lapu City,Residential - House and Lot,Portville Mactan Subdivision,Lot 24 Block 8 Portville Mactan Subdivision Barangay Buaya Lapu-Lapu City,42,48,1659000,house and lot
Metrobank,10828000003979,Minglanilla,Residential - House and Lot,Hacienda San Agustin Subdivision,Lot 1 Block 4 Hacienda San Agustin Subdivision Barangay Lower Calajo-an Minglanilla,294,166,7019000,house and lot
Metrobank,10828000003640,Cebu City,Residential - House and Lot,,Lot 7545-B-1 Legaspi Street Barangay Sto Nino Cebu City,72,225,6788775,house and lot with improvement
Metrobank,10828000003644,Cebu City,Residential - House and Lot,Espina Village,Nos 095-A and 095-B 2nd Street Espina Village Barangay Guadalupe Cebu City,1000,581,38682225,house and lot
Bank of Commerce,151764 & 151765,Cebu City,Residential - House and Lot,,Lots 8 and 3 Blk 2 Bontores St Brgy Basak Cebu City,463,0,8064000,house and lot with improvement
Bank of Commerce,107-2018007636,Cebu City,Residential - Condominium Unit,Mivesa Garden Residences,Unit 202 2/F Mivesa Garden Residences Building 4 Southwest Salinas Drive Extension Cebu City,0,27.57,2868000,condominium unit
Bank of Commerce,111-2019001634,Consolacion,Residential - Townhouse,Anami Homes North Subd,Lot 12 Blk 6 Road Lot 8 Anami Homes North Subd Brgy Jugan Consolacion Cebu,55,0,3116000,townhouse
Bank of Commerce,111-2021001527,Mandaue City,Residential - House and Lot,,Lot 243-F-1 Brgy Looc Mandaue Cebu,252,0,7476000,residential lot with 2-storey bldg
Bank of Commerce,111-2023003372,Mandaue City,Residential - Condominium Unit,Amaia Steps Mandaue,Unit 532 Tower 1 Amaia Steps Mandaue Plaridel Street Corner UN Avenue Barangay Alangalang Mandaue City,0,32.84,3613000,condominium unit
Bank of Commerce,41211,Lapu-Lapu City,Residential - House and Lot,Villa Verna Subd,Lot 27 Blk4 Villa Verna Subd Bgy Marigondon Lapu-Lapu City,732,0,7833000,residential lot with improvement
Bank of Commerce,62510,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 29 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,130,0,1339000,residential vacant lot
Bank of Commerce,62511,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 30 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,128,0,1319000,residential vacant lot
Bank of Commerce,62512,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 31 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,145,0,1494000,residential vacant lot
Bank of Commerce,62513,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 32 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,182,0,1875000,residential vacant lot
Bank of Commerce,62514,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 33 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,58,0,598000,residential vacant lot
