source,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,listing_url,market_segment
Lamudi,House For Sale in Mohon,"Pooc, Talisay, Cebu, Central Visayas, Philippines",Talisay City,House and Lot,,287.0,5.0,5.0,18500000.0,10.2408331,123.8241248,https://www.lamudi.com.ph/property/41032-73-479e590b1748-33c4-19d11bf-bf29-7523,open_market
Lamudi,Residential Lot For Sale in Pooc,"6RR9+CP Talisay, Cebu, Philippines",Talisay City,Vacant Lot,,130.0,,,2500000.0,10.241117,123.819307,https://www.lamudi.com.ph/property/41032-73-112b0a412d04-c623-19dd791-a446-7747,open_market
Lamudi,House For Sale in Mohon,"Pooc, Talisay City, Cebu, Central Visayas, PHL",Talisay City,House and Lot,,145.0,5.0,5.0,15000000.0,10.24121981,123.8192378,https://www.lamudi.com.ph/property/41032-73-9f43e2413375-65e7-19d4c03-8617-74ce,open_market
Lamudi,House For Sale in Mohon,"Pooc, Talisay City, Cebu, Central Visayas, PHL",Talisay City,House and Lot,,207.0,4.0,3.0,15800000.0,10.24121981,123.8192378,https://www.lamudi.com.ph/property/41032-73-27cb547fab5b-b1da-19de868-9de7-7335,open_market
Lamudi,House For Sale in Poblacion Ward II,"Poblacion Ward II, Minglanilla, Cebu, Pilipinas",Minglanilla,House and Lot,,,,,6200000.0,10.2424724,123.7943669,https://www.lamudi.com.ph/property/41032-73-70fe41469651-84e9-190d97d-a4a6-726c,open_market
Lamudi,House For Sale in Pooc,"Corona Del Mar, In front of corona del mar, Pooc, Talisay, Cebu, Pilipinas",Talisay City,House and Lot,,109.0,3.0,3.0,15800000.0,10.2425683,123.8200271,https://www.lamudi.com.ph/property/41032-73-48d718158e9a-b782-19d85c7-9a18-75d2,open_market
Lamudi,House For Sale in Pooc,"Corona Del Mar, In front of corona del mar, Pooc, Talisay City, Cebu, Pilipinas",Talisay City,House and Lot,,212.0,5.0,3.0,16800000.0,10.2425683,123.8200271,https://www.lamudi.com.ph/property/41032-73-37c14326904b-e5d1-19dd879-b71d-740c,open_market
Lamudi,House For Sale in Poblacion Ward II,"Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,151.0,3.0,2.0,10716000.0,10.2433023,123.7889922,https://www.lamudi.com.ph/property/41032-73-bc25f73250fb-3341-f6d35d02-824a-4c45,open_market
Lamudi,Land For Sale in Poblacion Ward II,"Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,Vacant Lot,,2500.0,,,25000000.0,10.2433023,123.7889922,https://www.lamudi.com.ph/property/41032-73-7d51c4ae213a-4503-8dcb2569-88a9-1236,open_market
Lamudi,House For Sale in Tungkil,"6RV6+FQ Minglanilla, Cebu, Philippines",Minglanilla,House and Lot,,135.0,4.0,3.0,6517700.0,10.243635,123.811881,https://www.lamudi.com.ph/property/41032-73-ec7728af4ba1-c32c-c12e4adb-a898-4925,open_market
Lamudi,House For Sale in Tungkil,"6RV6+FQ Minglanilla, Cebu, Philippines",Minglanilla,House and Lot,,135.0,4.0,3.0,7017700.0,10.243635,123.811881,https://www.lamudi.com.ph/property/41032-73-7e677fd16843-87b2-c4dd2abb-b9ed-4292,open_market
Lamudi,House For Sale in Poblacion Ward II,"Cebu South Road, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,104.0,3.0,3.0,8260224.0,10.2439692,123.7909887,https://www.lamudi.com.ph/property/41032-73-9214417a87c5-3ca0-cfa3f9fc-abb0-4a68,open_market
Lamudi,Residential Lot For Sale in Dumlog,"San Isidro Road, Dumlog, Talisay City, Cebu, Central Visayas, PHL",Talisay City,Vacant Lot,,1763.0,,,18000000.0,10.24471,123.83939,https://www.lamudi.com.ph/property/41032-73-409594ac9ffc-e79b-19764a0-8b43-7989,open_market
Lamudi,House For Sale in Poblacion Ward II,"Tunghaan, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,61.0,,,4200000.0,10.245125,123.787504,https://www.lamudi.com.ph/property/41032-73-46bc47a7c243-f3f8-19c03e3-9c1c-7485,open_market
Lamudi,House For Sale in Poblacion Ward II,"Kamalaya II Residences, Abuno, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,101.0,5.0,3.0,6800000.0,10.2451253,123.7875039,https://www.lamudi.com.ph/property/41032-73-c06c0db50845-b1ff-19b2b5b-84a0-7384,open_market
Lamudi,Condo For Sale in Poblacion Ward III,"Estaka, Minglanilla, Cebu, Philippines",Minglanilla,Condominium,,,2.0,1.0,4000000.0,10.24538,123.79586,https://www.lamudi.com.ph/property/41032-73-cf83eb2226e0-cc90-4d6eba89-8ff6-1236,open_market
Lamudi,House For Sale in Poblacion Ward III,"The Residences Of Coral Bay, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,92.0,4.0,3.0,6500000.0,10.24537996,123.79586007,https://www.lamudi.com.ph/property/41032-73-77043cc65616-307e-4c969189-9801-1237,open_market
Lamudi,House For Sale in Poblacion Ward III,"Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,72.0,3.0,2.0,8300000.0,10.2454293,123.7959894,https://www.lamudi.com.ph/property/41032-73-3e00be12b57c-e75d-19ae9bb-a003-780d,open_market
Lamudi,House For Sale in Poblacion Ward III,"Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,115.0,4.0,3.0,12935000.0,10.2454293,123.7959894,https://www.lamudi.com.ph/property/41032-73-9c7267b6667-d761-19cb7a8-aaa3-7337,open_market
Lamudi,House For Sale in Poblacion Ward III,"Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,120.0,4.0,3.0,12935014.0,10.2454293,123.7959894,https://www.lamudi.com.ph/property/41032-73-1c73ddb76fb1-9264-19cb788-843e-74cd,open_market
Lamudi,House For Sale in Poblacion Ward IV,"Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,170.0,6.0,,14800000.0,10.24585704,123.79496053,https://www.lamudi.com.ph/property/41032-73-73b5c3b7f883-35b4-2861bc69-8166-1236,open_market
Lamudi,Residential Lot For Sale in Pakigne,"Lower Pakigne, Minglanilla, Cebu, Pilipinas",Minglanilla,Vacant Lot,,137.0,,,3000000.0,10.246444,123.8069463,https://www.lamudi.com.ph/property/41032-73-886e55246d4-3ffe-1965d19-88f8-704c,open_market
Lamudi,Residential Lot For Sale in Pakigne,"Lower Pakigne, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,Vacant Lot,,137.0,,,3000000.0,10.246573,123.806963,https://www.lamudi.com.ph/property/41032-73-5a857c5a832e-b00c-19c119c-8a9a-7428,open_market
Lamudi,House For Sale in Pakigne,"Dhamielyns Eatery, Tungkil, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,705.0,6.0,2.0,16500000.0,10.24683561,123.80344201,https://www.lamudi.com.ph/property/41032-73-4e9700f45e54-17e7-19556ec-9aaa-77c4,open_market
Lamudi,House For Sale in Pakigne,"Calajo-an, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,,4.0,3.0,28000000.0,10.2468355,123.803442,https://www.lamudi.com.ph/property/41032-73-131f159a419a-15a5-19cf74f-8f9d-7664,open_market
Lamudi,House For Sale in Mohon,"Libo Road, Pooc, Talisay City, Cebu, Central Visayas, PHL",Talisay City,House and Lot,,102.0,4.0,3.0,9500000.0,10.24722469,123.8227661,https://www.lamudi.com.ph/property/41032-73-78874ab9184f-4e48-19daaec-bd9a-74ec,open_market
